,Napoli scored,Napoli received,Roma scored,Roma received,Inter scored,Inter received,Torino scored,Torino received,Fiorentina scored,Fiorentina received,Cagliari scored,Cagliari received,Verona scored,Verona received,Lazio scored,Lazio received,Juventus scored,Juventus received,Chievo scored,Chievo received,Parma scored,Parma received,Milan scored,Milan received,Atalanta scored,Atalanta received,Catania scored,Catania received,Sampdoria scored,Sampdoria received,Livorno scored,Livorno received,Sassuolo scored,Sassuolo received,Bologna scored,Bologna received,Udinese scored,Udinese received,Genoa scored,Genoa received
10,2,1,1,1,3,0,1,1,2,0,1,2,2,1,0,2,1,0,0,0,0,1,0,2,0,1,1,2,3,4,1,0,4,3,0,0,0,3,2,0
11,0,3,1,1,2,0,1,2,2,1,2,1,0,2,1,1,3,0,0,0,1,1,0,0,2,1,1,0,1,2,0,2,1,1,1,2,0,1,2,0
12,0,1,0,0,1,1,4,1,0,1,0,0,0,1,1,1,2,0,1,0,1,0,1,1,0,2,1,4,1,1,0,2,2,0,1,1,1,0,1,1
13,4,2,1,1,1,1,1,1,4,3,2,2,3,4,2,4,1,0,3,0,1,1,3,1,1,1,1,3,1,1,0,3,2,2,1,1,0,1,1,1
14,3,3,2,1,3,3,1,0,1,2,2,1,2,1,0,1,2,0,1,0,3,3,2,2,1,2,0,2,2,0,2,2,0,1,0,2,3,3,1,2
15,4,2,2,2,2,4,2,0,3,0,0,0,0,0,2,0,4,0,0,1,0,0,2,2,1,1,0,0,1,0,0,2,0,4,0,3,0,2,1,1
16,1,1,4,0,1,0,4,1,1,0,1,1,4,1,1,4,4,1,1,4,1,1,0,1,1,4,0,4,1,1,1,2,0,1,1,0,2,1,0,1
17,2,0,0,3,0,1,1,3,1,0,0,0,3,1,1,0,3,0,0,0,3,1,3,0,0,3,2,0,0,2,0,1,0,2,0,2,1,3,2,0
18,3,0,4,0,1,1,0,0,0,0,1,4,0,3,0,0,4,1,1,1,3,0,3,4,2,1,1,2,3,0,0,3,4,3,0,0,0,3,0,4
19,2,2,3,0,0,1,2,0,3,0,0,1,0,1,3,2,4,2,1,2,2,1,1,0,1,0,0,3,2,4,0,3,0,2,2,2,2,3,1,0
20,1,1,3,1,0,0,1,0,3,3,1,2,1,3,1,1,1,1,1,1,1,0,2,1,0,1,0,0,1,1,3,1,1,3,1,1,0,1,3,3
21,0,3,4,2,1,3,1,1,0,1,1,0,2,1,2,0,3,1,0,2,2,4,1,1,3,0,3,3,1,0,3,3,1,2,0,2,2,0,0,1
22,3,1,0,0,1,0,1,2,2,0,0,1,2,2,0,0,2,2,0,3,0,0,1,3,0,2,0,0,1,0,0,1,0,1,2,1,3,0,1,0
23,2,0,3,0,2,1,3,1,1,2,1,2,1,3,1,3,3,1,1,3,4,0,1,0,0,4,3,1,0,3,2,1,0,2,0,1,3,3,3,3
24,1,1,1,0,1,1,0,1,2,2,1,1,3,2,3,2,1,0,2,0,2,2,2,0,1,1,0,2,0,2,2,3,2,3,0,1,1,1,1,1
25,1,1,0,0,0,0,0,2,0,1,3,0,0,0,1,0,2,0,1,2,1,0,0,2,2,1,0,2,2,0,1,1,0,1,0,0,0,3,2,0
26,1,0,0,1,1,0,0,1,0,1,1,1,0,2,0,1,1,0,2,1,2,0,0,1,1,0,1,1,4,2,2,4,0,0,0,0,1,0,1,2
27,1,0,3,2,2,0,0,1,3,1,0,2,0,2,2,0,1,0,1,3,4,2,2,4,3,0,1,3,0,3,2,1,3,1,1,2,2,3,0,1
28,0,1,2,0,1,2,3,1,1,0,0,1,0,5,1,1,1,0,0,2,1,1,1,1,2,1,0,1,5,0,1,3,0,1,1,0,1,0,1,1
29,4,2,2,1,0,0,1,2,0,2,1,0,0,1,0,2,2,1,3,0,1,2,2,0,2,0,2,4,2,1,0,2,1,2,0,3,0,0,2,0
30,2,0,2,0,2,2,2,1,0,0,1,2,3,0,3,2,0,2,0,3,2,3,3,0,2,0,0,1,0,0,2,2,0,2,0,2,1,0,0,3
31,0,1,3,1,2,2,2,1,2,1,1,3,1,0,2,0,2,0,0,1,1,0,2,1,0,2,1,2,0,2,0,2,2,0,2,2,1,2,1,2
32,4,2,3,1,4,0,2,1,5,3,1,1,3,5,2,4,2,0,4,2,1,1,1,0,1,3,0,1,0,4,2,4,1,1,1,1,0,2,1,2
33,1,1,1,0,2,0,3,3,0,1,2,1,2,1,3,3,1,0,0,1,0,2,3,0,1,2,2,1,1,2,0,3,1,0,0,1,1,1,1,2
34,0,0,2,0,0,0,2,0,3,0,1,0,4,0,2,0,3,1,1,2,0,1,0,2,1,1,0,4,2,1,0,2,1,3,0,3,0,2,1,1
35,3,0,1,4,0,1,1,0,3,4,0,3,3,3,3,3,1,0,0,1,2,0,1,0,0,1,4,1,0,2,3,5,4,3,0,0,5,3,0,0
36,5,2,0,1,4,1,1,1,1,0,0,1,2,2,1,4,1,0,1,0,1,1,1,2,2,1,2,1,2,5,0,1,4,2,1,2,2,2,2,4
37,5,1,0,1,1,2,2,2,2,2,0,3,1,5,1,0,3,0,2,1,2,0,2,1,1,2,2,1,3,3,0,2,1,2,0,1,3,3,1,0
