,Real Madrid scored,Real Madrid received,Barcelona scored,Barcelona received,Leganes scored,Leganes received,Levante scored,Levante received,Eibar scored,Eibar received,Valencia scored,Valencia received,Sociedad scored,Sociedad received,Ath Madrid scored,Ath Madrid received,Girona scored,Girona received,Sevilla scored,Sevilla received,Ath Bilbao scored,Ath Bilbao received,Getafe scored,Getafe received,Espanol scored,Espanol received,Alaves scored,Alaves received,Malaga scored,Malaga received,Las Palmas scored,Las Palmas received,Villarreal scored,Villarreal received,Betis scored,Betis received,La Coruna scored,La Coruna received,Celta scored,Celta received
12,25,11,34,5,9,12,14,20,13,26,33,12,27,24,21,6,16,19,17,14,14,18,19,15,10,15,7,22,11,28,10,32,21,15,23,27,17,25,24,19
13,25,11,36,7,12,13,14,20,16,27,33,13,28,26,23,7,18,22,19,14,14,18,20,15,11,18,10,24,11,28,11,32,22,18,23,28,17,27,26,21
14,30,11,38,7,12,14,15,22,16,27,35,14,28,28,24,7,19,22,19,19,16,19,20,15,11,19,12,24,13,28,11,34,22,20,23,29,18,27,27,23
15,33,12,42,7,13,17,15,22,18,28,36,16,28,28,25,7,20,22,19,19,16,19,20,16,13,21,12,25,13,30,13,36,23,20,25,29,18,31,27,24
16,33,15,45,7,13,17,15,22,22,29,36,17,31,29,25,8,21,26,20,22,18,19,22,16,14,21,13,25,13,31,13,38,24,20,25,31,19,34,30,25
17,35,17,48,7,14,17,15,25,24,30,38,18,31,30,27,8,22,28,23,27,20,19,22,18,15,21,13,27,13,32,14,40,25,21,30,34,20,35,32,27
18,35,18,52,9,16,20,15,26,24,31,40,19,33,34,28,8,28,28,23,28,21,20,23,18,16,22,14,27,13,33,14,46,26,21,33,36,21,37,33,27
19,42,19,57,9,18,22,16,28,25,32,41,21,34,36,29,9,29,29,26,28,23,22,25,20,16,25,16,29,14,34,16,47,28,22,33,41,22,44,35,28
20,46,20,59,10,21,24,18,30,26,33,42,25,36,40,32,9,29,29,27,29,24,23,26,21,18,28,17,31,14,34,16,50,32,24,35,44,24,46,38,30
21,48,22,60,11,21,24,20,32,31,34,42,26,41,40,33,9,31,29,28,34,24,25,26,21,19,29,19,32,14,35,17,50,33,26,37,45,24,51,39,32
22,53,24,60,11,21,25,21,35,32,34,45,27,43,45,34,9,31,30,29,34,24,25,26,21,21,31,21,33,14,36,17,50,34,28,38,45,24,52,41,34
23,58,27,62,11,21,28,21,38,32,36,47,28,46,45,36,9,34,30,31,35,24,27,29,21,22,32,22,33,15,38,18,52,35,29,41,50,24,53,41,37
24,62,27,68,12,21,28,21,40,32,38,49,29,47,47,41,11,35,36,33,40,26,28,29,22,22,32,22,37,16,40,18,52,36,29,43,50,24,53,43,37
25,62,28,69,13,21,32,21,41,33,38,50,30,47,47,45,11,36,36,34,40,27,29,32,22,23,32,23,37,16,41,19,53,36,30,43,50,24,56,43,38
26,65,29,70,13,23,32,22,42,34,39,52,30,49,48,45,12,38,36,36,40,27,31,33,25,24,33,24,39,16,43,20,55,36,32,43,52,25,57,45,39
27,67,30,72,13,23,34,23,42,35,41,54,30,50,50,48,12,40,36,36,42,29,31,33,26,26,34,25,42,16,45,20,57,38,32,46,53,25,59,45,42
28,73,33,74,13,25,35,25,43,36,43,57,31,51,52,49,14,43,42,37,44,29,33,35,27,26,37,26,45,16,45,21,58,40,33,49,53,26,60,45,42
29,76,33,76,15,25,36,26,44,36,43,58,31,51,52,50,14,44,43,39,46,30,34,35,28,26,37,26,45,17,45,21,61,40,34,50,53,26,61,46,43
30,77,34,79,16,26,39,28,45,36,45,59,31,56,52,51,15,44,48,39,50,33,35,35,30,26,38,28,45,19,48,22,63,41,37,52,53,29,63,50,43
31,79,35,81,17,27,39,28,48,36,46,60,33,57,52,54,15,44,49,41,52,35,38,36,30,26,39,29,45,20,50,22,64,43,39,53,53,32,65,50,44
32,80,36,83,19,28,41,29,48,37,46,61,35,60,52,54,18,46,50,41,52,36,39,38,31,26,40,30,47,20,51,22,65,45,40,54,53,32,65,52,46
33,82,39,88,20,28,41,32,49,37,47,62,36,60,54,54,18,46,52,44,54,37,42,39,31,28,40,34,47,22,51,22,69,46,45,54,53,32,65,53,47
34,84,40,92,22,29,43,34,50,37,47,62,36,63,55,55,18,47,53,45,56,38,45,40,32,29,41,34,48,23,53,23,70,50,46,56,54,34,69,54,51
35,86,42,94,24,29,46,37,50,41,48,62,37,63,56,55,20,48,57,46,56,40,45,41,32,31,41,37,48,23,56,23,71,51,46,56,56,35,70,55,52
36,92,42,98,29,31,49,42,54,42,48,63,37,66,58,56,20,48,58,48,58,41,48,41,33,35,42,40,49,24,60,23,72,55,48,58,58,37,74,55,58
37,94,44,99,29,34,51,44,58,44,50,65,38,66,59,58,22,50,59,49,58,41,49,42,33,36,42,40,50,24,61,24,74,57,50,60,61,38,76,59,60
