,Hoffenheim scored,Hoffenheim received,Leverkusen scored,Leverkusen received,Bayern Munich scored,Bayern Munich received,Hannover scored,Hannover received,Ein Frankfurt scored,Ein Frankfurt received,Mainz scored,Mainz received,Hertha scored,Hertha received,Paderborn scored,Paderborn received,Werder Bremen scored,Werder Bremen received,M'gladbach scored,M'gladbach received,Stuttgart scored,Stuttgart received,FC Koln scored,FC Koln received,Hamburg scored,Hamburg received,Schalke 04 scored,Schalke 04 received,Wolfsburg scored,Wolfsburg received,Freiburg scored,Freiburg received,Dortmund scored,Dortmund received,Augsburg scored,Augsburg received
11,0,4,3,1,4,0,1,3,3,1,2,2,2,1,2,2,0,2,1,3,0,1,1,2,2,0,3,2,2,3,2,2,2,2,1,0
12,4,3,5,1,1,0,3,4,2,0,1,4,0,1,0,4,4,0,0,1,4,1,1,5,1,3,4,1,1,0,1,4,0,2,3,1
13,0,1,0,1,1,0,1,3,5,2,1,2,2,3,1,1,2,5,3,2,0,4,1,2,2,1,4,0,3,1,1,1,1,0,2,1
14,3,2,1,1,4,0,3,3,2,3,1,1,1,0,1,1,3,3,1,1,1,1,2,1,0,0,1,2,1,1,0,0,0,1,0,4
15,0,1,1,0,2,0,2,0,4,4,0,0,4,4,1,2,1,4,4,1,1,0,0,0,0,1,2,1,2,2,0,2,2,2,0,2
16,5,0,1,1,2,1,2,2,1,1,1,2,0,5,0,0,2,1,1,2,0,0,1,2,0,0,0,0,2,1,2,2,1,2,2,1
17,1,3,0,0,1,4,0,1,1,4,5,0,0,2,0,5,2,0,1,0,0,1,2,0,0,2,1,0,4,1,4,1,0,0,3,1
18,1,2,1,0,1,1,1,1,1,1,1,1,0,1,0,3,2,1,1,0,0,0,0,0,3,0,1,1,1,1,0,1,0,1,1,0
19,0,3,1,2,2,0,1,2,2,2,0,2,2,0,0,0,2,1,0,1,0,2,0,0,2,1,1,0,3,0,0,3,3,0,2,2
20,2,1,4,5,8,0,1,2,1,0,2,4,0,2,2,1,3,2,1,0,1,2,0,1,0,8,0,1,5,4,2,0,4,2,2,3
21,1,1,2,2,6,0,1,1,1,3,3,1,1,2,0,6,1,1,1,1,2,3,1,1,1,1,1,1,2,1,1,1,3,2,2,2
22,2,0,1,0,4,1,1,1,2,1,0,2,1,0,0,2,3,5,2,0,1,1,1,4,1,2,0,3,5,3,0,1,3,0,0,1
23,1,3,3,0,3,1,1,3,2,4,2,2,0,0,0,3,1,0,2,2,0,0,4,2,0,0,3,1,0,1,0,1,0,0,1,0
24,3,0,4,0,4,0,0,2,4,0,2,0,2,2,0,4,0,4,2,0,0,4,0,0,0,3,2,2,3,0,0,3,0,0,0,2
25,0,0,1,0,0,2,2,3,1,3,1,1,1,0,0,0,1,1,2,0,3,1,1,1,0,1,0,1,1,1,2,0,3,2,0,2
26,1,4,4,0,1,0,2,2,2,2,0,0,2,0,0,2,0,0,4,1,1,3,0,1,0,4,0,0,3,1,1,0,0,1,0,0
27,2,3,3,2,3,0,1,1,0,3,2,3,1,1,2,1,2,3,3,1,3,2,3,2,0,2,0,0,2,0,0,0,1,3,1,2
28,0,2,4,0,2,0,0,4,0,0,3,2,0,0,0,3,1,0,0,0,1,2,0,0,0,1,1,1,1,1,2,3,3,0,2,1
29,2,1,1,1,1,0,1,2,0,2,2,0,0,1,2,2,2,2,1,0,2,2,1,1,3,2,0,2,0,1,2,2,2,0,2,3
30,1,1,2,0,0,2,2,2,0,1,1,2,1,2,2,1,1,0,2,1,2,3,0,0,2,1,3,2,2,2,1,2,1,1,0,0
31,1,3,0,3,0,1,1,1,3,1,0,2,0,2,1,3,1,1,3,0,2,0,2,0,1,1,0,2,3,1,1,1,2,0,1,0
32,0,2,2,0,1,2,2,1,0,0,2,0,0,0,0,1,0,2,2,0,2,1,0,2,1,2,1,0,2,1,2,1,1,2,1,2
33,2,1,1,2,2,0,2,1,2,1,0,2,1,2,1,2,2,3,1,3,2,1,2,2,2,0,0,2,2,2,1,2,3,2,3,1
