,Barcelona scored,Barcelona received,Real Madrid scored,Real Madrid received,Sevilla scored,Sevilla received,Las Palmas scored,Las Palmas received,La Coruna scored,La Coruna received,Sp Gijon scored,Sp Gijon received,Leganes scored,Leganes received,Ath Madrid scored,Ath Madrid received,Osasuna scored,Osasuna received,Alaves scored,Alaves received,Granada scored,Granada received,Malaga scored,Malaga received,Villarreal scored,Villarreal received,Ath Bilbao scored,Ath Bilbao received,Eibar scored,Eibar received,Celta scored,Celta received,Espanol scored,Espanol received,Valencia scored,Valencia received,Sociedad scored,Sociedad received,Betis scored,Betis received
10,2,1,3,0,1,2,1,0,1,1,2,3,0,3,0,2,0,1,1,0,1,1,3,2,2,0,0,0,0,1,2,1,0,0,1,2,2,0,0,2
11,0,0,3,0,3,2,0,2,2,3,1,3,2,0,0,3,0,2,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,3,1,2,0
12,1,1,2,1,2,1,3,1,3,4,1,2,0,3,3,0,0,3,2,0,1,3,4,3,0,2,1,3,3,1,3,1,3,0,1,2,1,1,1,3
13,1,1,1,1,1,2,1,1,5,1,3,1,0,0,0,0,1,3,1,1,2,1,2,2,0,0,3,1,1,3,3,3,0,0,2,2,1,5,3,3
14,3,0,3,2,3,0,1,1,2,3,1,2,1,1,0,3,0,3,0,0,1,1,1,1,3,0,0,1,0,0,0,3,2,1,2,3,3,2,1,0
15,4,1,1,2,4,1,0,1,2,0,1,3,1,1,1,0,0,2,1,0,0,2,1,4,3,1,2,1,1,1,1,2,1,4,2,1,2,0,0,1
16,1,1,5,0,4,0,1,0,1,1,0,1,0,2,2,0,3,3,0,0,0,5,1,3,1,1,0,0,0,2,3,1,1,1,3,3,0,4,2,0
17,5,0,1,2,2,1,0,5,0,0,2,3,0,0,1,0,1,1,0,1,1,1,0,2,0,0,0,0,3,2,1,0,1,2,2,1,2,0,0,1
18,4,0,2,1,4,3,1,1,1,1,0,0,2,2,2,2,3,4,2,2,1,3,1,2,0,2,2,2,0,4,0,1,3,1,2,0,1,0,0,0
19,1,1,3,0,1,3,3,1,1,3,1,2,0,2,0,0,1,1,0,0,0,2,1,1,2,0,2,1,3,1,2,0,3,1,1,3,0,3,1,1
20,3,0,4,1,0,0,0,1,1,1,2,4,0,2,2,0,2,3,4,2,1,0,0,1,0,0,0,3,4,0,1,4,1,0,0,4,3,2,1,1
21,6,0,3,1,1,0,0,1,1,2,2,0,0,2,3,2,1,3,0,6,0,4,1,1,1,1,2,1,4,0,2,3,1,2,0,0,2,1,0,0
22,2,1,2,0,2,0,1,2,0,1,1,4,1,2,4,1,0,3,1,0,4,1,2,1,1,0,0,2,0,2,3,0,0,2,2,0,0,1,1,4
23,2,1,3,2,2,1,0,1,0,4,1,1,4,0,1,2,0,3,2,1,1,3,0,3,2,3,3,1,3,0,1,1,3,0,1,2,1,0,1,2
24,6,1,3,3,1,0,3,3,1,1,1,6,0,1,1,1,1,4,1,2,2,1,1,2,4,1,0,1,2,2,2,2,2,2,1,0,2,2,2,1
25,5,0,4,1,1,1,5,2,1,0,0,1,1,0,3,0,2,5,1,1,0,1,0,1,2,0,1,0,1,4,0,5,0,2,0,3,3,2,2,3
26,1,2,2,1,1,1,3,4,2,1,1,1,1,1,1,0,1,1,2,1,0,1,1,2,1,0,2,0,1,1,0,1,4,3,1,1,0,2,1,2
27,4,2,2,1,1,3,1,0,0,1,3,1,0,0,3,1,0,2,1,0,1,3,0,0,0,1,1,2,1,1,1,0,1,1,2,4,0,1,2,0
28,4,1,3,0,0,0,1,3,0,3,0,0,1,1,2,0,1,2,0,3,1,4,0,2,2,3,2,1,3,2,3,1,2,1,3,0,1,1,1,2
29,3,0,4,2,0,3,1,3,0,0,0,1,2,4,1,0,1,0,0,1,0,0,1,0,1,0,2,0,3,1,2,3,0,2,3,2,0,1,0,1
30,0,2,1,1,4,2,4,1,2,4,1,3,1,2,1,1,2,1,0,1,1,3,2,0,3,1,1,3,2,0,0,2,1,0,3,1,3,1,1,4
31,3,2,3,2,0,0,1,5,2,0,2,3,0,1,3,0,0,3,2,1,0,3,0,2,1,2,5,1,0,2,3,0,1,0,0,0,2,3,2,0
32,3,2,2,3,2,0,1,1,0,1,2,2,1,2,1,0,2,2,1,1,0,2,2,0,2,1,1,0,0,1,0,1,0,1,0,2,1,0,1,0
33,7,1,6,2,2,1,0,3,2,6,1,1,3,0,0,1,1,7,0,0,0,2,2,0,1,0,2,1,0,0,1,2,1,1,2,3,3,2,1,2
34,3,0,2,1,2,4,0,5,2,2,1,3,0,2,5,0,2,2,4,1,1,2,4,2,3,1,3,0,2,0,0,3,0,3,1,2,2,1,1,4
35,4,1,4,0,1,1,0,1,1,2,1,0,4,0,1,0,1,4,1,0,0,4,3,0,1,4,0,1,0,1,0,3,2,1,4,1,1,1,0,4
36,4,1,4,1,1,4,1,4,0,0,1,0,1,1,1,1,2,1,3,1,1,2,2,2,0,0,1,1,0,1,1,3,0,1,1,0,2,2,1,1
37,4,2,2,0,5,0,0,3,3,0,2,2,1,1,3,1,0,5,1,1,1,2,0,2,3,1,1,3,2,4,2,2,2,1,1,3,2,2,2,2
