,Chelsea scored,Chelsea received,Blackpool scored,Blackpool received,Aston Villa scored,Aston Villa received,Man United scored,Man United received,Wolves scored,Wolves received,Blackburn scored,Blackburn received,Birmingham scored,Birmingham received,Sunderland scored,Sunderland received,Arsenal scored,Arsenal received,Liverpool scored,Liverpool received,Bolton scored,Bolton received,Fulham scored,Fulham received,Man City scored,Man City received,Tottenham scored,Tottenham received,Stoke scored,Stoke received,Everton scored,Everton received,Newcastle scored,Newcastle received,West Ham scored,West Ham received,Wigan scored,Wigan received,West Brom scored,West Brom received
14,1,1,2,2,2,4,7,1,3,2,1,7,1,1,2,3,4,2,1,2,2,2,1,1,1,1,2,1,1,1,1,4,1,1,3,1,1,3,4,1
15,1,1,2,3,0,3,3,2,0,3,3,0,1,1,1,0,2,1,3,0,0,1,1,2,1,0,1,1,2,2,1,1,1,3,0,1,2,2,3,1
16,1,1,1,0,2,1,1,0,1,0,1,2,0,1,0,0,0,1,1,3,2,1,0,0,3,1,1,1,0,1,0,0,3,1,1,3,0,0,1,2
17,2,1,3,1,2,1,1,2,1,1,1,1,0,2,1,0,1,0,1,0,0,1,0,1,1,2,1,3,0,1,2,1,2,0,1,1,1,2,1,1
18,1,3,2,1,1,2,2,0,1,2,0,2,1,1,0,2,3,1,1,2,2,0,1,3,3,1,2,1,2,0,1,1,1,3,3,1,2,1,0,2
19,1,0,2,0,0,4,1,1,1,0,3,1,1,1,0,2,2,2,0,1,0,1,2,0,4,0,2,0,0,2,1,1,0,2,1,1,2,2,1,3
20,3,3,0,1,3,3,2,1,0,2,0,3,0,3,3,0,3,0,2,1,1,2,0,1,1,0,1,0,2,0,0,2,1,0,2,0,0,1,1,2
21,0,1,1,2,0,1,2,1,1,0,3,1,2,1,1,0,0,0,1,3,1,1,3,0,0,0,1,2,1,2,2,1,5,0,0,5,1,1,0,3
22,2,0,2,3,1,1,0,0,3,4,0,2,1,1,1,1,3,0,2,2,0,2,1,1,4,3,0,0,2,0,2,2,1,1,0,3,1,1,3,2
23,4,0,1,2,1,0,5,0,0,3,2,0,0,5,2,1,3,0,3,0,0,4,2,0,0,1,1,1,0,2,2,2,1,1,2,2,0,3,0,2
24,4,2,1,3,1,3,3,1,0,1,0,1,2,2,2,4,2,1,2,0,1,0,1,0,2,2,1,0,0,2,1,2,0,1,3,1,2,2,2,2
25,0,1,3,5,2,2,1,2,2,1,3,4,1,0,2,3,4,4,1,0,1,2,2,2,3,0,2,1,3,2,5,3,4,4,0,1,4,3,0,3
26,0,0,1,1,1,1,2,1,0,2,0,0,1,0,1,2,2,0,1,1,2,0,0,0,1,2,2,1,0,1,0,2,0,0,3,3,1,1,3,3
27,3,1,0,4,4,1,4,0,4,0,1,4,1,3,0,2,3,3,1,3,1,1,1,1,1,1,3,3,1,1,2,0,1,1,3,1,0,4,1,1
28,3,1,1,3,2,3,1,3,3,3,2,3,1,3,0,0,0,0,3,1,3,2,3,2,1,0,3,3,0,3,2,1,1,2,3,0,0,1,3,1
29,2,0,2,2,0,1,1,0,1,0,2,2,1,2,0,2,2,2,2,0,0,1,1,2,0,2,0,0,4,0,2,1,0,4,0,0,2,1,2,2
30,1,1,0,3,2,2,4,2,1,4,0,0,2,1,0,5,0,0,1,2,1,2,3,0,5,0,0,0,1,1,2,2,4,1,2,4,0,0,2,1
31,1,0,1,3,1,0,2,0,0,3,1,1,1,1,2,3,3,1,3,0,3,0,0,2,0,3,3,2,2,3,3,0,0,1,0,3,0,1,3,2
32,3,1,1,3,2,1,0,0,0,3,0,2,2,0,0,2,1,1,1,1,0,3,3,0,1,0,0,1,3,0,2,0,0,0,1,2,3,1,1,3
33,3,0,1,1,1,1,1,0,1,1,0,1,0,5,4,2,1,2,5,0,2,1,1,1,1,0,2,2,1,1,0,1,1,1,0,3,2,4,2,2
34,2,1,0,0,1,2,0,1,1,1,1,0,1,1,0,3,1,0,3,0,0,1,3,0,2,1,1,2,0,0,1,1,0,3,1,2,1,1,2,1
35,1,2,1,1,1,1,2,1,3,1,1,1,1,2,2,1,1,3,5,2,1,2,2,5,1,2,1,1,3,1,2,1,2,1,1,1,1,1,1,3
36,2,2,4,3,2,1,1,1,3,1,1,1,0,2,1,3,1,2,0,2,3,4,2,0,3,0,2,0,0,3,0,1,2,2,2,3,3,2,1,0
37,0,1,2,4,1,0,4,2,2,3,3,2,1,2,3,0,2,2,0,1,0,2,2,2,2,0,2,1,0,1,1,0,3,3,0,3,1,0,3,3
