,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal,,,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
87,25/10/2009,Bochum,Werder Bremen,75,80,71,78,72,79,0.196731224,0.26076167,0.542507106,2,4.683333333,3.533333333,1.698333333,17,3,0.666666667,2.333333333,2.666666667,0.333333333
88,25/10/2009,Hertha,Wolfsburg,77,83,72,77,76,79,0.198252546,0.260440256,0.541307198,X,4.641666667,3.533333333,1.7,18,7,0.333333333,2,1,0.666666667
89,25/10/2009,Schalke 04,Hamburg,79,79,76,76,78,80,0.41716987,0.284531245,0.298298885,X,2.216666667,3.25,3.1,4,2,2.333333333,1.333333333,2,1.333333333
90,30/10/2009,Dortmund,Hertha,75,77,76,72,79,76,0.606777293,0.240614062,0.152608645,1,1.53,3.858333333,6.083333333,10,18,1.333333333,0.333333333,0.333333333,2
91,31/10/2009,FC Koln,Hannover,79,74,73,72,75,74,0.448374836,0.279949771,0.271675393,2,2.05,3.283333333,3.383333333,15,11,0.333333333,0.333333333,1,0.666666667
92,31/10/2009,Hamburg,M'gladbach,79,74,76,71,80,73,0.688005045,0.206015716,0.105979239,2,1.335,4.458333333,8.666666667,3,12,1.666666667,2,1.333333333,1.333333333
93,31/10/2009,Nurnberg,Werder Bremen,71,80,71,78,70,79,0.172484374,0.257319346,0.570196279,X,5.333333333,3.575,1.613333333,16,2,1.666666667,1.666666667,2.666666667,1
94,31/10/2009,Schalke 04,Leverkusen,79,76,76,77,78,79,0.405231066,0.283246124,0.31152281,X,2.271666667,3.25,2.955,4,1,2.333333333,2,1,1
95,31/10/2009,Stuttgart,Bayern Munich,79,85,76,81,78,83,0.221076202,0.267646734,0.511277064,X,4.166666667,3.441666667,1.801666667,14,6,0.333333333,1,1.333333333,0.666666667
96,31/10/2009,Wolfsburg,Mainz,83,74,77,70,79,71,0.648370587,0.221955296,0.129674117,X,1.416666667,4.138333333,7.083333333,7,8,1.666666667,1.333333333,2,1.333333333
97,01/11/2009,Ein Frankfurt,Bochum,75,75,72,71,72,72,0.500848563,0.273483151,0.225668286,1,1.838333333,3.366666667,4.08,9,17,1.666666667,1.333333333,0.666666667,2.666666667
98,01/11/2009,Freiburg,Hoffenheim,71,79,68,77,70,76,0.247856856,0.273010646,0.479132498,2,3.708333333,3.366666667,1.918333333,13,5,0.333333333,2,1.333333333,0.666666667
99,06/11/2009,Leverkusen,Ein Frankfurt,76,75,77,72,79,72,0.660654771,0.216757066,0.122588163,1,1.391666667,4.241666667,7.5,1,9,1,1,1.666666667,1.333333333
100,07/11/2009,Bayern Munich,Schalke 04,85,79,81,76,83,78,0.539229745,0.263566234,0.197204021,X,1.706666667,3.491666667,4.666666667,8,4,1,0.666666667,2,2
101,07/11/2009,Bochum,Freiburg,75,71,71,68,72,70,0.419790173,0.277399034,0.302810794,2,2.191666667,3.316666667,3.038333333,17,12,1,2.666666667,0.666666667,1.666666667
102,07/11/2009,Hoffenheim,Wolfsburg,79,83,77,77,76,79,0.407095975,0.278593458,0.314310568,2,2.258333333,3.3,2.925,7,5,1.666666667,0.666666667,1.666666667,1.333333333
103,07/11/2009,Mainz,Nurnberg,74,71,70,71,71,70,0.462901904,0.2770433,0.260054796,1,1.985,3.316666667,3.533333333,6,16,2.333333333,1,0.666666667,2
104,07/11/2009,M'gladbach,Stuttgart,74,79,71,76,73,78,0.347249607,0.281697385,0.371053008,X,2.65,3.266666667,2.48,14,15,1,0.666666667,0,0.333333333
105,08/11/2009,Hannover,Hamburg,74,79,72,76,74,80,0.279934389,0.28064669,0.439418921,X,3.283333333,3.275,2.091666667,10,3,1.333333333,0.666666667,2.333333333,2.666666667
106,08/11/2009,Hertha,FC Koln,77,79,72,73,76,75,0.436524012,0.282456713,0.281019275,2,2.108333333,3.258333333,3.275,18,13,0,1,0.333333333,0.333333333
107,08/11/2009,Werder Bremen,Dortmund,80,75,78,76,79,79,0.575373678,0.25138194,0.173244382,X,1.598333333,3.658333333,5.308333333,2,9,2.333333333,1.333333333,1.333333333,0.666666667
108,21/11/2009,Dortmund,Mainz,75,74,76,70,79,71,0.5612908,0.256404897,0.182304303,X,1.648333333,3.608333333,5.075,9,6,1.333333333,0.666666667,2.333333333,1
109,21/11/2009,Ein Frankfurt,M'gladbach,75,74,72,71,72,73,0.436829196,0.279791865,0.28337894,2,2.108333333,3.291666667,3.25,11,12,1,2.333333333,1.666666667,1
110,21/11/2009,FC Koln,Hoffenheim,79,79,73,77,75,76,0.274232927,0.281928239,0.443838834,2,3.358333333,3.266666667,2.075,15,4,0.333333333,1.666666667,2,0.666666667
111,21/11/2009,Freiburg,Werder Bremen,71,80,68,78,70,79,0.212107222,0.2656439,0.522248878,2,4.341666667,3.466666667,1.763333333,13,2,0.666666667,2.666666667,3,1
112,21/11/2009,Schalke 04,Hannover,79,74,76,72,78,74,0.638412708,0.229648666,0.131938626,1,1.446666667,4.021666667,7,3,10,1.666666667,1,1,1.333333333
113,21/11/2009,Stuttgart,Hertha,79,77,76,72,78,76,0.569783095,0.252686416,0.177530489,X,1.615,3.641666667,5.183333333,16,18,0.333333333,0.333333333,0.333333333,1.333333333
114,21/11/2009,Wolfsburg,Nurnberg,83,71,77,71,79,70,0.658391005,0.217476399,0.124132596,2,1.398333333,4.233333333,7.416666667,8,14,2.333333333,2.333333333,1.666666667,1.666666667
115,22/11/2009,Bayern Munich,Leverkusen,85,76,81,77,83,79,0.505726716,0.271534442,0.222738842,X,1.83,3.408333333,4.155,7,1,0.666666667,0.666666667,2.333333333,1
116,22/11/2009,Hamburg,Bochum,79,75,76,71,80,72,0.678898121,0.205972073,0.115129806,2,1.356666667,4.471666667,8,5,17,1.333333333,2,1,1.333333333
