,Galatasaray scored,Galatasaray received,Yeni Malatyaspor scored,Yeni Malatyaspor received,Buyuksehyr scored,Buyuksehyr received,Kayserispor scored,Kayserispor received,Konyaspor scored,Konyaspor received,Kasimpasa scored,Kasimpasa received,Besiktas scored,Besiktas received,Fenerbahce scored,Fenerbahce received,Sivasspor scored,Sivasspor received,Erzurum BB scored,Erzurum BB received,Rizespor scored,Rizespor received,Akhisar Belediyespor scored,Akhisar Belediyespor received,Bursaspor scored,Bursaspor received,Alanyaspor scored,Alanyaspor received,Goztep scored,Goztep received,Ankaragucu scored,Ankaragucu received,Antalyaspor scored,Antalyaspor received,Trabzonspor scored,Trabzonspor received
12,1,1,0,3,2,0,0,5,1,1,3,0,4,1,1,2,1,1,1,0,1,1,2,4,4,2,5,0,0,2,1,4,0,1,2,1
13,0,1,1,1,0,1,0,2,2,0,2,2,1,0,2,2,1,0,1,2,1,1,1,1,2,1,0,2,0,1,1,1,1,0,2,0
14,2,2,3,1,1,0,3,0,0,3,0,3,0,0,0,3,2,0,1,3,2,2,3,0,0,2,0,0,0,2,0,1,2,0,3,0
15,1,1,2,0,1,1,1,0,3,2,2,3,2,2,2,2,4,0,2,2,1,1,0,1,0,0,1,1,0,0,0,4,0,2,2,2
16,4,2,1,1,1,1,1,1,0,0,4,1,1,4,0,0,2,4,1,1,1,4,0,0,1,1,1,1,3,0,0,3,0,0,4,1
17,6,0,3,2,4,2,0,0,2,1,0,1,3,0,1,1,0,2,1,2,1,0,0,3,1,1,2,0,2,3,0,6,0,0,2,4
18,1,0,2,3,2,0,1,1,2,0,0,2,1,1,3,2,1,1,1,1,3,1,1,3,1,1,2,0,0,1,0,2,0,2,1,1
19,1,1,1,1,3,0,1,1,0,0,1,3,6,2,2,0,3,1,0,1,1,0,0,3,0,0,1,1,0,2,0,1,2,6,1,0
20,3,1,1,1,1,1,1,0,1,1,0,3,2,0,0,1,2,1,1,1,1,1,1,2,0,2,2,3,3,2,3,0,1,1,1,3
21,4,1,1,2,1,0,2,1,1,1,1,4,2,1,1,1,2,4,4,2,2,0,0,0,0,2,2,0,1,2,0,0,0,1,0,2
22,1,0,0,3,3,0,1,0,0,1,0,3,3,3,3,3,1,2,1,2,3,0,0,1,0,3,3,0,1,3,2,1,2,1,3,1
23,1,1,0,2,2,0,2,2,1,1,2,2,2,2,3,2,2,3,1,1,2,3,3,1,3,2,1,3,1,1,4,2,2,4,2,2
24,5,0,0,2,2,1,0,3,2,3,0,0,3,2,1,2,2,0,1,2,3,0,1,2,0,0,2,1,0,0,0,0,0,5,2,1
25,3,2,3,1,1,1,1,1,0,2,3,2,1,0,2,1,1,2,0,1,2,0,2,3,2,3,0,3,0,1,1,3,3,0,1,0
26,3,0,0,3,2,0,3,1,0,2,2,1,7,2,1,1,1,3,1,2,2,7,1,0,0,1,1,0,0,1,1,1,1,4,4,1
27,1,1,1,1,1,2,0,2,1,1,0,1,2,1,1,1,1,1,2,1,1,0,1,2,0,1,1,1,0,1,2,0,1,0,1,0
28,3,1,1,2,1,1,1,3,0,0,1,1,2,1,0,1,1,2,1,0,1,1,1,2,1,1,1,0,0,1,0,0,2,1,2,1
29,0,0,2,1,0,2,1,1,0,0,1,2,4,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,2,0,1,4,1,1,1,1
30,2,0,2,0,0,0,2,4,4,2,1,3,0,2,3,1,0,0,2,0,2,2,0,2,0,2,2,4,4,1,2,2,1,4,4,2
31,3,2,3,1,2,1,2,1,2,2,1,2,2,1,2,1,3,3,1,3,2,3,1,2,1,0,1,2,3,3,1,2,0,1,2,2
32,2,1,0,3,1,2,2,2,1,1,1,1,1,2,1,0,1,3,0,1,1,1,2,2,0,0,1,1,0,0,3,1,3,0,2,1
33,3,4,1,2,1,1,0,2,0,0,2,3,3,2,3,1,4,3,2,0,2,3,0,0,2,1,1,1,2,1,1,2,1,3,3,2
