,Man City scored,Man City received,Man United scored,Man United received,Liverpool scored,Liverpool received,Brighton scored,Brighton received,Burnley scored,Burnley received,Tottenham scored,Tottenham received,Arsenal scored,Arsenal received,Bournemouth scored,Bournemouth received,Sheffield United scored,Sheffield United received,Crystal Palace scored,Crystal Palace received,Everton scored,Everton received,Leicester scored,Leicester received,Wolves scored,Wolves received,Newcastle scored,Newcastle received,Aston Villa scored,Aston Villa received,Norwich scored,Norwich received,Southampton scored,Southampton received,Watford scored,Watford received,Chelsea scored,Chelsea received,West Ham scored,West Ham received
22,64,27,36,27,54,14,26,31,26,38,36,31,30,32,20,36,25,22,22,26,26,33,48,23,34,30,22,34,29,44,23,45,29,42,20,34,39,30,26,36
23,65,27,36,29,56,15,27,34,28,38,38,32,32,34,23,37,25,23,22,28,28,35,52,24,35,32,24,36,31,45,24,47,31,42,21,36,41,32,27,40
24,65,29,36,29,60,15,30,37,28,38,40,32,32,34,25,38,26,23,22,29,31,37,54,26,35,32,24,36,32,47,24,47,31,46,23,39,43,34,30,43
25,67,29,38,29,61,15,31,38,30,39,43,34,36,34,26,40,28,24,23,32,34,38,54,26,35,32,24,40,34,50,24,48,32,48,24,40,43,36,30,45
26,68,29,41,29,64,17,32,39,33,39,44,36,39,36,26,43,29,25,24,32,36,41,54,27,38,32,24,41,34,52,24,51,34,48,24,43,45,37,32,48
27,71,29,42,30,64,20,32,40,33,39,46,39,39,39,28,45,29,25,25,32,37,42,54,28,41,34,24,41,34,52,25,51,35,51,27,43,47,39,35,49
28,71,31,44,30,66,21,32,40,34,40,47,40,40,39,29,47,30,25,26,32,37,46,58,28,41,34,25,41,34,56,25,52,35,52,27,44,51,39,35,50
29,76,31,45,31,66,21,34,41,34,45,48,41,41,41,29,49,30,28,28,32,37,46,59,29,43,34,28,41,35,58,25,55,38,52,28,45,53,40,35,52
30,77,33,48,31,70,21,34,41,35,45,50,41,43,41,29,50,30,31,28,36,38,46,59,29,44,34,29,42,36,59,25,56,38,54,28,46,55,41,35,54
31,81,33,51,31,70,25,34,44,36,45,51,44,47,41,30,54,33,32,28,37,40,47,60,31,45,34,33,43,36,60,25,60,41,55,29,49,57,44,38,56
32,81,34,56,33,72,25,35,44,37,46,52,44,49,41,32,59,34,33,28,40,40,48,63,31,45,36,35,45,36,62,25,61,42,55,29,52,60,44,40,58
33,86,34,59,33,75,26,36,47,38,46,52,44,50,42,32,59,35,33,30,43,41,49,64,32,45,37,35,50,36,65,26,63,43,56,31,53,63,46,40,59
34,91,34,61,35,76,27,36,52,39,47,54,45,51,44,36,60,38,33,30,45,41,52,65,36,48,37,36,52,38,65,26,67,45,58,33,54,63,49,44,59
35,93,35,63,35,77,29,37,53,40,48,57,46,53,45,37,62,38,35,30,47,42,53,67,36,49,38,37,55,39,66,26,68,46,59,34,57,64,49,47,60
36,97,35,64,36,82,32,37,53,42,48,60,46,53,46,37,64,38,36,30,49,43,53,67,39,51,38,37,55,40,66,26,70,48,59,34,61,67,54,48,61
37,102,35,66,36,85,33,39,54,43,50,61,47,56,48,40,65,39,39,31,50,44,56,67,41,51,40,38,58,41,67,26,75,51,60,36,64,69,54,49,62
