,Juventus scored,Juventus received,Milan scored,Milan received,Fiorentina scored,Fiorentina received,Roma scored,Roma received,Cagliari scored,Cagliari received,Sampdoria scored,Sampdoria received,Catania scored,Catania received,Lazio scored,Lazio received,Parma scored,Parma received,Torino scored,Torino received,Atalanta scored,Atalanta received,Inter scored,Inter received,Reggina scored,Reggina received,Udinese scored,Udinese received,Siena scored,Siena received,Empoli scored,Empoli received,Napoli scored,Napoli received,Palermo scored,Palermo received,Genoa scored,Genoa received,Livorno scored,Livorno received
17,36,16,29,17,28,17,35,19,13,34,25,24,18,20,20,27,20,26,16,22,26,24,40,11,13,27,23,21,19,28,15,25,27,27,25,30,18,24,22,29
18,36,16,30,17,30,18,37,19,13,36,25,24,18,22,22,29,22,29,17,24,27,26,43,13,15,27,23,22,22,30,15,26,29,29,27,33,20,25,23,29
19,39,17,32,17,32,18,38,19,15,37,26,24,18,22,22,29,22,29,17,24,29,28,43,13,17,29,23,22,22,31,15,28,30,31,27,34,20,27,24,32
20,40,18,33,17,32,19,38,22,16,38,27,26,19,24,24,30,24,32,20,25,32,30,44,13,18,32,24,25,25,31,15,29,33,32,28,34,22,28,24,33
21,42,19,34,17,34,21,40,22,17,39,29,26,19,26,24,31,25,33,23,26,34,32,46,13,18,34,25,27,25,32,16,29,33,34,29,37,23,29,25,34
22,43,19,34,17,36,22,40,23,18,41,30,26,20,28,27,31,25,33,23,26,34,35,48,13,19,37,28,28,25,32,19,30,34,37,31,38,23,30,25,36
23,44,21,36,18,36,23,41,23,19,41,31,27,20,30,27,32,29,37,27,30,36,37,49,14,21,38,31,33,27,34,21,30,36,38,32,40,28,33,26,38
24,44,21,37,19,37,23,42,24,19,42,32,31,21,31,28,32,31,37,27,30,40,38,50,15,21,39,31,35,28,34,21,32,36,40,34,40,30,33,26,39
25,46,24,38,20,40,25,46,24,21,43,34,33,21,32,29,33,31,41,29,32,40,40,50,16,21,39,33,35,30,34,21,34,37,40,34,40,31,35,27,39
26,48,24,41,21,40,26,48,24,22,45,36,34,23,33,31,33,32,43,30,32,40,41,52,16,21,41,34,36,31,34,22,37,37,42,35,41,31,37,27,41
27,49,24,42,23,43,27,50,25,25,45,39,35,24,36,33,35,33,44,30,35,44,42,54,17,25,41,36,38,31,38,23,41,37,43,36,43,32,40,28,42
28,49,24,43,25,43,29,52,28,26,45,41,36,24,36,36,37,35,45,30,36,44,43,55,18,26,42,37,38,31,38,23,41,39,43,37,45,33,41,29,43
29,51,25,44,25,44,29,54,29,27,46,42,37,24,36,36,38,35,47,30,37,44,43,56,20,27,43,39,38,33,38,24,43,40,44,39,48,36,43,29,45
30,54,25,45,27,45,32,55,30,28,47,44,37,25,38,37,39,35,50,32,38,46,44,57,21,27,45,42,39,33,38,24,45,41,44,39,49,38,43,29,45
31,56,28,48,28,47,32,58,32,29,50,46,37,28,38,39,41,37,52,32,39,46,46,59,21,27,47,43,40,34,39,25,45,41,47,42,51,40,46,29,47
32,59,30,50,31,47,34,61,33,31,51,46,38,28,39,40,42,38,53,32,42,46,48,61,21,28,47,44,43,35,40,26,46,43,47,43,51,43,46,30,49
33,63,30,55,32,48,34,62,34,33,51,49,38,29,39,40,43,39,55,32,43,46,52,62,21,29,52,44,46,35,41,26,48,45,48,43,52,44,46,31,50
34,68,32,59,33,50,36,66,35,34,53,51,40,30,41,42,48,40,57,33,47,46,52,64,22,31,53,46,47,35,41,27,48,45,48,43,52,44,47,32,54
35,68,33,61,34,51,38,69,35,36,54,51,43,31,43,43,50,41,57,35,48,49,54,65,24,33,54,47,47,36,41,27,49,46,50,45,53,44,48,34,57
36,69,34,62,37,54,39,71,36,38,54,53,43,32,44,45,50,42,60,36,48,50,56,67,26,35,54,47,49,38,43,27,51,49,51,45,55,44,50,34,58
37,72,37,66,38,55,39,72,37,40,56,56,46,33,45,47,51,42,62,36,49,52,56,69,26,37,56,48,53,40,45,29,52,50,53,47,57,44,52,35,60
