,Barcelona scored,Barcelona received,Villarreal scored,Villarreal received,Ath Bilbao scored,Ath Bilbao received,Granada scored,Granada received,Ath Madrid scored,Ath Madrid received,Real Madrid scored,Real Madrid received,Sociedad scored,Sociedad received,Valencia scored,Valencia received,Vallecano scored,Vallecano received,Celta scored,Celta received,Espanol scored,Espanol received,Osasuna scored,Osasuna received,Betis scored,Betis received,Malaga scored,Malaga received,Elche scored,Elche received,Levante scored,Levante received,Sevilla scored,Sevilla received,Getafe scored,Getafe received,Valladolid scored,Valladolid received,Almeria scored,Almeria received
15,44,10,26,16,24,20,14,19,43,9,46,19,30,22,21,26,15,38,20,26,18,21,13,27,15,35,18,22,16,22,15,22,30,28,18,22,19,25,16,32
16,49,12,27,18,26,21,15,22,46,11,49,21,33,23,23,29,16,40,21,27,22,23,14,28,15,36,19,22,16,23,17,25,32,29,20,27,21,29,17,32
17,53,12,32,20,26,23,15,25,47,11,52,21,35,23,25,29,18,45,21,30,22,24,15,28,15,36,19,23,16,27,17,27,35,29,20,30,21,29,20,32
18,53,12,37,21,32,24,19,25,47,11,53,21,36,28,26,31,19,45,23,31,22,25,17,29,16,38,19,24,17,28,18,27,36,30,20,31,21,33,21,38
19,54,13,39,21,36,26,19,25,48,12,58,21,38,30,26,31,19,47,23,32,23,25,17,29,16,43,19,24,19,28,19,28,37,31,22,33,23,37,21,40
20,57,13,39,22,41,27,19,27,52,14,60,21,42,30,28,33,21,51,27,34,25,27,18,34,18,47,19,27,19,32,22,30,39,34,22,34,24,37,22,40
21,59,16,42,23,42,28,20,29,56,14,61,22,42,34,31,35,21,51,29,35,25,29,19,37,20,47,22,29,20,32,22,30,41,37,22,34,24,37,22,41
22,63,17,44,27,42,28,20,30,56,16,65,24,42,34,36,35,25,52,29,35,26,29,21,37,20,52,23,33,22,34,22,30,42,41,22,36,26,39,24,41
23,69,17,44,29,43,30,21,30,59,16,68,24,43,34,36,35,25,58,31,35,28,30,21,37,20,53,23,34,22,34,23,30,42,41,22,39,26,42,24,42
24,70,20,46,30,45,30,22,32,59,19,71,24,46,35,38,36,25,59,32,36,29,32,24,37,20,55,23,34,22,37,24,31,43,41,23,40,27,43,24,42
25,74,21,47,31,49,30,22,36,61,21,73,26,46,36,38,37,26,59,32,37,29,32,24,39,21,56,24,35,23,37,26,31,44,41,23,40,28,44,25,46
26,74,22,47,33,50,31,24,36,63,21,76,26,48,39,39,38,29,61,32,39,32,33,24,41,23,56,26,35,24,40,26,34,47,42,23,42,29,44,26,49
27,81,22,48,34,51,32,27,39,64,21,77,26,49,39,39,39,32,62,33,39,32,34,24,48,23,56,26,36,24,40,26,35,51,43,26,45,30,48,27,52
28,85,25,49,36,52,32,28,39,66,21,80,30,52,43,41,40,33,63,33,41,32,34,25,50,23,58,28,36,24,41,26,35,53,44,26,46,31,49,31,55
29,88,25,50,36,52,32,28,40,67,21,81,32,53,43,43,42,34,63,33,44,34,35,25,51,26,59,29,38,24,41,27,38,55,45,26,47,31,50,33,57
30,89,25,51,37,53,34,28,42,69,22,86,32,54,44,44,45,34,68,34,44,34,36,26,52,27,61,31,39,25,42,29,38,55,46,29,48,32,50,33,58
31,92,26,51,38,55,35,29,46,70,22,90,32,54,48,44,45,37,68,34,47,35,40,28,53,28,64,35,40,26,42,30,40,59,47,29,49,32,50,34,60
32,92,27,52,38,58,35,30,46,72,22,94,32,56,50,46,46,39,70,36,49,37,42,28,53,28,66,35,43,27,44,30,41,61,47,29,51,32,50,34,64
33,94,28,52,40,59,37,30,50,74,22,95,33,58,51,47,47,42,71,40,51,38,44,29,54,29,69,37,43,27,46,30,41,65,47,29,51,33,51,36,68
34,97,30,54,43,62,38,30,53,75,22,99,33,59,51,47,48,45,71,44,52,39,46,29,58,29,70,37,44,28,47,31,42,66,50,30,51,34,55,38,69
35,99,32,54,43,65,38,31,54,75,24,101,35,60,52,49,50,45,74,46,52,39,47,29,60,31,73,37,45,29,47,33,42,66,50,32,53,35,55,41,71
36,99,32,58,43,66,39,31,56,76,25,101,37,61,53,49,52,45,78,48,52,40,48,30,61,35,76,38,46,29,47,35,42,66,51,33,53,38,59,43,71
37,100,33,60,44,66,39,32,56,77,26,104,38,62,55,51,53,46,80,49,54,41,51,32,62,36,78,39,46,30,50,35,43,69,52,35,54,38,60,43,71
