,homeTeam,awayTeam,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
161,Leiria,Setubal,16,5,1.0,2.6666666666666665,2.0,0.6666666666666666
162,Leixoes,Academica,14,13,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333
163,Maritimo,Est Amadora,6,12,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667
164,Naval,Nacional,11,7,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333
165,Sp Lisbon,Benfica,4,2,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666
166,Pacos Ferreira,Belenenses,15,9,0.6666666666666666,2.0,1.6666666666666667,1.6666666666666667
167,Setubal,Maritimo,5,6,2.0,0.6666666666666666,1.3333333333333333,1.6666666666666667
168,Est Amadora,Pacos Ferreira,12,15,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0
169,Nacional,Sp Braga,8,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333
170,Benfica,Leiria,2,16,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.6666666666666665
171,Guimaraes,Sp Lisbon,3,5,1.0,0.0,0.3333333333333333,1.3333333333333333
172,Naval,Leixoes,11,14,1.0,1.0,1.0,1.6666666666666667
173,Porto,Academica,1,13,1.3333333333333333,0.0,1.0,1.3333333333333333
174,Belenenses,Boavista,10,9,1.6666666666666667,2.333333333333333,1.3333333333333333,1.0
175,Leiria,Guimaraes,16,3,1.3333333333333333,2.6666666666666665,1.0,0.0
176,Academica,Belenenses,13,10,1.0,1.3333333333333333,1.6666666666666667,2.333333333333333
177,Leixoes,Porto,14,1,1.3333333333333333,2.0,1.0,0.3333333333333333
178,Boavista,Est Amadora,8,12,1.6666666666666667,1.0,1.0,1.0
179,Maritimo,Benfica,7,2,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333
180,Pacos Ferreira,Setubal,15,5,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666
181,Sp Braga,Naval,6,11,1.3333333333333333,0.0,1.0,1.6666666666666667
182,Sp Lisbon,Nacional,4,9,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.0
183,Guimaraes,Maritimo,3,7,1.0,0.0,0.6666666666666666,1.0
184,Est Amadora,Academica,12,13,1.0,1.0,0.6666666666666666,1.0
185,Belenenses,Porto,11,1,1.0,1.6666666666666667,1.6666666666666667,0.6666666666666666
186,Benfica,Pacos Ferreira,2,15,2.333333333333333,1.3333333333333333,1.0,2.0
187,Nacional,Leiria,7,16,1.0,1.6666666666666667,0.6666666666666666,1.6666666666666667
188,Naval,Sp Lisbon,12,4,1.0,2.6666666666666665,2.6666666666666665,1.3333333333333333
189,Sp Braga,Leixoes,6,14,1.3333333333333333,0.0,0.6666666666666666,1.3333333333333333
190,Setubal,Boavista,5,9,1.6666666666666667,1.0,2.0,2.0
191,Pacos Ferreira,Guimaraes,15,3,1.0,2.0,1.3333333333333333,0.0
192,Academica,Setubal,13,5,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.0
193,Porto,Est Amadora,1,12,3.333333333333333,0.6666666666666666,1.3333333333333333,3.0
194,Boavista,Benfica,9,2,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666
195,Leiria,Naval,16,11,0.0,1.6666666666666667,1.0,2.333333333333333
196,Maritimo,Nacional,6,8,0.6666666666666666,0.6666666666666666,1.0,1.6666666666666667
197,Sp Lisbon,Sp Braga,4,7,3.333333333333333,0.6666666666666666,1.0,0.6666666666666666
198,Leixoes,Belenenses,14,10,0.6666666666666666,1.3333333333333333,1.0,1.0
199,Benfica,Academica,2,13,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.0
200,Est Amadora,Belenenses,12,10,1.3333333333333333,3.0,1.0,1.0
201,Guimaraes,Boavista,2,10,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333
202,Setubal,Porto,5,1,1.3333333333333333,1.0,3.333333333333333,0.6666666666666666
203,Nacional,Pacos Ferreira,9,14,1.0,1.0,1.6666666666666667,2.333333333333333
204,Naval,Maritimo,11,6,1.0,2.333333333333333,1.3333333333333333,0.3333333333333333
