,Milan scored,Milan received,Parma scored,Parma received,Sampdoria scored,Sampdoria received,Chievo scored,Chievo received,Bari scored,Bari received,Genoa scored,Genoa received,Fiorentina scored,Fiorentina received,Napoli scored,Napoli received,Cesena scored,Cesena received,Roma scored,Roma received,Cagliari scored,Cagliari received,Inter scored,Inter received,Palermo scored,Palermo received,Catania scored,Catania received,Juventus scored,Juventus received,Udinese scored,Udinese received,Brescia scored,Brescia received,Lazio scored,Lazio received,Lecce scored,Lecce received,Bologna scored,Bologna received
10,20,11,7,10,11,9,11,10,9,18,9,11,12,13,18,11,8,14,14,14,11,10,13,6,17,16,9,8,22,12,9,12,10,14,13,9,8,18,10,15
11,21,11,8,10,11,9,11,10,9,19,10,11,13,13,18,13,8,15,15,15,11,11,13,7,20,17,10,11,23,13,13,12,10,15,15,9,8,22,11,15
12,22,11,9,11,14,11,13,11,9,20,10,13,13,14,22,14,9,17,17,15,13,12,14,9,22,18,11,11,25,13,13,14,11,17,16,10,10,25,12,19
13,23,12,11,16,15,12,14,13,10,21,10,13,14,15,23,17,10,18,18,18,16,14,19,11,25,19,12,12,26,14,16,15,11,17,17,11,12,28,14,20
14,26,12,13,17,18,12,16,15,10,24,13,14,15,15,24,17,10,20,20,20,16,15,20,14,25,20,13,15,29,15,17,17,11,20,20,12,13,31,16,20
15,29,12,14,20,18,13,18,18,10,25,13,15,16,17,25,17,12,23,21,20,19,15,23,16,28,21,13,18,31,16,19,18,12,20,21,14,16,33,16,23
16,29,13,14,20,18,14,19,19,11,26,14,15,17,19,26,17,13,23,22,20,19,16,25,17,29,22,14,18,32,17,21,21,12,21,24,16,16,34,16,23
17,30,13,18,21,18,17,19,21,12,26,14,15,18,20,27,20,15,24,26,22,19,17,28,18,32,22,16,22,33,21,23,21,13,23,24,16,16,35,17,24
18,34,17,19,23,20,18,19,21,12,28,14,15,21,22,30,20,15,24,27,24,21,18,30,19,32,22,17,24,33,24,27,25,15,26,25,18,18,36,19,24
19,35,18,19,25,20,19,20,22,13,30,16,19,21,22,30,20,15,25,28,24,24,19,34,20,33,25,18,25,35,25,31,27,17,26,26,18,19,37,20,28
20,37,18,21,25,20,19,20,22,13,32,16,19,22,23,32,20,15,27,31,24,24,22,35,23,34,25,18,27,35,25,34,28,17,27,27,21,20,38,23,29
21,39,18,22,28,20,23,23,22,14,34,19,20,22,25,36,20,16,28,32,24,26,23,38,25,36,28,18,29,36,27,36,29,17,30,29,21,21,39,23,30
22,39,18,22,29,20,24,25,22,14,37,19,21,23,25,36,22,17,29,33,25,27,23,41,25,38,29,19,30,37,29,37,30,18,31,29,21,22,39,24,31
23,40,19,23,30,20,26,26,23,14,39,20,22,24,26,38,22,17,31,36,30,28,26,46,28,42,31,19,31,40,30,39,30,20,31,30,22,24,43,25,31
24,44,19,23,34,23,27,27,27,14,39,20,22,28,28,40,22,17,34,36,32,32,27,46,29,44,35,22,33,41,30,42,30,20,33,32,22,26,46,26,34
25,46,20,25,36,23,27,28,29,14,40,24,25,28,28,41,22,19,36,39,36,32,28,47,29,44,36,22,34,41,32,42,30,20,33,33,22,28,46,27,34
26,49,20,27,38,23,29,28,30,15,41,25,27,29,29,41,25,20,36,41,38,33,28,49,29,44,43,24,35,41,34,49,30,22,35,33,23,30,48,29,34
27,50,20,27,38,25,32,28,30,15,42,27,32,32,29,41,25,23,38,43,39,35,30,54,31,44,45,24,38,41,35,50,30,22,35,35,23,31,50,31,36
28,51,21,28,41,25,33,28,31,16,43,28,32,33,29,44,26,25,40,45,39,35,34,55,32,44,46,25,38,43,37,54,30,23,36,35,25,31,51,32,36
29,51,22,29,41,25,34,30,32,17,45,29,33,35,31,46,27,25,41,47,41,36,36,56,32,45,46,25,40,45,38,56,30,24,38,36,25,31,52,33,37
30,54,22,30,43,25,34,30,32,19,46,29,34,37,33,50,30,27,43,47,43,37,36,56,35,45,50,29,40,47,38,56,32,27,39,39,29,33,52,34,40
31,56,23,30,45,26,36,30,34,20,47,31,37,38,35,52,30,29,45,49,44,38,37,58,35,47,52,30,41,50,40,57,34,28,40,41,29,35,53,34,42
32,59,23,32,45,26,39,32,34,20,48,34,37,38,35,53,32,30,45,51,47,41,40,58,37,50,54,31,45,50,40,59,35,28,43,45,30,38,56,34,44
33,60,23,34,45,27,39,32,35,20,49,38,39,40,36,54,34,32,45,52,47,42,42,60,38,52,55,33,47,52,42,59,37,28,44,46,32,40,60,34,46
34,61,23,37,46,30,42,33,35,22,52,38,40,45,38,55,34,33,47,55,49,42,44,62,39,53,58,35,47,53,42,61,42,31,47,46,33,40,61,34,47
35,61,23,37,46,31,44,35,37,23,54,40,41,46,41,56,36,35,47,55,49,42,46,65,40,55,59,37,48,55,44,63,43,32,49,47,35,42,62,34,47
36,65,24,38,46,32,46,35,39,23,56,42,45,47,42,57,37,36,47,56,51,43,50,66,41,57,60,39,49,55,45,65,43,32,50,51,37,44,62,35,48
37,65,24,39,47,33,49,38,40,27,56,45,47,49,44,59,39,38,50,59,52,44,51,69,42,58,63,40,52,57,47,65,43,34,52,55,39,46,66,35,52
