,Genoa scored,Genoa received,Verona scored,Verona received,Juventus scored,Juventus received,Milan scored,Milan received,Napoli scored,Napoli received,Fiorentina scored,Fiorentina received,Cagliari scored,Cagliari received,Sassuolo scored,Sassuolo received,Atalanta scored,Atalanta received,Benevento scored,Benevento received,Inter scored,Inter received,Lazio scored,Lazio received,Spezia Calcio scored,Spezia Calcio received,Udinese scored,Udinese received,Torino scored,Torino received,Bologna scored,Bologna received,Parma scored,Parma received,Crotone scored,Crotone received,Roma scored,Roma received,Sampdoria scored,Sampdoria received
20,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
21,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
22,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
23,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
24,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
25,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
26,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
27,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
28,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
29,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
30,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
31,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
32,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
33,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
34,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
35,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
36,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
37,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
