,Angers scored,Angers received,Monaco scored,Monaco received,Bastia scored,Bastia received,Reims scored,Reims received,Toulouse scored,Toulouse received,Nantes scored,Nantes received,Paris SG scored,Paris SG received,Caen scored,Caen received,Troyes scored,Troyes received,Lorient scored,Lorient received,Ajaccio GFCO scored,Ajaccio GFCO received,Lyon scored,Lyon received,St Etienne scored,St Etienne received,Bordeaux scored,Bordeaux received,Nice scored,Nice received,Rennes scored,Rennes received,Guingamp scored,Guingamp received,Lille scored,Lille received,Marseille scored,Marseille received,Montpellier scored,Montpellier received
19,2,0,2,2,0,2,1,3,3,1,2,1,2,0,0,2,1,4,2,2,2,2,4,1,1,2,1,0,1,1,2,2,0,0,1,1,0,0,0,1
20,1,2,2,0,1,0,2,2,0,1,2,2,1,0,1,3,2,4,0,2,2,2,0,1,1,0,1,0,2,1,4,2,2,2,0,1,3,1,0,1
21,1,5,4,0,0,1,1,1,0,4,2,2,5,1,2,1,3,1,1,2,0,1,1,1,1,1,2,2,2,1,1,0,1,0,1,3,1,1,1,2
22,3,0,0,3,1,0,0,2,1,2,1,0,2,0,2,0,0,1,2,0,0,4,0,1,0,2,4,0,0,2,0,4,2,1,1,1,1,1,4,0
23,1,2,2,0,0,2,2,1,0,1,3,1,3,1,0,1,0,4,1,3,1,3,3,0,1,0,0,3,1,0,0,1,4,0,1,0,1,0,0,1
24,0,3,1,0,2,0,2,0,0,0,0,0,2,1,0,2,0,2,1,1,0,0,3,0,4,1,1,4,0,1,1,1,0,0,1,1,1,2,1,1
25,0,1,1,1,1,0,0,1,0,2,2,1,0,0,1,4,3,2,1,2,2,3,4,1,1,1,4,2,1,1,1,0,2,4,0,0,1,1,2,0
26,2,3,3,1,0,0,1,4,1,1,0,0,4,1,1,0,1,3,4,3,1,1,0,1,1,1,0,0,0,0,0,1,3,4,1,0,1,1,3,2
27,2,2,0,0,2,0,4,1,1,2,0,0,1,2,2,1,0,1,1,0,1,1,2,1,1,2,1,4,0,2,2,1,2,2,0,3,1,1,3,0
28,0,0,2,2,0,0,0,2,1,1,1,4,0,0,2,2,1,2,0,0,1,1,5,1,0,0,1,1,2,1,4,1,1,5,2,0,1,1,0,0
29,0,2,2,2,1,2,2,2,4,0,2,0,9,0,0,1,0,9,1,1,1,0,2,2,0,2,0,4,2,0,2,2,2,0,2,1,1,1,0,2
30,5,1,2,0,1,1,0,1,0,1,0,2,0,2,2,1,1,2,1,5,0,3,2,0,3,0,1,1,3,0,5,2,1,0,1,0,2,5,0,3
31,1,0,1,2,2,1,1,3,2,0,0,3,4,1,0,2,0,1,1,3,0,2,3,1,2,0,2,1,1,4,3,1,2,2,3,0,1,2,2,2
32,0,0,1,4,0,4,2,1,4,0,1,2,2,0,1,2,0,1,2,1,0,0,2,0,1,0,0,0,3,0,0,3,0,2,4,1,0,0,0,2
33,3,1,2,1,0,1,1,2,1,1,0,2,6,0,0,6,2,1,1,1,2,4,1,1,1,0,1,3,1,1,0,3,3,0,4,2,1,2,2,0
34,0,0,1,1,2,3,0,2,2,3,1,1,1,1,1,1,1,4,0,2,3,2,3,2,2,0,1,1,2,0,1,1,1,1,0,0,1,1,4,1
35,0,1,3,2,0,0,2,3,0,0,1,0,4,0,0,0,2,4,0,1,1,2,2,1,0,0,4,2,0,1,0,4,2,3,1,0,1,0,3,2
36,0,1,1,6,1,0,0,1,1,0,1,2,4,0,2,1,0,1,0,3,0,4,6,1,0,2,3,0,2,0,0,2,0,0,0,0,1,0,2,0
37,2,3,2,0,2,1,4,1,3,2,0,4,4,0,1,0,1,1,1,0,0,1,1,4,0,1,0,1,3,2,1,2,2,3,1,0,1,1,0,2
