,Hertha scored,Hertha received,Dortmund scored,Dortmund received,Leverkusen scored,Leverkusen received,Bayern Munich scored,Bayern Munich received,Hannover scored,Hannover received,Mainz scored,Mainz received,Werder Bremen scored,Werder Bremen received,Schalke 04 scored,Schalke 04 received,Hamburg scored,Hamburg received,Nurnberg scored,Nurnberg received,Hoffenheim scored,Hoffenheim received,Stuttgart scored,Stuttgart received,Braunschweig scored,Braunschweig received,M'gladbach scored,M'gladbach received,Freiburg scored,Freiburg received,Wolfsburg scored,Wolfsburg received,Augsburg scored,Augsburg received,Ein Frankfurt scored,Ein Frankfurt received
15,25,19,37,18,32,15,42,8,22,29,22,29,21,37,32,28,31,35,17,33,36,37,29,31,9,32,33,17,14,30,26,17,20,24,19,28
16,27,20,38,20,32,16,44,9,23,31,25,31,22,37,32,28,33,38,17,33,36,38,30,33,10,32,35,19,16,31,28,19,21,25,20,29
17,27,21,40,22,34,19,46,9,26,32,27,32,22,37,35,28,33,41,21,33,36,42,31,35,10,32,35,21,19,33,29,22,23,27,21,29
18,28,24,42,23,36,20,51,9,29,33,29,32,23,40,37,29,33,44,24,34,39,42,32,37,11,34,36,24,19,35,30,24,26,28,21,34
19,31,24,47,24,37,20,53,9,29,35,29,35,24,45,39,29,33,47,24,36,40,43,33,41,11,37,36,25,20,36,33,24,30,29,24,34
20,32,26,51,24,38,22,57,9,29,37,31,35,25,46,41,30,35,51,25,36,44,44,34,45,15,39,37,26,20,40,35,25,30,30,24,38
21,34,27,51,27,39,25,61,9,29,41,31,35,25,46,41,30,38,51,27,37,46,46,35,47,16,41,39,28,22,44,38,26,34,32,24,38
22,34,27,54,27,39,26,66,10,30,42,32,35,26,46,42,35,38,52,27,40,52,48,36,49,17,42,40,29,22,44,40,32,35,33,26,39
23,35,28,55,27,40,27,72,11,31,43,33,36,28,46,46,35,39,53,27,42,52,52,38,51,19,44,41,31,22,45,41,38,37,34,27,40
24,35,31,56,29,41,29,74,12,34,43,37,38,29,47,48,36,41,54,28,44,54,56,39,52,20,45,43,32,26,46,42,39,38,36,28,44
25,35,34,59,29,43,32,76,12,34,46,37,40,30,50,51,37,41,55,30,49,57,58,40,52,21,48,46,32,29,47,43,40,39,37,33,46
26,36,37,59,29,46,33,79,13,35,49,38,43,31,53,51,37,42,56,32,49,60,59,40,54,24,49,46,33,30,48,46,41,40,40,34,46
27,36,39,62,31,47,34,82,16,36,51,41,43,33,54,53,37,43,59,34,52,63,62,42,57,25,50,49,34,33,50,48,42,40,43,35,48
28,37,40,64,32,48,36,82,17,36,54,41,45,34,55,54,38,45,60,34,54,64,63,44,57,28,50,51,34,33,52,49,44,41,43,37,48
29,38,42,67,32,50,37,82,20,38,55,44,45,34,58,56,38,46,62,35,58,66,63,45,58,28,52,52,35,35,52,53,45,41,45,37,50
30,38,42,71,34,54,38,84,20,41,57,46,49,37,59,57,41,47,65,36,62,67,66,48,59,28,54,54,39,39,54,56,46,41,45,39,53
31,40,42,73,36,56,40,89,22,41,57,48,49,39,64,57,42,48,68,36,64,67,66,48,59,28,56,55,39,41,56,58,48,44,46,39,53
32,40,44,76,38,58,40,93,23,43,57,49,52,41,64,59,42,49,72,36,66,69,69,49,61,28,57,58,40,41,58,60,49,45,46,39,55
33,40,48,80,38,60,41,94,23,46,59,52,54,42,66,63,43,51,75,37,70,72,70,49,62,29,60,59,43,43,61,63,50,47,47,40,57
