,Dortmund scored,Dortmund received,Leverkusen scored,Leverkusen received,Bayern Munich scored,Bayern Munich received,Hannover scored,Hannover received,Mainz scored,Mainz received,Werder Bremen scored,Werder Bremen received,Schalke 04 scored,Schalke 04 received,Hamburg scored,Hamburg received,Nurnberg scored,Nurnberg received,Hoffenheim scored,Hoffenheim received,Stuttgart scored,Stuttgart received,M'gladbach scored,M'gladbach received,Freiburg scored,Freiburg received,Wolfsburg scored,Wolfsburg received,Augsburg scored,Augsburg received,Ein Frankfurt scored,Ein Frankfurt received,Hertha scored,Hertha received,Braunschweig scored,Braunschweig received
13,1.3333333333333333,2.0,3.0,1.0,2.6666666666666665,0.0,1.0,1.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,3.3333333333333335,3.0,1.3333333333333333,2.3333333333333335,2.3333333333333335,0.6666666666666666,2.3333333333333335,2.0,3.0,1.0,2.0,2.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,1.0,1.0,2.0,1.0,1.0,0.0,1.0
14,1.0,1.6666666666666667,1.6666666666666667,0.0,4.0,0.0,1.6666666666666667,2.3333333333333335,1.6666666666666667,2.0,2.0,4.666666666666667,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,0.0,1.3333333333333333,2.3333333333333335,0.6666666666666666,0.3333333333333333,0.0,1.6666666666666667
15,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.3333333333333333,4.0,0.3333333333333333,2.3333333333333335,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.0,4.666666666666667,2.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.3333333333333333,2.3333333333333335,2.6666666666666665,2.3333333333333335,1.6666666666666667,2.6666666666666665,1.0,0.3333333333333333,0.0,2.0,2.3333333333333335,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,2.6666666666666665
16,1.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,4.0,0.6666666666666666,2.0,3.0,1.3333333333333333,1.0,1.0,3.3333333333333335,1.0,0.6666666666666666,1.0,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,2.3333333333333335,1.3333333333333333,1.0,0.6666666666666666,2.0,2.6666666666666665,1.0,2.0,0.6666666666666666,1.0,1.0,2.3333333333333335,1.0,0.6666666666666666,2.0
17,1.6666666666666667,2.0,0.6666666666666666,1.6666666666666667,2.3333333333333335,0.6666666666666666,2.3333333333333335,2.0,1.6666666666666667,1.0,1.0,1.0,1.6666666666666667,0.0,1.0,3.0,2.3333333333333335,1.0,0.6666666666666666,2.3333333333333335,1.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,2.0,2.3333333333333335,1.3333333333333333,1.0,0.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.3333333333333333
18,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.6666666666666667,3.0,0.3333333333333333,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.0,0.6666666666666666,1.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,3.0,2.3333333333333335,0.3333333333333333,1.0,1.6666666666666667,1.0,2.0,1.0,2.3333333333333335,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.3333333333333335,2.0,1.3333333333333333,0.6666666666666666,2.0,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666
19,3.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,3.0,0.0,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.6666666666666665,2.3333333333333335,0.3333333333333333,0.0,3.0,2.3333333333333335,1.0,1.3333333333333333,1.6666666666666667,1.0,2.6666666666666665,0.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,3.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.6666666666666667
20,3.6666666666666665,0.6666666666666666,1.3333333333333333,1.0,3.6666666666666665,0.0,1.0,1.6666666666666667,1.3333333333333333,1.0,1.0,3.0,2.0,0.6666666666666666,0.6666666666666666,3.3333333333333335,1.3333333333333333,1.0,2.6666666666666665,0.6666666666666666,1.0,3.3333333333333335,0.6666666666666666,1.6666666666666667,0.3333333333333333,2.3333333333333335,2.0,1.0,2.3333333333333335,1.0,1.0,3.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.3333333333333335
21,3.0,1.3333333333333333,1.0,1.6666666666666667,3.3333333333333335,0.0,0.0,2.6666666666666665,0.6666666666666666,1.0,0.6666666666666666,2.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,2.3333333333333335,1.0,1.0,2.3333333333333335,1.3333333333333333,1.0,3.3333333333333335,1.0,1.3333333333333333,1.0,3.0,2.6666666666666665,0.6666666666666666,2.6666666666666665,1.3333333333333333,1.0,1.3333333333333333,2.0,1.0,1.6666666666666667,2.3333333333333335
22,2.3333333333333335,1.0,0.6666666666666666,2.0,4.333333333333333,0.3333333333333333,0.3333333333333333,2.3333333333333335,1.0,0.0,0.6666666666666666,0.3333333333333333,1.0,2.0,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,4.0,1.6666666666666667,1.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.6666666666666665,2.3333333333333335,2.6666666666666665,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,1.0,2.0,1.6666666666666667
23,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,5.0,0.6666666666666666,0.6666666666666666,2.0,0.6666666666666666,0.3333333333333333,1.0,0.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,2.6666666666666665,2.6666666666666665,1.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,2.0,4.333333333333333,2.3333333333333335,1.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667
24,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.3333333333333333,4.333333333333333,1.0,1.6666666666666667,0.6666666666666666,2.0,1.0,1.3333333333333333,0.3333333333333333,2.3333333333333335,2.0,1.0,1.0,0.3333333333333333,2.3333333333333335,2.6666666666666665,3.3333333333333335,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,4.333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333
25,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.0,3.3333333333333335,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,3.0,0.6666666666666666,1.0,1.0,1.0,3.0,1.6666666666666667,3.3333333333333335,1.3333333333333333,1.0,2.0,1.0,2.3333333333333335,1.0,1.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,2.3333333333333335,2.3333333333333335,0.3333333333333333,2.3333333333333335,1.3333333333333333,2.0
26,1.3333333333333333,0.6666666666666666,2.0,2.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.0,1.6666666666666667,2.3333333333333335,1.0,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.0,1.0,1.6666666666666667,2.3333333333333335,2.6666666666666665,2.3333333333333335,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,2.6666666666666665,1.0,1.6666666666666667,1.0,1.0,2.0,2.3333333333333335,2.0,0.3333333333333333,3.0,1.6666666666666667,1.6666666666666667
27,2.0,0.6666666666666666,2.0,1.6666666666666667,2.6666666666666665,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.6666666666666667,2.0,2.6666666666666665,3.0,2.0,1.0,1.6666666666666667,2.0,0.6666666666666666,2.3333333333333335,1.3333333333333333,2.0,1.0,0.6666666666666666,2.3333333333333335,2.3333333333333335,1.3333333333333333,0.3333333333333333,2.6666666666666665,1.6666666666666667,1.6666666666666667
28,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,2.0,1.6666666666666667,0.6666666666666666,2.6666666666666665,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.0,1.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,2.3333333333333335,0.6666666666666666
29,2.6666666666666665,1.0,1.3333333333333333,1.3333333333333333,1.0,2.3333333333333335,1.0,2.0,2.0,0.6666666666666666,1.0,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.3333333333333333,2.0,1.0,3.0,2.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0
