,Galatasaray scored,Galatasaray received,Kayserispor scored,Kayserispor received,Gaziantepspor scored,Gaziantepspor received,Buyuksehyr scored,Buyuksehyr received,Oftasspor scored,Oftasspor received,Ankaragucu scored,Ankaragucu received,Besiktas scored,Besiktas received,Sivasspor scored,Sivasspor received,Bursaspor scored,Bursaspor received,Denizlispor scored,Denizlispor received,Ankaraspor scored,Ankaraspor received,Genclerbirligi scored,Genclerbirligi received,Konyaspor scored,Konyaspor received,Trabzonspor scored,Trabzonspor received,Manisaspor scored,Manisaspor received,Fenerbahce scored,Fenerbahce received,Rizespor scored,Rizespor received,Kasimpasa scored,Kasimpasa received
11,3,2,2,1,0,1,1,1,3,1,1,0,1,2,2,1,1,1,2,0,1,1,2,3,2,1,0,2,1,1,1,2,1,2,1,3
12,1,0,0,1,2,2,0,2,0,1,1,0,1,0,1,0,1,0,2,0,2,4,2,2,0,1,0,1,0,1,4,2,2,0,0,2
13,2,2,1,1,0,1,2,2,1,1,0,1,1,1,0,2,2,0,0,1,2,0,2,1,1,0,1,2,1,0,1,0,1,1,0,2
14,0,2,0,0,2,3,0,0,0,0,2,2,1,0,2,0,0,1,0,2,0,0,0,0,4,2,3,2,2,4,2,0,0,0,2,2
15,2,0,4,1,2,1,1,2,1,2,1,3,3,1,0,2,1,4,2,1,1,2,1,2,1,2,2,1,2,2,2,1,2,1,2,2
16,0,0,1,1,2,1,1,2,0,0,1,1,2,1,2,0,0,0,0,2,0,0,0,2,2,1,2,3,1,2,3,2,2,0,1,2
17,5,2,1,0,1,0,2,2,1,1,1,1,2,1,2,0,1,1,1,1,1,1,1,1,1,2,0,2,0,1,2,2,2,5,0,1
18,1,0,3,0,0,5,0,2,2,1,1,1,4,2,2,0,0,1,1,1,1,0,4,1,0,3,1,2,0,1,5,0,1,4,2,4
19,4,0,2,0,1,3,2,3,3,2,0,4,3,1,1,4,2,1,2,3,3,1,1,2,1,3,4,0,3,2,4,1,0,4,0,2
20,6,3,2,0,0,0,2,1,1,3,0,1,0,2,0,0,1,2,2,1,2,0,1,0,1,2,2,1,3,6,3,1,1,2,0,2
21,1,0,3,1,1,3,2,2,0,1,0,2,3,2,1,0,2,2,0,1,2,3,2,1,0,1,2,0,1,2,4,2,2,4,1,0
22,0,1,3,0,1,1,1,2,1,1,2,1,2,1,0,0,2,0,1,2,0,3,6,1,1,6,2,2,2,2,0,2,0,0,1,0
23,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0
24,2,0,0,2,1,1,5,0,2,2,2,3,2,1,3,2,2,2,1,0,0,1,1,2,0,5,2,1,1,4,4,1,1,1,1,2
25,1,0,3,0,1,2,0,1,0,2,2,0,3,0,1,1,2,1,2,1,0,1,0,3,1,4,0,3,1,1,4,1,1,2,1,0
26,2,1,1,2,1,0,2,1,1,0,0,0,1,2,3,0,0,1,1,2,3,1,1,3,0,3,2,1,0,1,3,0,0,0,0,3
27,0,0,1,2,0,0,2,1,1,0,2,0,1,2,4,0,0,2,3,2,1,0,2,3,0,1,0,1,2,1,2,1,1,2,0,4
28,1,0,1,2,2,1,0,1,0,1,1,2,2,1,1,2,1,0,0,2,1,0,0,1,2,2,2,0,0,1,2,1,2,2,1,0
29,1,0,0,1,0,2,3,2,1,0,2,1,0,1,1,0,0,2,2,3,2,2,2,0,2,0,0,1,1,2,2,2,1,0,0,1
30,3,0,1,1,1,0,0,3,1,1,0,3,2,1,2,1,1,0,1,4,1,2,0,0,3,0,0,0,0,1,4,1,1,2,0,1
31,1,0,3,0,1,1,1,2,0,1,2,2,3,0,2,1,0,3,1,2,1,0,2,1,0,2,1,1,2,0,0,1,0,3,2,2
32,5,3,1,0,1,1,1,2,0,2,0,2,2,0,3,5,0,1,2,0,1,0,2,3,1,1,2,1,1,2,3,2,0,1,2,1
33,2,0,0,2,1,0,0,1,0,2,2,0,5,1,2,0,1,1,5,1,1,1,0,2,1,2,2,0,1,5,0,2,1,5,2,1
