,Dortmund scored,Dortmund received,Bayern Munich scored,Bayern Munich received,Schalke 04 scored,Schalke 04 received,Hertha scored,Hertha received,Hoffenheim scored,Hoffenheim received,M'gladbach scored,M'gladbach received,Hamburg scored,Hamburg received,Hannover scored,Hannover received,Ein Frankfurt scored,Ein Frankfurt received,Freiburg scored,Freiburg received,FC Koln scored,FC Koln received,Mainz scored,Mainz received,Augsburg scored,Augsburg received,Werder Bremen scored,Werder Bremen received,Leverkusen scored,Leverkusen received,RB Leipzig scored,RB Leipzig received,Stuttgart scored,Stuttgart received,Wolfsburg scored,Wolfsburg received
10,1,3,3,1,1,0,3,3,3,0,1,1,3,1,1,2,2,1,0,1,0,3,1,1,1,1,1,2,1,1,2,1,1,3,3,3
11,1,2,3,0,2,0,2,4,1,1,4,2,0,2,0,4,1,1,1,3,0,1,1,0,0,3,4,0,2,2,2,2,2,1,3,1
12,4,4,1,2,4,4,2,0,0,3,2,1,3,0,1,1,0,1,2,1,0,2,1,2,2,1,0,2,1,0,2,0,1,1,1,2
13,1,1,3,1,2,2,1,2,4,0,0,3,0,0,1,3,2,1,0,0,2,2,1,3,3,1,1,0,1,1,0,4,0,1,3,0
14,1,2,1,0,1,1,1,1,0,2,1,1,0,0,2,0,0,1,4,3,3,4,2,2,1,1,2,1,2,0,2,2,0,2,0,0
15,2,0,1,0,3,2,3,1,1,0,0,1,1,2,1,3,2,1,1,0,0,1,0,2,2,3,0,1,1,0,1,1,0,1,1,1
16,2,1,1,0,2,2,3,2,1,2,3,1,1,3,4,4,2,2,3,3,1,0,2,2,3,3,2,2,4,4,2,3,0,1,0,1
17,0,0,3,1,1,3,0,1,1,1,1,2,0,1,3,2,1,1,1,1,2,1,2,3,1,0,1,1,1,3,3,1,1,0,0,0
18,1,1,4,2,1,1,1,1,1,4,2,0,0,2,1,1,3,1,2,1,2,0,3,2,0,2,2,4,4,1,1,2,2,3,1,3
19,2,2,5,2,2,0,0,0,2,5,0,2,1,1,0,1,2,0,2,2,1,1,0,2,1,1,0,0,2,0,1,1,0,2,1,0
20,3,2,2,0,1,2,1,1,1,1,0,1,1,1,1,1,0,3,0,0,2,3,0,2,3,0,2,1,0,0,1,0,1,1,1,1
21,2,0,2,1,1,2,2,0,4,2,0,1,0,2,2,1,4,2,1,2,2,4,2,4,0,2,3,1,0,2,2,0,1,0,1,3
22,1,0,2,1,2,1,0,2,1,2,0,1,1,2,1,1,2,1,1,0,1,1,2,0,0,1,0,1,2,1,1,2,1,0,1,2
23,1,1,0,0,2,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,2,1,1,1,1,1,1,0,0,2,1,2,1,0,1,1
24,1,1,4,0,1,0,0,1,2,0,2,2,0,0,0,1,1,0,0,4,2,3,0,0,0,2,2,2,2,1,1,1,3,2,1,2
25,3,2,6,0,1,0,0,0,3,0,0,2,0,6,1,3,2,3,0,0,1,3,0,1,3,1,3,1,2,0,0,0,0,0,0,3
26,1,0,1,2,1,0,2,1,3,3,3,3,1,2,0,1,3,0,1,2,2,0,0,3,1,3,3,1,0,2,2,1,2,1,0,1
27,0,6,6,0,2,0,0,0,6,0,0,0,1,1,2,3,1,2,0,2,0,6,0,0,0,0,2,1,0,0,3,2,1,1,0,0
28,3,0,4,1,2,3,1,2,1,1,2,1,3,2,2,1,1,1,0,2,1,1,1,1,1,4,1,2,4,1,1,4,0,3,2,0
29,0,2,5,1,2,0,2,1,2,0,1,5,0,2,1,1,1,4,0,2,1,2,2,0,0,0,1,1,4,1,1,1,1,1,0,0
30,4,0,3,0,2,2,3,0,5,2,3,0,1,0,0,3,0,3,0,1,2,2,0,2,2,0,0,2,0,4,2,5,2,0,0,3
31,1,1,4,1,1,1,2,2,3,1,1,1,3,1,1,3,1,4,3,2,2,3,3,0,2,2,1,1,0,1,0,3,1,0,1,3
32,1,2,3,1,2,1,1,3,0,2,3,1,0,3,3,1,3,0,1,3,1,3,2,1,1,2,0,0,0,0,4,1,2,0,1,4
33,1,3,1,4,1,0,2,6,3,1,1,2,2,1,2,3,0,1,2,0,1,4,1,2,0,2,2,1,3,2,6,2,4,1,4,1
