,Inter scored,Inter received,Napoli scored,Napoli received,Chievo scored,Chievo received,Genoa scored,Genoa received,Juventus scored,Juventus received,Fiorentina scored,Fiorentina received,Lazio scored,Lazio received,Sampdoria scored,Sampdoria received,Roma scored,Roma received,Catania scored,Catania received,Torino scored,Torino received,Udinese scored,Udinese received,Milan scored,Milan received,Bologna scored,Bologna received,Cagliari scored,Cagliari received,Parma scored,Parma received,Pescara scored,Pescara received,Palermo scored,Palermo received,Atalanta scored,Atalanta received,Siena scored,Siena received
24,1,4,0,0,1,1,1,0,0,1,4,1,0,3,0,0,1,0,1,0,2,1,0,1,2,1,0,1,2,0,1,2,0,2,1,1,1,2,3,0
25,1,1,0,0,0,2,0,0,3,0,1,2,2,0,2,0,3,2,2,1,3,4,0,0,1,1,2,1,4,3,1,2,0,2,0,0,2,3,0,3
26,3,2,1,1,1,2,1,3,1,1,2,1,0,3,1,0,3,1,2,3,0,0,1,0,3,0,3,0,0,3,0,1,0,1,0,0,2,0,0,2
27,0,1,0,2,2,0,0,2,1,0,2,0,0,2,1,3,1,1,0,1,1,4,1,1,2,0,1,0,3,1,4,1,1,2,1,2,2,1,2,1
28,2,0,3,2,2,0,2,3,2,0,3,2,0,1,0,2,2,0,3,1,1,0,1,3,2,0,0,2,0,0,0,2,0,2,0,2,2,3,0,0
29,1,2,5,3,0,1,2,2,2,1,1,2,2,1,0,0,0,2,1,2,3,5,0,0,1,0,0,0,2,1,3,0,0,3,2,0,0,0,2,2
30,3,4,2,0,1,3,0,2,2,1,2,2,1,1,1,3,1,1,0,0,2,2,3,1,2,2,2,2,0,0,0,0,1,2,3,1,4,3,0,0
31,0,2,1,1,0,0,1,1,2,0,2,0,0,2,1,1,2,1,0,0,1,2,3,0,1,1,1,1,2,0,0,3,2,3,1,1,0,2,3,2
32,1,0,3,2,1,0,1,1,1,0,4,3,0,1,1,1,1,1,1,1,3,4,1,0,0,1,1,1,2,3,0,1,1,1,1,1,1,1,0,1
33,0,1,3,0,0,1,1,0,2,0,3,0,0,0,0,3,4,0,2,4,0,2,1,0,4,2,1,1,0,1,0,0,0,3,1,0,1,1,0,4
34,1,3,3,1,0,0,4,1,1,0,0,1,6,0,1,3,1,0,3,0,0,1,3,1,1,0,0,6,0,0,2,0,1,4,0,1,0,2,0,3
35,1,3,3,0,1,0,0,0,1,0,1,0,3,1,1,1,0,1,1,1,0,0,3,2,4,0,0,3,0,1,1,0,0,4,2,3,0,1,0,1
36,0,0,2,1,1,1,0,0,1,1,1,0,2,0,0,2,0,0,1,0,1,1,2,1,0,0,2,0,1,1,0,2,0,1,0,1,1,2,1,2
37,2,5,1,2,2,2,0,0,2,3,5,1,0,1,3,2,2,1,2,2,2,2,5,2,2,1,0,0,1,0,3,1,1,5,1,3,2,2,1,2
