,Rennes scored,Rennes received,Montpellier scored,Montpellier received,Lyon scored,Lyon received,Toulouse scored,Toulouse received,St Etienne scored,St Etienne received,Lorient scored,Lorient received,Caen scored,Caen received,Evian Thonon Gaillard scored,Evian Thonon Gaillard received,Sochaux scored,Sochaux received,Marseille scored,Marseille received,Brest scored,Brest received,Nancy scored,Nancy received,Lille scored,Lille received,Bordeaux scored,Bordeaux received,Paris SG scored,Paris SG received,Valenciennes scored,Valenciennes received,Auxerre scored,Auxerre received,Nice scored,Nice received,Ajaccio scored,Ajaccio received,Dijon scored,Dijon received
17,28,23,37,19,31,20,20,17,23,20,18,21,24,29,23,27,21,32,24,17,19,19,16,23,29,15,20,21,30,17,17,21,24,28,17,19,18,36,18,33
18,29,23,39,23,31,21,20,17,23,21,18,21,24,29,27,29,21,34,27,18,19,19,17,26,33,19,20,22,31,17,18,21,26,30,21,23,20,36,20,35
19,31,23,40,23,31,22,21,20,24,21,20,23,24,31,28,32,21,35,29,18,20,19,19,28,33,21,22,23,34,18,19,23,27,32,21,24,22,37,23,36
20,32,25,41,23,34,23,22,20,24,24,21,24,24,32,28,32,22,36,31,19,20,20,22,29,36,21,22,23,35,18,20,25,28,35,21,25,24,38,24,39
21,32,25,42,23,36,25,22,22,28,26,23,28,26,33,29,35,22,37,33,21,20,21,22,29,37,21,24,23,38,19,22,26,29,37,22,26,25,39,25,41
22,33,25,45,23,37,27,22,23,29,26,24,29,28,34,31,35,22,38,33,23,21,22,22,30,41,26,29,27,38,19,23,26,30,38,22,26,25,42,26,42
23,33,29,47,25,37,28,25,23,33,26,24,30,30,36,33,37,22,38,34,24,21,22,22,33,42,26,30,27,40,21,24,27,30,38,22,29,25,42,29,42
24,34,30,48,25,41,32,27,23,33,26,24,32,30,37,35,37,22,40,34,25,22,22,22,35,43,27,30,28,44,25,26,27,30,38,23,29,27,43,30,44
25,36,30,49,26,41,34,28,23,33,28,24,34,30,37,37,37,23,41,34,26,22,22,24,35,45,29,31,30,48,26,27,28,32,40,25,30,28,47,31,45
26,37,31,52,26,43,35,29,24,35,29,25,35,30,40,39,40,26,43,34,27,22,24,25,36,46,31,33,30,50,27,28,30,33,41,26,31,29,47,32,47
27,37,32,52,27,44,35,30,24,35,30,27,36,32,42,41,40,28,43,35,29,23,26,26,36,50,31,34,31,52,29,28,34,33,43,26,33,30,48,34,48
28,37,33,53,27,46,36,31,24,35,31,28,37,32,44,41,43,29,45,36,30,23,27,27,36,53,31,35,32,53,30,29,34,33,44,27,34,31,49,36,48
29,38,34,56,28,47,37,32,26,37,34,28,38,32,44,42,43,31,46,37,33,24,29,29,37,55,32,36,33,54,32,29,36,35,44,30,36,31,49,37,49
30,41,35,58,29,49,38,32,28,38,35,28,40,33,44,43,46,32,48,38,35,27,30,31,37,56,35,36,34,56,33,31,36,36,46,32,36,32,50,37,51
31,44,36,59,31,49,41,35,28,40,36,30,41,34,45,46,46,33,48,39,36,28,32,33,39,60,36,38,36,57,34,31,39,37,47,33,39,33,54,37,52
32,45,36,60,31,52,43,36,30,44,37,32,44,35,49,48,47,34,54,40,38,28,33,33,39,62,36,40,37,63,35,31,40,37,48,34,39,33,54,37,54
33,48,37,61,31,55,44,36,31,45,37,34,45,36,50,49,50,34,57,41,40,28,37,34,40,64,37,43,37,64,37,33,40,41,48,34,41,34,57,37,55
34,48,39,63,33,59,45,36,31,45,39,34,46,37,50,51,52,35,59,42,40,28,37,34,41,65,37,45,37,66,37,34,44,43,48,34,42,36,58,37,57
35,48,41,65,33,60,46,36,31,45,39,34,46,37,53,53,53,36,59,42,40,29,38,34,42,68,37,49,39,70,40,37,48,45,52,34,42,37,60,37,57
36,48,44,66,33,61,47,37,32,47,42,34,47,38,56,54,54,39,60,45,40,30,38,37,44,68,38,50,39,73,40,37,49,45,55,35,43,38,61,38,58
37,53,44,68,34,64,51,37,34,49,45,35,49,39,59,54,55,40,60,45,41,31,38,38,48,72,39,53,41,75,41,40,50,46,57,39,46,40,61,38,63
