,Fenerbahce scored,Fenerbahce received,Kayserispor scored,Kayserispor received,Trabzonspor scored,Trabzonspor received,Karabukspor scored,Karabukspor received,Sivasspor scored,Sivasspor received,Besiktas scored,Besiktas received,Bursaspor scored,Bursaspor received,Eskisehirspor scored,Eskisehirspor received,Gaziantepspor scored,Gaziantepspor received,Genclerbirligi scored,Genclerbirligi received,Kasimpasa scored,Kasimpasa received,Galatasaray scored,Galatasaray received,Manisaspor scored,Manisaspor received,Bucaspor scored,Bucaspor received,Konyaspor scored,Konyaspor received,Buyuksehyr scored,Buyuksehyr received,Ankaragucu scored,Ankaragucu received,Antalyaspor scored,Antalyaspor received
18,43,21,25,14,41,13,30,31,18,34,31,21,34,12,19,17,17,16,17,30,14,44,20,23,29,28,14,28,17,28,24,22,26,33,20,24
19,46,22,27,15,41,13,31,32,19,36,32,22,36,13,21,21,19,16,18,30,15,47,24,25,30,31,14,29,17,30,27,23,27,35,20,24
20,48,22,27,17,44,15,32,35,21,39,32,23,37,14,22,22,20,16,19,30,18,48,24,26,34,32,17,31,19,33,27,24,28,35,21,28
21,52,24,29,17,46,16,35,37,22,41,34,27,38,18,24,23,24,17,21,33,20,49,25,26,35,34,17,32,19,33,27,24,29,37,21,30
22,54,24,32,20,49,19,37,38,26,43,36,27,40,18,25,25,26,18,25,35,20,51,26,29,37,38,17,34,20,35,30,25,31,41,21,32
23,58,26,33,22,51,20,37,38,27,46,37,29,41,19,26,25,29,19,27,39,22,54,26,29,39,39,17,35,20,37,31,26,33,41,24,34
24,60,26,33,23,52,20,38,39,28,46,37,29,42,20,28,25,30,21,27,39,22,55,28,32,39,39,19,36,20,39,31,28,36,43,24,34
25,62,27,35,27,54,21,38,40,32,46,41,31,42,20,29,25,34,22,28,41,23,55,29,34,39,40,19,40,20,39,32,32,36,43,24,34
26,62,27,36,30,55,21,41,42,33,46,41,32,42,20,31,27,36,25,31,41,26,56,29,37,39,43,20,42,20,40,34,33,38,45,27,34
27,65,28,37,34,56,21,42,44,35,47,42,32,44,23,32,30,39,27,35,42,26,57,29,38,39,43,22,43,20,40,35,35,40,48,30,36
28,66,28,38,37,57,21,42,46,36,48,44,34,44,24,34,32,39,28,37,44,27,58,32,40,41,46,25,48,23,41,37,35,45,51,32,38
29,71,31,39,38,57,21,44,47,37,50,45,35,46,25,34,32,41,29,38,45,28,59,33,41,42,48,28,53,24,42,38,39,49,52,33,40
30,73,31,40,38,60,21,44,47,38,51,47,35,46,26,35,35,41,32,39,46,30,61,33,43,45,49,31,56,26,44,38,41,49,52,36,43
31,74,31,42,39,62,22,44,48,39,52,50,35,46,29,36,37,42,32,41,47,31,64,36,44,45,50,32,58,27,46,39,42,50,53,37,44
32,80,31,43,41,65,23,46,49,40,53,53,36,49,29,37,40,44,33,43,50,31,67,39,46,49,52,34,62,28,47,40,45,50,59,38,46
33,84,34,46,44,69,23,46,53,43,57,53,36,50,29,41,40,44,33,43,51,31,71,41,46,49,52,37,65,28,49,40,45,52,62,41,48
