,Roma scored,Roma received,Udinese scored,Udinese received,Napoli scored,Napoli received,Cesena scored,Cesena received,Juventus scored,Juventus received,Milan scored,Milan received,Cagliari scored,Cagliari received,Sampdoria scored,Sampdoria received,Sassuolo scored,Sassuolo received,Palermo scored,Palermo received,Atalanta scored,Atalanta received,Torino scored,Torino received,Inter scored,Inter received,Verona scored,Verona received,Genoa scored,Genoa received,Lazio scored,Lazio received,Fiorentina scored,Fiorentina received,Chievo scored,Chievo received,Empoli scored,Empoli received,Parma scored,Parma received
23,37,18,26,32,44,30,23,47,51,13,35,30,31,45,30,27,29,35,38,39,21,35,27,25,39,31,27,43,36,29,40,27,36,24,18,30,25,27,21,47
24,38,19,26,33,44,31,24,47,52,14,35,30,32,47,32,28,29,38,38,39,22,37,28,25,39,32,29,44,38,29,43,27,37,24,18,30,25,27,21,49
25,38,19,29,35,46,33,24,47,53,14,37,32,32,49,34,28,29,39,38,39,22,37,30,28,41,34,31,46,39,30,47,27,37,28,18,30,26,28,21,49
26,38,21,29,35,46,35,25,48,54,14,38,34,33,50,36,28,33,40,38,40,22,37,30,30,42,35,33,46,39,32,49,27,39,29,20,30,27,29,22,53
27,39,21,31,37,47,36,25,49,55,14,41,35,34,53,37,28,34,43,38,41,23,38,32,30,42,36,33,48,39,33,51,27,41,31,21,30,30,30,22,55
28,40,21,32,38,47,37,28,52,57,14,43,36,35,56,37,30,35,43,39,43,24,40,34,31,43,37,36,51,40,34,54,28,43,31,21,31,30,32,23,56
29,41,22,33,41,50,37,28,53,57,15,44,37,35,58,38,31,36,45,42,44,26,41,35,32,46,37,36,54,42,34,58,28,43,34,22,31,30,36,24,56
30,42,23,34,42,53,37,28,53,59,15,44,37,35,61,38,31,37,46,44,45,27,42,36,33,46,37,37,54,43,36,58,30,43,35,23,32,32,38,26,58
31,43,25,36,43,57,39,29,56,60,17,45,39,38,62,40,35,39,49,44,46,29,44,38,34,48,38,40,56,46,37,59,31,44,38,24,33,34,40,27,58
32,46,25,37,45,59,43,31,58,63,19,46,42,38,63,41,36,39,52,46,48,31,46,40,36,50,39,41,57,49,38,63,31,46,41,25,33,38,42,27,62
33,48,25,38,45,62,43,32,61,64,19,46,45,42,63,41,37,39,52,46,48,32,47,40,37,50,39,41,58,49,40,64,32,49,42,25,33,39,42,27,66
34,49,27,39,49,64,45,34,64,65,20,48,46,43,64,45,38,42,54,48,51,35,49,41,42,52,40,43,60,54,41,65,34,52,44,27,35,41,45,29,68
35,51,28,40,51,67,47,36,67,67,21,50,49,43,65,45,39,45,56,49,51,36,53,43,42,53,42,45,61,58,42,66,34,55,44,27,37,42,47,29,71
36,53,29,40,52,68,50,36,68,70,22,53,49,44,65,46,40,46,56,51,54,37,54,43,45,55,45,47,63,61,44,67,36,58,46,28,38,43,48,31,73
37,54,31,43,56,70,54,36,73,72,24,56,50,48,68,48,42,49,57,53,55,38,57,48,45,59,48,49,65,62,47,71,38,61,46,28,41,46,52,33,75
