,Ath Bilbao scored,Ath Bilbao received,Celta scored,Celta received,Getafe scored,Getafe received,Real Madrid scored,Real Madrid received,La Coruna scored,La Coruna received,Valencia scored,Valencia received,Osasuna scored,Osasuna received,Sevilla scored,Sevilla received,Ath Madrid scored,Ath Madrid received,Alaves scored,Alaves received,Barcelona scored,Barcelona received,Zaragoza scored,Zaragoza received,Cadiz scored,Cadiz received,Villarreal scored,Villarreal received,Mallorca scored,Mallorca received,Betis scored,Betis received,Espanol scored,Espanol received,Malaga scored,Malaga received,Sociedad scored,Sociedad received,Santander scored,Santander received
18,1,2,1,1,1,1,4,2,0,2,2,0,0,2,2,4,0,1,2,0,2,1,3,1,2,0,0,1,1,3,1,0,1,0,0,2,0,1,1,0
19,3,3,2,0,5,0,3,1,2,2,2,0,1,2,3,2,2,0,0,2,2,0,0,2,1,3,2,1,2,2,0,2,0,5,0,2,3,3,2,3
20,1,0,1,2,0,1,2,1,2,3,2,2,0,2,2,0,3,2,3,1,3,0,2,2,1,1,0,2,0,3,2,0,3,1,1,3,1,3,1,1
21,1,2,1,0,2,2,4,0,0,1,1,0,1,0,0,1,3,1,2,2,1,3,4,3,1,1,1,1,1,2,3,4,0,4,2,1,2,1,0,1
22,0,2,1,0,1,1,2,0,1,0,1,0,1,1,4,0,1,0,3,2,0,1,1,1,0,4,0,1,1,1,0,1,0,2,2,3,0,1,2,0
23,1,0,0,1,0,3,3,0,1,1,2,1,3,1,1,0,3,0,0,3,5,1,1,1,1,3,4,0,2,0,1,5,0,4,0,2,1,2,0,1
24,1,1,2,0,1,1,1,2,2,1,1,1,1,2,0,5,5,0,2,2,2,0,0,2,0,2,1,1,2,1,2,0,5,0,0,5,0,2,2,2
25,1,2,2,0,1,0,2,1,2,3,0,0,0,2,2,1,1,2,2,3,3,2,3,1,2,0,3,2,0,0,0,1,0,2,0,0,1,3,0,0
26,1,0,0,2,2,1,0,0,0,1,0,0,2,1,1,2,2,1,2,1,1,2,1,2,0,1,1,1,1,1,1,1,2,0,1,1,1,0,1,2
27,1,0,0,1,1,2,0,0,2,1,1,2,4,2,1,1,1,1,0,0,2,0,1,0,0,0,1,1,1,1,0,0,2,4,0,1,0,2,2,1
28,1,1,0,1,1,3,1,1,2,1,1,1,2,0,1,0,0,1,1,0,3,1,1,1,0,1,1,1,1,0,1,0,1,1,1,2,0,2,0,1
29,1,0,2,0,2,1,4,0,0,4,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,2,0,2,2,1,0,0,0,0,1,2,0,0
30,0,0,3,0,4,0,1,1,2,0,5,3,0,4,1,2,0,3,0,0,1,1,0,1,3,5,1,0,0,0,2,1,0,0,0,3,3,0,0,2
31,1,1,0,1,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2
32,0,1,2,0,1,1,1,1,0,0,4,0,1,1,0,0,1,0,0,0,1,0,1,2,2,1,0,1,0,0,0,2,0,4,1,1,1,0,0,1
33,0,3,4,0,3,1,2,1,1,1,3,0,1,0,3,2,1,0,0,1,2,3,0,4,1,1,0,2,0,1,0,2,2,0,1,2,2,0,1,3
34,1,1,2,0,1,1,1,0,0,2,3,0,0,1,2,1,0,1,0,3,1,0,1,1,0,1,1,1,1,0,1,1,1,1,2,3,1,2,3,2
35,1,0,0,1,0,3,3,2,2,1,1,2,1,0,3,0,0,1,2,0,1,0,0,1,2,2,2,1,2,1,0,2,1,2,1,2,2,2,2,3
36,2,1,2,2,3,1,3,3,1,2,1,1,1,2,2,0,1,1,0,3,2,0,3,0,1,3,3,3,1,2,2,1,0,2,0,2,2,2,2,1
37,3,1,1,0,0,1,3,4,0,1,1,2,2,1,4,3,1,1,1,0,1,3,1,3,5,0,2,0,3,1,1,1,1,0,0,5,0,1,0,2
