,Werder Bremen scored,Werder Bremen received,Leverkusen scored,Leverkusen received,Bayern Munich scored,Bayern Munich received,Hamburg scored,Hamburg received,Schalke 04 scored,Schalke 04 received,FC Koln scored,FC Koln received,Dortmund scored,Dortmund received,Hannover scored,Hannover received,Hertha scored,Hertha received,Wolfsburg scored,Wolfsburg received,Duisburg scored,Duisburg received,Stuttgart scored,Stuttgart received,Kaiserslautern scored,Kaiserslautern received,Mainz scored,Mainz received,Bielefeld scored,Bielefeld received,Ein Frankfurt scored,Ein Frankfurt received,Nurnberg scored,Nurnberg received,M'gladbach scored,M'gladbach received
19,51,23,30,28,39,13,32,14,22,12,28,45,28,26,30,26,29,26,21,36,18,35,21,18,27,50,31,33,23,29,27,30,21,33,25,26
20,51,25,34,35,41,14,33,14,29,16,28,45,28,26,31,26,30,27,22,37,19,36,22,20,29,50,31,34,25,30,27,31,22,35,26,27
21,52,25,37,37,42,15,35,15,31,17,28,47,28,27,32,27,31,29,22,38,21,39,24,21,31,50,32,36,25,32,28,33,23,35,28,27
22,54,25,40,37,47,17,35,17,33,17,28,50,28,28,33,29,32,31,24,39,23,40,26,21,33,50,32,38,26,32,30,38,23,37,28,29
23,55,26,41,38,48,19,37,18,35,18,32,52,29,29,34,31,34,35,25,40,23,43,27,22,34,51,33,39,26,34,31,39,26,37,30,29
24,55,29,41,39,48,19,40,18,37,18,35,56,29,29,34,31,37,35,25,40,23,43,27,22,34,54,36,39,27,34,31,41,30,40,30,32
25,56,32,42,41,51,19,41,18,37,21,35,57,31,30,35,31,38,35,25,41,25,48,28,23,35,56,38,40,27,35,36,43,33,41,31,33
26,61,32,44,41,54,20,43,22,39,23,36,58,35,32,35,36,40,37,27,43,26,51,28,25,38,56,40,42,27,35,37,44,33,41,31,36
27,62,32,49,42,56,22,45,22,39,25,38,60,36,34,35,37,42,37,28,44,27,52,28,27,39,61,40,45,28,35,37,45,36,41,33,37
28,65,32,51,43,56,25,47,22,40,26,41,60,37,36,35,37,44,37,28,47,28,53,29,27,39,63,40,45,29,35,37,46,36,42,33,39
29,66,33,53,44,58,25,49,22,41,27,42,61,37,36,38,40,44,37,29,48,28,55,32,30,41,66,40,45,29,37,37,46,39,44,34,41
30,66,33,55,44,60,27,49,24,41,27,45,62,39,37,38,41,46,39,30,48,29,58,32,32,42,66,42,47,29,38,39,46,40,46,36,43
31,71,36,60,45,63,28,50,24,44,28,45,63,41,38,39,43,47,44,30,51,32,63,33,35,44,68,45,47,30,41,41,48,45,48,38,48
32,77,36,62,47,64,29,52,28,44,29,45,69,42,39,41,45,51,46,31,53,34,63,35,36,45,69,46,47,30,43,42,49,47,50,40,50
33,79,37,64,49,67,32,53,30,47,31,49,71,45,42,43,47,52,48,33,55,34,63,37,39,47,71,46,47,32,47,42,51,49,51,42,50
