,homeTeam,awayTeam,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
66,Hertha,Werder Bremen,5,3,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333
67,Leverkusen,Bielefeld,8,16,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.6666666666666667
68,M'gladbach,Mainz,6,17,1.6666666666666667,0.3333333333333333,1.0,0.6666666666666666
69,Nurnberg,FC Koln,15,11,1.0,1.0,0.6666666666666666,1.6666666666666667
70,Dortmund,Stuttgart,9,10,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666
71,Kaiserslautern,Hamburg,13,2,0.0,2.0,2.333333333333333,0.3333333333333333
72,Bielefeld,Hertha,16,5,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333
73,Duisburg,Ein Frankfurt,17,16,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666
74,FC Koln,Hannover,13,11,0.6666666666666666,2.333333333333333,1.6666666666666667,1.3333333333333333
75,Hamburg,Wolfsburg,3,6,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.6666666666666666
76,Kaiserslautern,Dortmund,14,8,1.0,2.333333333333333,1.3333333333333333,1.3333333333333333
77,Mainz,Leverkusen,15,10,1.3333333333333333,1.0,1.0,2.0
78,Schalke 04,Bayern Munich,4,2,1.3333333333333333,0.3333333333333333,1.0,1.0
79,Stuttgart,M'gladbach,9,5,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.3333333333333333
80,Werder Bremen,Nurnberg,1,18,3.333333333333333,1.3333333333333333,1.3333333333333333,2.6666666666666665
81,Bayern Munich,Duisburg,2,17,1.0,1.0,0.6666666666666666,0.6666666666666666
82,Ein Frankfurt,FC Koln,13,14,2.333333333333333,1.3333333333333333,1.6666666666666667,4.0
83,Hannover,Werder Bremen,12,2,1.6666666666666667,0.6666666666666666,2.6666666666666665,1.0
84,Hertha,Mainz,6,16,1.3333333333333333,2.0,1.3333333333333333,1.6666666666666667
85,M'gladbach,Kaiserslautern,5,15,2.0,0.6666666666666666,1.3333333333333333,3.333333333333333
86,Nurnberg,Bielefeld,18,11,2.0,3.333333333333333,2.333333333333333,1.0
87,Wolfsburg,Schalke 04,7,4,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
88,Dortmund,Hamburg,8,3,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666
89,Leverkusen,Stuttgart,10,9,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666
90,Dortmund,M'gladbach,8,5,1.3333333333333333,1.3333333333333333,2.0,0.6666666666666666
91,Duisburg,Wolfsburg,16,7,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333
92,FC Koln,Bayern Munich,15,1,1.6666666666666667,4.0,2.333333333333333,0.6666666666666666
93,Hamburg,Schalke 04,3,4,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666
94,Kaiserslautern,Leverkusen,17,11,2.0,3.0,1.3333333333333333,2.0
95,Stuttgart,Hertha,10,6,1.6666666666666667,1.6666666666666667,2.0,2.333333333333333
96,Werder Bremen,Ein Frankfurt,2,14,3.333333333333333,1.0,2.6666666666666665,2.333333333333333
