,Galatasaray scored,Galatasaray received,Kasimpasa scored,Kasimpasa received,Yeni Malatyaspor scored,Yeni Malatyaspor received,Besiktas scored,Besiktas received,Trabzonspor scored,Trabzonspor received,Akhisar Belediyespor scored,Akhisar Belediyespor received,Buyuksehyr scored,Buyuksehyr received,Fenerbahce scored,Fenerbahce received,Goztep scored,Goztep received,Genclerbirligi scored,Genclerbirligi received,Karabukspor scored,Karabukspor received,Konyaspor scored,Konyaspor received,Bursaspor scored,Bursaspor received,Sivasspor scored,Sivasspor received,Alanyaspor scored,Alanyaspor received,Osmanlispor scored,Osmanlispor received,Antalyaspor scored,Antalyaspor received,Kayserispor scored,Kayserispor received
21,47,27,34,37,24,28,41,21,36,32,28,34,41,21,44,24,35,35,29,35,15,44,23,30,31,28,30,33,34,43,31,43,26,39,30,25
22,52,27,36,40,27,29,44,22,38,33,31,34,42,22,45,27,36,35,30,36,16,47,23,33,31,33,30,34,35,45,31,43,26,39,33,27
23,59,27,37,41,28,29,46,22,38,35,34,36,44,22,47,30,36,37,30,37,16,54,23,34,32,33,34,35,36,45,32,44,27,43,33,28
24,61,28,39,43,28,31,47,22,41,36,35,39,45,26,49,30,38,38,30,38,18,57,24,36,33,35,36,37,40,46,34,45,28,45,36,30
25,61,28,41,46,29,35,47,23,45,37,36,40,46,26,49,30,39,39,31,39,18,61,26,36,34,35,36,38,41,47,38,45,31,47,36,32
26,63,29,43,46,33,36,48,23,46,39,37,42,48,27,54,30,39,41,32,43,18,62,26,36,34,37,37,38,41,48,38,45,33,47,36,37
27,63,30,44,46,33,37,53,24,50,39,38,45,49,27,56,30,40,46,33,43,19,64,31,36,34,38,37,43,44,49,38,47,35,48,36,41
28,65,30,46,46,34,38,56,24,53,42,38,48,49,29,58,31,42,47,35,46,19,66,31,36,35,40,38,45,45,50,41,50,35,48,39,43
29,68,32,46,48,35,41,59,25,53,44,39,49,52,30,62,32,43,48,35,49,20,70,33,36,39,41,40,45,47,53,44,50,36,52,40,46
30,70,32,47,52,35,41,59,27,55,45,39,49,56,31,66,33,48,48,35,50,20,75,34,38,41,42,41,45,49,54,45,54,37,54,41,48
31,72,33,52,54,35,41,61,27,57,50,40,51,57,32,68,34,48,48,35,51,20,76,35,38,42,44,42,46,50,55,46,55,38,54,41,50
32,74,33,55,55,35,43,64,29,60,51,42,52,59,32,75,34,49,49,36,54,20,83,36,39,43,47,44,48,52,57,48,58,38,56,42,52
33,75,33,57,58,38,45,69,30,63,51,44,53,62,34,78,36,49,50,37,54,20,86,38,42,43,48,45,53,55,59,49,60,40,59,44,55
