,Fenerbahce scored,Fenerbahce received,Genclerbirligi scored,Genclerbirligi received,Kayserispor scored,Kayserispor received,Manisaspor scored,Manisaspor received,Ankaraspor scored,Ankaraspor received,Denizlispor scored,Denizlispor received,Galatasaray scored,Galatasaray received,Gaziantepspor scored,Gaziantepspor received,Konyaspor scored,Konyaspor received,Sakaryaspor scored,Sakaryaspor received,Antalyaspor scored,Antalyaspor received,Bursaspor scored,Bursaspor received,Rizespor scored,Rizespor received,Ankaragucu scored,Ankaragucu received,Sivasspor scored,Sivasspor received,Besiktas scored,Besiktas received,Trabzonspor scored,Trabzonspor received,Erciyesspor scored,Erciyesspor received
14,32,14,18,17,20,18,28,22,21,15,13,14,28,17,16,21,17,19,8,17,15,19,18,17,11,17,19,13,15,21,21,15,16,19,14,35
15,34,15,19,18,21,18,32,23,21,15,13,15,29,19,17,25,19,19,9,18,18,20,20,18,11,19,20,15,17,22,21,15,17,21,15,38
16,35,15,20,18,22,20,32,23,21,18,13,15,32,20,18,25,19,20,10,21,18,21,21,21,14,20,20,16,17,22,23,16,20,21,15,38
17,36,16,20,19,22,20,33,26,21,20,13,17,34,20,20,25,20,21,11,22,18,22,22,22,15,20,21,17,18,22,26,17,20,21,16,39
18,38,17,21,21,22,20,33,26,22,20,14,22,34,20,20,25,25,22,11,23,19,22,22,22,15,21,21,18,19,22,26,17,20,21,16,39
19,39,19,22,21,26,20,33,30,22,21,14,24,38,20,20,27,25,23,12,26,20,22,22,23,17,22,21,22,22,23,28,17,22,21,17,39
20,40,19,24,22,27,20,33,31,23,23,17,28,38,21,21,27,27,24,12,27,21,22,23,23,17,23,22,22,22,24,29,19,26,24,17,40
21,40,20,26,24,29,22,33,32,24,24,18,29,39,22,22,29,30,25,13,30,22,22,26,24,18,24,24,23,23,27,31,22,29,26,18,40
22,42,22,29,24,30,22,33,35,25,24,19,29,40,24,22,30,31,27,13,31,22,22,26,24,18,25,24,24,25,29,33,23,31,27,19,40
23,45,22,29,24,33,25,34,38,26,25,19,31,42,25,22,30,31,30,16,34,23,23,27,27,21,26,24,25,28,30,34,23,32,29,21,40
24,49,22,31,27,37,29,34,41,28,26,22,33,44,27,23,30,33,32,19,34,27,27,27,31,21,27,25,25,29,32,35,23,32,30,21,41
25,51,23,31,29,39,32,34,42,29,28,24,35,46,28,25,31,33,33,20,36,28,27,28,31,23,29,26,27,32,34,37,23,33,30,21,42
26,53,25,34,33,41,34,35,42,29,28,25,35,46,29,25,31,35,33,20,37,28,27,28,31,23,30,26,29,32,35,38,23,37,33,22,42
27,53,25,35,36,44,34,35,42,33,30,26,36,49,30,26,33,37,37,21,38,29,28,28,34,26,32,27,29,34,36,39,24,39,36,22,43
28,55,25,35,36,47,37,39,43,36,33,28,36,52,31,26,35,38,38,23,43,29,29,29,38,27,35,27,29,34,38,40,24,44,38,23,44
29,57,27,36,38,49,38,40,44,37,34,30,38,55,31,27,36,39,40,23,46,30,31,30,39,30,36,28,32,34,39,41,24,46,39,25,45
30,58,27,37,40,49,39,41,44,39,34,30,38,56,32,27,38,41,41,23,47,31,32,30,39,31,37,29,32,34,41,41,25,48,39,26,46
31,60,29,39,41,50,41,41,45,40,35,31,39,57,33,29,39,42,41,24,49,31,33,33,39,32,39,30,32,35,42,41,28,50,41,28,47
32,62,30,40,41,51,43,41,45,41,37,33,40,58,35,29,39,42,42,24,50,31,33,34,42,33,39,31,36,39,43,43,29,53,42,28,47
33,65,31,43,42,54,43,41,45,43,38,33,40,58,37,31,39,42,44,25,51,32,36,36,42,34,40,32,39,41,44,43,32,54,44,29,49
