,Man United scored,Man United received,Liverpool scored,Liverpool received,Chelsea scored,Chelsea received,Hull scored,Hull received,Man City scored,Man City received,Swansea scored,Swansea received,West Brom scored,West Brom received,Everton scored,Everton received,Middlesbrough scored,Middlesbrough received,Southampton scored,Southampton received,Stoke scored,Stoke received,Tottenham scored,Tottenham received,Watford scored,Watford received,Arsenal scored,Arsenal received,Leicester scored,Leicester received,Sunderland scored,Sunderland received,West Ham scored,West Ham received,Burnley scored,Burnley received,Crystal Palace scored,Crystal Palace received,Bournemouth scored,Bournemouth received
12,1,1,2,0,2,1,1,1,2,1,5,4,1,1,0,1,2,2,1,0,1,0,1,2,0,1,3,1,2,2,0,2,1,1,1,2,4,5,1,3
13,1,1,3,4,3,1,0,1,1,3,0,5,3,1,1,1,1,0,0,3,2,0,5,0,1,3,5,1,1,2,2,1,1,5,0,2,3,0,4,3
14,1,0,2,2,1,0,3,3,2,4,3,0,0,1,2,3,0,1,1,0,1,3,0,1,3,2,3,1,4,2,0,3,2,2,3,2,3,3,2,3
15,2,1,3,0,1,0,0,3,2,0,1,3,3,1,2,1,0,3,0,0,0,0,3,0,0,2,1,2,0,1,0,1,1,0,0,1,1,2,1,0
16,2,0,1,0,1,0,0,1,2,1,0,3,0,2,0,1,3,0,3,1,2,2,2,1,0,1,1,2,2,2,1,0,1,0,1,2,0,1,1,3
17,3,1,4,1,3,0,0,3,3,0,1,4,0,1,2,0,0,1,1,4,1,4,4,1,1,1,1,0,0,2,1,3,4,1,1,0,1,1,0,3
18,2,1,1,0,4,2,2,2,0,1,0,3,2,1,2,2,1,2,1,2,2,4,4,1,1,4,2,0,1,0,1,4,0,1,4,1,0,2,3,0
19,2,0,2,2,0,2,1,3,2,1,2,1,3,1,3,0,0,0,0,3,2,0,2,0,0,2,3,3,0,0,2,2,0,2,1,2,1,2,3,3
20,1,1,1,1,3,0,3,1,0,4,0,4,0,4,4,0,0,0,0,1,3,1,4,0,0,0,4,0,0,3,1,3,3,0,1,0,0,3,1,3
21,1,1,2,3,2,0,0,2,2,2,3,2,2,0,1,0,1,3,3,0,1,1,2,2,2,2,2,1,0,3,0,2,3,1,1,2,0,1,2,2
22,0,0,1,1,1,1,0,0,4,0,2,1,1,1,1,1,1,1,1,2,1,1,0,0,2,1,1,2,0,1,0,0,0,4,1,0,2,0,0,2
23,3,0,0,2,3,1,2,0,2,1,1,2,1,0,6,3,0,1,1,3,0,1,1,0,2,1,1,3,0,3,4,0,3,1,1,2,0,4,3,6
24,2,0,2,0,1,1,0,2,2,0,2,0,2,2,0,0,0,0,4,0,1,0,0,2,0,2,2,0,0,2,0,4,2,2,1,1,0,1,0,2
25,0,0,1,3,3,1,1,1,0,0,1,3,2,1,2,0,0,1,0,2,0,4,4,0,1,1,2,0,3,1,0,2,1,1,1,1,1,0,1,2
26,1,1,3,1,2,1,1,3,2,0,3,2,0,2,2,3,0,2,4,3,2,0,3,2,3,4,1,3,3,1,0,2,1,2,2,3,2,0,1,1
27,0,0,2,1,4,3,2,1,0,0,1,2,0,3,3,0,1,0,0,0,0,0,1,0,3,4,1,0,0,1,0,1,2,3,1,2,0,1,3,2
28,3,1,1,1,2,1,0,4,1,1,0,2,3,1,4,0,1,3,1,2,1,2,2,1,0,1,1,3,3,2,0,0,2,3,0,0,1,0,2,0
29,0,0,3,1,1,2,2,1,2,2,0,0,0,0,1,3,0,0,0,0,0,2,2,0,1,0,2,2,2,0,0,1,1,2,0,2,2,1,0,0
30,1,1,2,2,2,1,4,2,1,2,1,3,0,2,1,1,2,4,3,1,0,1,3,1,2,0,3,0,2,0,0,2,0,3,1,0,1,3,2,2
31,3,0,2,1,3,1,1,3,3,1,0,1,0,1,4,2,0,0,1,0,1,2,4,0,0,4,0,3,2,4,0,3,1,0,0,0,3,0,1,3
32,2,0,1,0,0,2,1,3,3,0,0,1,0,1,3,1,1,2,0,3,3,1,4,0,1,0,2,1,2,2,2,2,2,2,1,3,2,2,0,4
33,2,0,1,2,4,2,2,0,3,1,2,0,1,3,0,0,0,4,2,4,0,2,6,1,0,2,2,0,1,6,0,2,0,0,0,2,2,1,4,0
34,1,1,1,0,3,0,0,0,2,2,1,1,0,1,0,3,2,2,0,0,0,0,2,0,0,1,0,2,1,0,0,1,0,0,2,0,0,2,1,0
35,0,2,0,0,3,0,0,2,5,0,1,0,2,2,0,1,0,3,0,0,2,2,0,1,0,3,2,0,3,0,2,0,1,0,2,2,0,5,2,2
36,1,2,4,0,1,0,0,4,2,1,2,0,0,1,1,0,1,2,2,1,1,4,2,1,0,1,4,1,1,2,0,2,0,4,1,2,4,0,2,1
37,2,0,3,0,5,1,1,7,5,0,2,1,1,2,1,3,0,3,0,1,1,0,7,1,0,5,3,1,1,1,1,5,2,1,1,2,0,2,1,1
