,Twente scored,Twente received,Nijmegen scored,Nijmegen received,Waalwijk scored,Waalwijk received,Feyenoord scored,Feyenoord received,Den Haag scored,Den Haag received,Ajax scored,Ajax received,AZ Alkmaar scored,AZ Alkmaar received,Vitesse scored,Vitesse received,Heracles scored,Heracles received,NAC Breda scored,NAC Breda received,Zwolle scored,Zwolle received,Roda scored,Roda received,VVV Venlo scored,VVV Venlo received,Willem II scored,Willem II received,PSV Eindhoven scored,PSV Eindhoven received,Utrecht scored,Utrecht received,Heerenveen scored,Heerenveen received,Groningen scored,Groningen received
22,1,1,1,2,0,2,2,3,2,1,2,0,2,2,2,0,1,1,1,1,3,2,2,2,2,1,1,1,2,1,1,2,1,2,0,2
23,1,2,3,2,0,1,2,1,1,1,1,1,0,1,5,3,3,5,1,0,0,1,0,4,1,0,2,3,1,2,4,0,2,1,1,0
24,0,2,0,3,2,1,3,0,3,1,2,0,1,2,2,0,1,3,1,2,2,0,4,1,0,2,0,2,2,0,0,2,2,1,1,4
25,0,1,0,1,0,1,1,0,1,1,3,0,1,1,1,0,1,0,1,1,0,3,0,1,0,1,1,0,1,2,1,0,2,1,1,1
26,3,0,1,3,0,2,2,1,0,4,3,2,2,3,4,0,2,0,4,0,3,2,2,3,0,2,0,4,2,0,1,2,3,1,0,3
27,1,1,1,4,4,0,0,2,0,4,4,1,2,1,2,1,1,2,1,1,1,2,2,2,1,2,1,2,2,2,2,1,2,0,2,1
28,2,0,1,1,1,1,1,0,0,1,4,0,1,1,3,0,0,4,0,3,1,1,0,2,0,1,1,3,3,1,1,0,1,3,3,1
29,3,1,0,2,1,1,1,1,1,3,3,2,6,0,3,3,0,2,2,0,2,0,3,3,0,2,2,3,2,3,0,6,3,2,2,0
30,2,2,1,3,0,4,2,0,1,2,1,1,1,3,0,2,4,0,0,3,3,1,1,2,2,2,2,1,3,1,3,0,1,1,2,1
31,5,2,2,5,1,3,6,0,1,1,2,0,4,0,3,1,0,6,0,2,1,2,3,1,1,1,1,3,5,2,2,1,0,4,2,5
32,1,1,2,4,3,2,0,2,2,0,5,0,4,0,2,3,1,1,5,3,0,4,3,5,0,0,0,5,4,2,4,2,2,4,0,0
33,3,1,1,2,2,1,1,0,2,4,2,0,0,2,0,1,0,3,0,1,4,2,1,0,1,0,2,0,1,3,3,0,0,1,0,2
