,Sampdoria scored,Sampdoria received,Chievo scored,Chievo received,Fiorentina scored,Fiorentina received,Lazio scored,Lazio received,Sassuolo scored,Sassuolo received,Torino scored,Torino received,Inter scored,Inter received,Palermo scored,Palermo received,Udinese scored,Udinese received,Roma scored,Roma received,Verona scored,Verona received,Bologna scored,Bologna received,Frosinone scored,Frosinone received,Napoli scored,Napoli received,Atalanta scored,Atalanta received,Juventus scored,Juventus received,Milan scored,Milan received,Carpi scored,Carpi received,Empoli scored,Empoli received,Genoa scored,Genoa received
23,1,2,2,1,1,1,0,0,2,2,1,2,3,3,2,2,1,1,2,1,3,3,1,1,0,2,1,0,0,0,2,0,1,1,0,1,0,0,0,0
24,0,0,1,1,2,1,5,2,1,1,3,1,1,2,1,3,0,1,3,1,2,5,1,0,2,1,0,1,0,0,1,0,2,1,1,3,1,2,1,2
25,1,3,1,3,3,2,0,0,3,2,0,0,3,1,0,5,1,2,5,0,3,1,0,0,0,0,1,1,2,3,0,0,1,1,0,0,2,3,2,1
26,2,0,1,0,1,1,0,2,2,0,0,1,0,2,0,0,2,0,3,1,0,2,0,0,0,2,1,1,1,1,2,0,1,0,1,1,1,3,0,1
27,3,0,1,3,1,4,1,1,2,0,1,1,3,1,1,3,0,2,4,1,0,3,0,0,2,0,3,1,0,2,2,0,0,2,0,0,0,1,1,0
28,1,1,0,0,1,1,2,0,0,1,2,3,2,1,0,1,1,2,2,1,1,1,1,2,1,2,1,0,0,2,1,0,0,0,2,1,1,1,3,2
29,0,1,1,0,0,0,1,1,1,1,1,4,1,1,0,0,1,1,1,1,1,2,0,2,0,0,3,1,2,0,4,1,1,1,2,1,0,0,1,3
30,1,1,3,1,1,1,1,4,3,1,2,1,1,2,1,3,3,1,4,1,1,0,0,1,0,4,1,3,2,1,1,0,1,2,1,3,0,1,4,0
31,2,0,1,0,0,2,3,0,0,1,2,1,1,0,0,3,0,2,1,1,0,3,1,1,0,1,3,0,1,2,2,1,1,2,0,1,2,0,1,0
32,0,1,0,0,3,1,2,0,1,3,1,0,2,0,0,4,0,0,3,3,1,2,0,1,2,1,0,2,3,3,4,0,1,0,4,1,0,2,1,4
33,0,0,5,1,1,2,0,3,0,0,2,3,0,1,2,2,2,1,3,2,0,1,0,6,1,5,6,0,2,2,3,0,0,0,0,0,1,0,1,0
34,2,1,0,1,1,2,1,2,3,1,1,3,3,1,2,0,1,3,1,0,2,1,2,0,0,2,0,1,1,0,2,1,1,2,1,0,0,1,0,2
35,0,2,0,0,0,0,2,0,1,0,5,1,0,2,2,0,1,5,3,2,0,1,0,0,3,3,2,1,1,2,2,0,3,3,0,2,0,0,2,3
36,0,3,0,3,0,0,3,1,1,0,1,2,2,1,0,0,1,1,3,0,2,1,0,1,0,1,2,1,1,1,1,2,1,0,1,3,1,2,3,0
37,0,5,0,0,4,2,2,4,3,1,1,2,1,3,3,2,1,2,3,1,2,3,0,0,0,4,4,0,2,1,5,0,1,3,2,1,2,1,1,2
