,Hoffenheim scored,Hoffenheim received,Schalke 04 scored,Schalke 04 received,Stuttgart scored,Stuttgart received,Hertha scored,Hertha received,Dortmund scored,Dortmund received,Wolfsburg scored,Wolfsburg received,Karlsruhe scored,Karlsruhe received,Bielefeld scored,Bielefeld received,Bayern Munich scored,Bayern Munich received,Hamburg scored,Hamburg received,Werder Bremen scored,Werder Bremen received,Leverkusen scored,Leverkusen received,FC Koln scored,FC Koln received,Bochum scored,Bochum received,M'gladbach scored,M'gladbach received,Ein Frankfurt scored,Ein Frankfurt received,Cottbus scored,Cottbus received,Hannover scored,Hannover received
10,3.3333333333333335,0.6666666666666666,1.6666666666666667,0.0,1.0,1.6666666666666667,1.6666666666666667,2.0,1.0,0.6666666666666666,1.6666666666666667,2.0,0.3333333333333333,2.6666666666666665,0.6666666666666666,1.3333333333333333,3.0,1.3333333333333333,0.6666666666666666,2.0,2.0,1.3333333333333333,2.0,0.0,1.0,1.3333333333333333,0.6666666666666666,2.0,0.6666666666666666,1.6666666666666667,2.0,1.6666666666666667,1.0,2.0,1.3333333333333333,1.3333333333333333
11,2.3333333333333335,1.0,2.0,0.6666666666666666,1.0,2.3333333333333335,1.6666666666666667,1.6666666666666667,1.0,1.0,2.0,0.6666666666666666,1.3333333333333333,3.3333333333333335,0.6666666666666666,2.0,2.3333333333333335,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,2.3333333333333335,1.0,1.6666666666666667,1.0,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.3333333333333333,2.0,1.3333333333333333,1.6666666666666667
12,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,2.0,2.0,1.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.6666666666666665,0.3333333333333333,1.6666666666666667,2.3333333333333335,1.3333333333333333,1.0,2.0,2.6666666666666665,0.6666666666666666,2.3333333333333335,1.3333333333333333,2.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.3333333333333335,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.0
13,2.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,2.0,2.0,1.0,2.0,0.6666666666666666,3.0,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,1.0,2.6666666666666665,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,2.0,2.0,1.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,2.0,0.6666666666666666,2.3333333333333335,0.6666666666666666,2.3333333333333335
14,3.0,1.0,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,2.3333333333333335,1.3333333333333333,1.6666666666666667,0.0,2.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.6666666666666665,1.0,1.3333333333333333,1.3333333333333333,3.0,1.0,1.0,1.6666666666666667,1.0,2.6666666666666665,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.6666666666666665,1.3333333333333333,3.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.3333333333333335
15,2.3333333333333335,1.0,1.3333333333333333,1.0,2.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.0,2.0,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.6666666666666665,0.6666666666666666,1.6666666666666667,1.0,2.0,1.0,1.3333333333333333,1.6666666666666667,1.0,2.3333333333333335,1.0,2.6666666666666665,1.0,3.0,2.6666666666666665,1.6666666666666667,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.6666666666666665
16,1.6666666666666667,1.0,0.6666666666666666,1.0,2.3333333333333335,0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,2.3333333333333335,0.3333333333333333,1.3333333333333333,2.0,1.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.3333333333333335,1.0,2.6666666666666665,1.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667
17,1.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,2.3333333333333335,0.6666666666666666,2.0,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.3333333333333333,2.0,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,1.0,2.0,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.0,0.3333333333333333,2.0,1.0,1.0
18,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.6666666666666665,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,1.0,2.6666666666666665,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.0,1.3333333333333333,1.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333
19,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,3.0,1.6666666666666667,1.6666666666666667,1.0,1.0,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.0,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,2.0,1.0,1.0,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,1.0,2.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.0
