,Barcelona scored,Barcelona received,Betis scored,Betis received,La Coruna scored,La Coruna received,Mallorca scored,Mallorca received,Sevilla scored,Sevilla received,Malaga scored,Malaga received,Vallecano scored,Vallecano received,Valladolid scored,Valladolid received,Ath Madrid scored,Ath Madrid received,Levante scored,Levante received,Real Madrid scored,Real Madrid received,Valencia scored,Valencia received,Espanol scored,Espanol received,Getafe scored,Getafe received,Celta scored,Celta received,Granada scored,Granada received,Zaragoza scored,Zaragoza received,Ath Bilbao scored,Ath Bilbao received,Osasuna scored,Osasuna received,Sociedad scored,Sociedad received
23,80,27,31,35,28,54,23,45,33,35,37,21,33,41,32,32,47,23,30,36,60,22,34,35,31,34,32,43,22,31,23,34,23,34,29,47,20,27,38,30
24,82,28,34,35,29,56,24,48,34,37,37,24,34,43,34,33,48,23,30,38,62,23,36,37,31,35,35,44,24,32,24,36,25,36,30,50,22,27,41,31
25,83,30,37,38,29,56,26,49,38,38,37,24,34,43,34,33,48,23,32,40,64,24,38,39,31,35,37,44,25,36,25,38,25,38,31,50,22,28,44,34
26,85,30,39,39,29,58,28,50,39,40,38,25,36,43,35,34,48,24,32,40,66,25,38,40,31,37,37,44,26,38,25,38,25,38,32,50,23,30,45,34
27,88,31,39,42,32,59,30,55,43,40,38,27,37,46,36,38,50,24,33,41,71,27,41,40,33,37,38,44,27,41,26,39,25,42,32,51,23,32,49,35
28,90,33,39,42,35,61,32,58,43,41,41,28,38,49,37,41,51,25,34,41,72,28,42,41,35,39,38,44,29,43,26,40,26,43,33,51,26,33,51,37
29,95,33,44,43,38,63,32,63,45,42,43,32,40,49,38,43,51,25,35,46,77,29,44,42,37,39,38,44,29,45,27,45,28,46,34,53,26,35,55,39
30,98,33,47,46,42,63,33,63,48,45,44,32,40,51,40,44,56,25,35,50,80,29,47,45,40,42,39,46,29,46,27,50,28,49,34,56,26,36,57,39
31,99,33,48,49,43,64,34,64,48,46,45,37,41,52,41,45,57,25,35,51,83,30,52,46,42,42,39,48,31,47,28,51,29,51,35,57,26,36,57,39
32,101,35,49,50,44,65,36,67,49,47,47,38,43,54,42,46,58,27,35,52,85,31,54,50,42,43,40,50,32,47,29,51,32,53,37,59,28,38,61,41
33,105,37,51,54,44,65,37,68,52,47,47,39,43,57,45,50,58,27,36,53,89,34,58,50,42,46,42,51,33,48,30,51,35,53,38,60,28,42,62,43
34,107,38,52,54,44,66,38,70,52,47,47,39,43,61,46,50,59,29,36,53,90,35,62,50,43,47,42,52,33,49,32,53,35,53,40,61,29,42,64,45
35,109,39,52,55,46,66,39,70,53,49,49,45,46,63,47,52,62,30,38,56,96,37,63,50,43,49,42,53,34,52,35,53,36,55,42,62,29,45,66,46
36,111,39,56,55,47,69,39,70,54,51,52,46,48,64,47,54,62,30,39,56,99,40,64,50,43,51,43,55,36,52,35,54,36,59,42,63,31,46,69,49
37,115,40,57,56,47,70,43,72,58,54,53,50,50,66,49,58,65,31,40,57,103,42,67,54,43,52,43,57,37,52,37,54,37,62,44,65,33,50,70,49
