,AZ Alkmaar scored,AZ Alkmaar received,Ajax scored,Ajax received,Groningen scored,Groningen received,Heracles scored,Heracles received,PSV Eindhoven scored,PSV Eindhoven received,Heerenveen scored,Heerenveen received,Vitesse scored,Vitesse received,Willem II scored,Willem II received,Roda scored,Roda received,Den Haag scored,Den Haag received,Utrecht scored,Utrecht received,Sparta Rotterdam scored,Sparta Rotterdam received,Excelsior scored,Excelsior received,Nijmegen scored,Nijmegen received,Twente scored,Twente received,Feyenoord scored,Feyenoord received,Waalwijk scored,Waalwijk received,NAC Breda scored,NAC Breda received
17,0,0,2,4,1,0,0,1,4,0,2,0,4,2,0,4,2,0,2,2,1,1,2,3,0,2,0,0,0,2,3,2,1,1,2,2
18,0,3,2,0,0,1,0,0,1,1,2,0,1,2,2,1,0,2,1,1,0,0,1,0,1,2,0,2,3,0,1,1,1,1,2,1
19,2,2,2,2,2,0,2,2,2,1,0,0,2,2,0,2,2,2,1,2,0,0,3,0,1,3,2,2,0,3,3,1,0,2,2,0
20,3,1,2,0,2,3,0,0,3,1,1,3,3,2,1,2,2,1,1,3,0,2,2,1,1,2,0,0,2,1,1,4,1,2,4,1
21,3,0,3,2,2,3,1,5,0,2,5,1,0,0,0,0,2,0,1,3,1,0,0,3,0,1,2,1,3,1,3,1,1,3,1,2
22,3,2,4,1,1,1,2,2,2,3,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,1,2,1,1,4,1,2,2,1
23,2,0,2,1,2,0,0,2,1,1,0,0,0,0,0,2,1,0,1,2,1,0,1,1,0,2,0,1,3,0,0,3,2,0,0,1
24,1,1,2,2,1,1,0,2,2,0,1,2,0,0,2,1,0,0,1,2,0,2,1,3,2,2,1,0,2,1,2,0,0,1,3,1
25,1,1,1,1,0,1,0,0,1,0,0,1,1,3,0,0,1,0,3,3,3,0,0,0,0,2,0,3,0,0,3,3,3,1,2,0
26,4,0,0,1,3,1,3,1,2,0,1,0,2,3,0,0,1,1,1,3,0,4,0,0,3,2,0,3,3,0,1,1,0,2,1,3
27,0,0,4,1,0,3,1,1,0,0,1,0,2,2,3,0,0,0,2,2,0,0,0,4,0,0,4,0,1,4,0,0,0,1,1,1
28,0,0,5,1,1,1,0,0,1,5,4,2,0,2,0,0,2,3,2,4,2,0,4,2,1,0,0,1,1,1,0,0,3,2,2,4
29,2,0,3,0,1,0,0,3,1,1,2,2,0,1,1,0,0,1,1,3,0,3,2,2,3,1,0,1,3,0,1,0,0,2,1,1
30,4,1,2,2,4,0,1,1,1,2,1,1,3,0,0,3,2,0,1,1,3,0,0,3,0,2,2,1,1,1,0,4,2,2,1,4
31,1,0,2,0,4,1,4,1,2,0,3,1,0,1,1,3,2,0,0,2,1,1,1,1,0,3,1,4,0,2,1,4,3,0,0,2
32,3,1,5,2,3,1,3,2,1,1,1,3,1,1,1,1,2,0,1,3,1,1,2,5,2,3,1,1,1,1,1,1,1,1,0,2
33,2,3,2,0,0,2,0,7,5,1,5,1,1,5,0,2,7,0,2,3,2,0,1,0,3,2,3,2,2,1,1,5,0,1,1,2
