,Lyon scored,Lyon received,Valenciennes scored,Valenciennes received,Marseille scored,Marseille received,Monaco scored,Monaco received,Rennes scored,Rennes received,St Etienne scored,St Etienne received,Lille scored,Lille received,Bastia scored,Bastia received,Evian Thonon Gaillard scored,Evian Thonon Gaillard received,Sochaux scored,Sochaux received,Montpellier scored,Montpellier received,Paris SG scored,Paris SG received,Reims scored,Reims received,Ajaccio scored,Ajaccio received,Lorient scored,Lorient received,Guingamp scored,Guingamp received,Bordeaux scored,Bordeaux received,Nantes scored,Nantes received,Toulouse scored,Toulouse received,Nice scored,Nice received
13,20,17,12,21,21,14,22,11,17,14,19,17,16,4,16,18,15,25,12,25,17,18,30,8,15,15,10,22,15,23,17,15,17,18,15,11,11,20,14,17
14,20,21,12,22,23,14,24,11,17,16,23,17,17,4,18,18,15,27,13,30,17,20,34,8,15,19,10,26,18,23,18,15,21,18,15,12,16,21,14,20
15,21,22,13,24,23,15,27,11,20,17,24,20,18,4,19,19,17,27,13,32,17,22,34,10,17,19,11,27,20,23,18,16,22,18,17,13,17,22,14,23
16,24,23,14,25,23,16,28,11,20,19,25,20,18,5,20,22,17,28,13,37,18,23,39,10,18,19,11,28,22,23,19,17,23,18,18,13,18,23,14,24
17,26,25,15,27,25,18,30,11,21,22,26,20,20,6,21,24,18,29,13,38,18,24,42,11,19,20,12,30,24,24,19,19,25,19,19,15,20,24,15,24
18,28,27,17,28,27,20,31,13,22,24,28,20,22,8,21,24,19,32,15,39,18,24,44,13,23,21,13,34,26,26,19,19,27,21,19,17,20,24,18,25
19,30,27,20,30,29,21,32,14,22,24,28,20,23,10,23,27,20,34,15,41,19,25,46,14,25,22,14,36,26,27,19,19,27,22,20,17,21,24,18,25
20,32,27,21,32,31,22,34,14,22,24,30,20,23,12,24,27,20,34,15,43,21,25,51,14,25,24,14,38,28,27,19,21,27,23,20,22,21,26,20,25
21,35,27,22,33,31,24,36,14,23,25,30,22,24,13,27,28,20,37,16,44,24,26,52,15,25,24,15,39,29,28,20,22,29,23,20,22,22,29,21,28
22,35,29,22,36,33,26,38,16,25,25,33,22,24,14,30,30,21,38,17,44,28,28,54,15,27,28,16,40,31,30,22,25,29,25,20,23,24,31,22,28
23,37,30,24,37,36,26,39,17,26,28,33,22,26,14,30,33,22,39,17,46,29,29,55,16,29,29,19,41,33,33,23,27,32,27,21,25,24,31,23,30
24,40,31,24,40,37,27,41,17,28,30,34,23,28,16,30,35,24,41,18,46,31,31,58,16,30,29,20,44,34,36,23,28,32,28,21,25,27,32,23,30
25,40,31,26,42,38,27,44,19,31,30,36,23,28,16,30,37,25,43,20,48,33,31,62,18,32,32,20,46,34,37,24,28,34,29,21,28,29,36,23,31
26,40,31,27,45,38,29,44,21,31,32,38,23,31,18,31,38,27,43,22,48,33,31,64,18,35,33,22,49,35,38,26,28,34,31,21,30,31,36,23,33
27,42,32,29,46,38,30,46,22,32,34,38,24,33,18,31,41,28,43,23,50,33,33,67,18,37,36,24,51,36,38,26,29,35,33,23,32,34,38,24,33
28,44,35,30,46,39,31,49,24,34,37,38,26,33,18,31,43,28,44,25,50,34,34,69,18,38,37,25,53,36,40,28,30,36,34,23,32,37,40,26,33
29,45,35,32,49,39,32,50,25,35,37,41,27,34,19,33,43,29,45,26,53,35,36,70,18,38,39,28,55,36,41,28,31,37,35,25,33,38,41,27,34
30,46,37,32,49,40,33,50,26,38,37,43,28,35,19,33,46,30,45,27,54,35,36,71,18,39,40,30,57,37,42,28,32,37,35,25,33,40,43,27,35
31,48,38,33,51,43,34,53,27,40,39,44,29,37,20,35,48,31,46,29,56,37,37,74,18,39,43,31,60,38,43,29,34,39,37,26,36,41,45,28,36
32,49,38,33,52,46,36,54,27,40,40,46,31,38,20,36,50,33,47,31,56,39,40,74,19,41,45,32,61,40,44,29,35,40,38,27,36,41,47,29,38
33,49,38,35,58,46,36,55,27,40,40,46,31,38,20,38,51,33,48,32,56,43,44,75,19,41,46,33,63,44,48,30,40,45,39,33,38,41,47,29,39
34,53,39,35,59,47,37,59,28,41,41,48,32,40,21,39,55,34,50,33,57,45,45,76,20,41,47,34,67,45,49,31,40,46,41,34,39,42,49,30,39
35,55,43,35,60,51,39,60,29,43,42,50,32,41,22,40,56,34,51,35,57,45,47,77,22,42,47,34,68,46,49,32,41,47,41,35,40,43,50,30,41
36,55,44,36,62,52,40,62,30,44,44,53,33,42,25,42,56,36,51,37,58,45,49,80,23,43,49,36,69,47,49,34,41,48,42,36,43,43,52,30,43
37,56,44,37,65,53,40,63,31,47,45,56,34,46,26,42,56,39,51,37,61,45,53,84,23,44,52,37,72,48,53,34,42,49,43,36,43,46,53,30,44
