,Galatasaray scored,Galatasaray received,Fenerbahce scored,Fenerbahce received,Akhisar Belediyespor scored,Akhisar Belediyespor received,Eskisehirspor scored,Eskisehirspor received,Besiktas scored,Besiktas received,Gaziantepspor scored,Gaziantepspor received,Rizespor scored,Rizespor received,Genclerbirligi scored,Genclerbirligi received,Buyuksehyr scored,Buyuksehyr received,Kasimpasa scored,Kasimpasa received,Erciyesspor scored,Erciyesspor received,Trabzonspor scored,Trabzonspor received,Karabukspor scored,Karabukspor received,Konyaspor scored,Konyaspor received,Mersin Idman Yurdu scored,Mersin Idman Yurdu received,Bursaspor scored,Bursaspor received,Sivasspor scored,Sivasspor received,Balikesirspor scored,Balikesirspor received
10,1,0,2,2,0,0,2,2,2,1,0,1,1,3,1,4,0,0,3,1,4,0,4,1,1,2,0,0,2,0,0,0,0,2,0,4
11,2,1,1,0,1,2,0,1,3,0,0,2,0,3,2,0,1,0,1,5,1,1,0,3,3,0,2,0,0,2,5,1,1,1,0,1
12,5,0,4,1,1,1,0,1,1,0,0,1,2,3,1,1,1,0,1,0,1,1,3,2,3,2,0,5,1,1,2,3,1,4,0,1
13,3,2,1,0,1,3,1,1,3,1,1,0,0,1,5,0,2,0,3,5,0,1,3,3,1,1,0,5,2,3,3,3,0,2,5,3
14,1,1,1,0,0,4,4,1,2,1,1,2,4,0,1,1,3,1,0,0,1,3,1,4,0,1,1,2,0,1,2,1,0,0,1,0
15,2,0,2,0,1,3,1,3,0,2,3,1,1,1,1,1,0,2,5,2,2,5,2,2,0,2,1,1,1,1,3,1,2,0,2,2
16,2,0,3,0,2,2,2,2,2,0,1,0,0,2,0,2,2,2,0,3,2,1,3,1,1,2,2,3,2,2,3,2,1,3,0,1
17,2,2,2,1,2,2,0,1,2,1,1,3,2,0,0,2,1,0,0,1,1,2,2,1,1,2,1,0,1,2,2,2,3,1,2,2
18,2,1,0,0,0,2,1,2,2,1,1,0,1,2,1,3,2,2,2,6,0,1,0,0,2,2,1,0,6,2,3,1,2,0,0,1
19,3,1,5,0,1,0,2,1,3,2,0,5,0,4,1,2,2,3,0,0,0,1,3,2,0,0,0,1,4,0,2,3,1,0,1,3
20,3,2,1,2,2,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,3,0,1,1,1,2,0,3,2,1,1,1,2,3,0,1
21,3,1,1,1,0,2,0,3,2,2,0,2,3,0,0,0,2,0,2,0,1,3,3,2,2,3,1,1,1,2,2,1,0,0,2,2
22,0,1,1,0,2,2,0,0,1,0,0,0,2,2,4,2,0,0,2,2,2,4,5,1,0,0,0,0,1,5,0,0,0,1,2,2
23,2,2,1,2,5,1,2,0,5,1,2,0,2,1,2,1,2,2,1,2,1,5,0,2,1,5,2,1,0,2,4,2,1,2,2,4
24,3,2,1,0,0,2,1,4,0,1,1,0,3,0,1,3,3,1,2,3,0,3,2,0,0,1,1,0,0,1,1,4,4,1,4,1
25,4,2,5,1,3,0,1,3,0,0,0,3,1,5,5,2,0,0,2,5,0,3,0,1,2,4,1,0,3,1,3,0,3,1,1,3
26,1,2,1,0,1,1,1,0,5,1,1,1,1,3,1,2,3,1,1,5,0,1,2,1,2,1,1,1,1,1,0,1,1,1,1,1
27,1,0,1,1,1,2,1,1,2,1,0,1,1,3,1,1,1,4,3,1,1,1,1,1,1,2,2,1,2,1,4,1,1,2,1,1
28,2,0,4,3,0,2,1,1,2,0,0,3,0,2,3,0,1,1,5,3,2,3,0,2,2,0,1,3,3,1,3,5,3,2,3,4
29,1,0,3,2,0,0,4,1,1,1,1,1,0,2,0,0,2,1,1,4,2,2,2,0,1,7,0,1,2,2,7,1,2,3,1,2
30,1,0,1,1,1,1,2,2,1,1,1,2,2,1,0,1,2,1,2,3,1,1,1,0,2,2,1,0,0,1,0,1,1,2,3,2
31,1,0,1,0,1,3,2,0,0,1,0,2,3,1,0,1,1,0,1,1,0,1,0,2,2,4,1,0,0,1,2,0,1,1,4,2
32,2,0,2,2,0,1,2,3,0,2,3,2,1,1,1,2,2,2,3,3,3,3,3,2,2,1,1,1,2,1,1,0,1,2,2,3
33,1,1,2,0,3,1,1,3,2,1,1,1,1,1,1,2,2,2,0,2,4,3,1,1,3,4,0,0,2,2,0,0,1,1,1,1
