,homeTeam,awayTeam,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
60,Mersin Idman Yurdu,Eskisehirspor,4,14,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667
61,Trabzonspor,Gaziantepspor,12,10,2.333333333333333,2.6666666666666665,2.333333333333333,2.6666666666666665
62,Erciyesspor,Besiktas,13,1,1.3333333333333333,1.3333333333333333,2.0,1.6666666666666667
63,Galatasaray,Kasimpasa,5,6,1.3333333333333333,2.0,2.0,1.3333333333333333
64,Akhisar Belediyespor,Trabzonspor,3,12,1.0,2.0,2.333333333333333,2.6666666666666665
65,Bursaspor,Sivasspor,8,17,2.6666666666666665,1.3333333333333333,1.0,1.3333333333333333
66,Genclerbirligi,Buyuksehyr,11,7,0.3333333333333333,1.0,2.6666666666666665,0.0
67,Besiktas,Fenerbahce,1,4,2.0,1.6666666666666667,1.6666666666666667,1.3333333333333333
68,Gaziantepspor,Mersin Idman Yurdu,10,2,2.333333333333333,2.6666666666666665,2.333333333333333,2.0
69,Rizespor,Erciyesspor,9,13,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333
70,Eskisehirspor,Balikesirspor,16,18,1.6666666666666667,2.6666666666666665,0.6666666666666666,2.6666666666666665
71,Konyaspor,Karabukspor,13,15,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0
72,Gaziantepspor,Akhisar Belediyespor,8,3,2.0,1.3333333333333333,1.3333333333333333,1.0
73,Sivasspor,Eskisehirspor,17,16,0.6666666666666666,2.333333333333333,2.0,2.6666666666666665
74,Fenerbahce,Rizespor,1,11,1.6666666666666667,1.0,1.3333333333333333,1.0
75,Karabukspor,Galatasaray,15,2,0.6666666666666666,1.0,1.3333333333333333,2.0
76,Mersin Idman Yurdu,Balikesirspor,5,18,1.6666666666666667,2.0,1.3333333333333333,3.0
77,Buyuksehyr,Besiktas,9,4,1.3333333333333333,0.3333333333333333,1.6666666666666667,2.333333333333333
78,Erciyesspor,Bursaspor,14,6,1.3333333333333333,1.0,3.333333333333333,0.6666666666666666
79,Kasimpasa,Genclerbirligi,7,10,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666
80,Trabzonspor,Konyaspor,12,13,2.6666666666666665,2.0,0.3333333333333333,0.6666666666666666
81,Akhisar Belediyespor,Mersin Idman Yurdu,6,4,0.6666666666666666,1.3333333333333333,2.0,1.3333333333333333
82,Galatasaray,Trabzonspor,2,10,1.3333333333333333,2.0,2.6666666666666665,2.333333333333333
83,Rizespor,Buyuksehyr,12,11,1.0,1.0,1.6666666666666667,1.0
84,Besiktas,Kasimpasa,3,8,1.3333333333333333,2.0,1.6666666666666667,1.3333333333333333
85,Eskisehirspor,Erciyesspor,15,13,1.6666666666666667,2.333333333333333,1.6666666666666667,1.3333333333333333
86,Genclerbirligi,Karabukspor,9,16,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333
87,Konyaspor,Gaziantepspor,14,5,1.0,1.6666666666666667,2.0,1.3333333333333333
88,Balikesirspor,Sivasspor,18,17,1.0,3.0,0.3333333333333333,1.6666666666666667
89,Bursaspor,Fenerbahce,7,1,3.0,0.3333333333333333,2.0,0.6666666666666666
90,Akhisar Belediyespor,Konyaspor,6,14,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667
91,Buyuksehyr,Bursaspor,9,7,1.0,1.0,1.6666666666666667,0.6666666666666666
92,Erciyesspor,Balikesirspor,15,18,1.0,1.3333333333333333,1.3333333333333333,2.333333333333333
93,Gaziantepspor,Galatasaray,8,3,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666667
94,Kasimpasa,Rizespor,11,14,1.0,2.0,0.6666666666666666,1.6666666666666667
95,Fenerbahce,Eskisehirspor,2,13,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.3333333333333333
96,Mersin Idman Yurdu,Sivasspor,4,16,1.0,1.0,1.3333333333333333,1.6666666666666667
97,Karabukspor,Besiktas,17,1,1.0,1.6666666666666667,1.3333333333333333,1.0
98,Trabzonspor,Genclerbirligi,5,10,2.333333333333333,1.0,1.6666666666666667,1.3333333333333333
99,Balikesirspor,Fenerbahce,18,2,1.3333333333333333,2.333333333333333,1.6666666666666667,0.6666666666666666
100,Galatasaray,Akhisar Belediyespor,3,6,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0
101,Genclerbirligi,Gaziantepspor,12,10,1.6666666666666667,2.6666666666666665,0.3333333333333333,1.0
102,Konyaspor,Mersin Idman Yurdu,11,4,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666
103,Besiktas,Trabzonspor,1,5,2.0,0.6666666666666666,3.333333333333333,1.0
104,Bursaspor,Kasimpasa,8,6,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.6666666666666667
105,Eskisehirspor,Buyuksehyr,14,9,1.6666666666666667,1.3333333333333333,1.0,0.6666666666666666
106,Rizespor,Karabukspor,15,17,0.6666666666666666,2.333333333333333,1.3333333333333333,2.0
107,Sivasspor,Erciyesspor,16,13,1.3333333333333333,1.3333333333333333,2.0,1.0
108,Fenerbahce,Sivasspor,3,16,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333
