,AZ Alkmaar scored,AZ Alkmaar received,Vitesse scored,Vitesse received,PSV Eindhoven scored,PSV Eindhoven received,Graafschap scored,Graafschap received,Heerenveen scored,Heerenveen received,FC Emmen scored,FC Emmen received,VVV Venlo scored,VVV Venlo received,Ajax scored,Ajax received,For Sittard scored,For Sittard received,Heracles scored,Heracles received,Excelsior scored,Excelsior received,Zwolle scored,Zwolle received,Den Haag scored,Den Haag received,Willem II scored,Willem II received,Feyenoord scored,Feyenoord received,Groningen scored,Groningen received,Utrecht scored,Utrecht received,NAC Breda scored,NAC Breda received
20,3,0,1,2,2,2,0,4,1,1,3,2,2,1,0,1,4,1,1,0,1,4,1,1,2,3,1,2,4,0,2,1,2,2,0,3
21,3,0,3,2,2,2,0,1,2,2,1,2,0,3,5,0,0,6,6,0,2,1,0,1,1,0,2,3,0,1,1,0,1,0,0,5
22,1,2,3,0,1,1,3,0,4,2,0,3,0,1,5,1,2,4,1,0,0,0,0,3,1,5,2,1,1,1,0,0,0,0,0,0
23,4,2,4,1,2,0,1,1,4,2,0,4,2,3,2,1,2,4,1,5,0,2,1,2,1,1,2,4,4,0,3,2,5,1,1,4
24,0,0,1,1,2,0,2,3,3,2,1,1,1,0,4,0,0,4,1,1,0,1,0,0,2,3,3,2,1,1,0,0,0,0,0,2
25,1,0,2,3,1,0,3,0,0,3,1,3,0,1,0,1,3,1,3,2,0,2,2,0,0,1,3,2,2,3,1,0,4,0,0,4
26,1,0,3,3,1,3,1,2,1,0,0,3,1,1,3,1,2,3,2,1,0,1,3,0,3,3,3,2,2,3,0,1,3,2,1,1
27,2,2,2,2,4,0,0,1,0,3,2,5,2,6,5,2,0,0,3,4,1,2,0,4,0,0,4,3,3,0,1,0,6,2,2,1
28,1,1,3,3,3,3,1,1,0,2,2,0,0,3,4,1,0,5,1,0,0,1,5,0,5,0,1,4,3,0,1,0,0,5,0,1
29,2,3,0,0,2,1,1,2,1,1,1,1,1,1,6,2,1,1,1,2,2,6,0,2,3,2,2,0,2,1,1,1,0,0,1,1
30,1,2,4,1,3,1,1,4,1,2,2,0,4,1,1,0,2,1,2,1,1,1,1,4,1,3,1,1,2,1,0,1,0,2,1,2
31,2,1,2,4,3,0,1,0,2,2,0,1,2,2,4,2,1,2,1,2,1,3,3,2,3,1,0,3,4,0,2,3,2,1,0,4
32,2,4,3,1,3,1,1,4,1,3,1,0,1,3,4,1,1,4,1,3,4,2,0,0,6,2,2,6,4,1,0,1,3,1,0,0
33,1,0,6,1,0,1,1,6,2,1,3,2,4,2,4,1,0,3,4,5,5,4,2,4,2,0,2,3,0,2,3,0,1,4,1,2
