,Chelsea scored,Chelsea received,Aston Villa scored,Aston Villa received,Bolton scored,Bolton received,Blackburn scored,Blackburn received,Hull scored,Hull received,Middlesbrough scored,Middlesbrough received,West Ham scored,West Ham received,Arsenal scored,Arsenal received,Liverpool scored,Liverpool received,Man United scored,Man United received,Newcastle scored,Newcastle received,Everton scored,Everton received,Fulham scored,Fulham received,Tottenham scored,Tottenham received,Wigan scored,Wigan received,Sunderland scored,Sunderland received,West Brom scored,West Brom received,Man City scored,Man City received,Stoke scored,Stoke received,Portsmouth scored,Portsmouth received
12,3,0,2,0,0,2,1,2,2,2,1,1,0,0,0,2,2,0,5,0,2,2,1,1,2,1,1,2,2,2,2,1,0,3,2,2,0,5,0,0
13,0,0,0,0,3,1,0,1,2,2,1,3,1,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,3,0,1,0,2,2
14,1,2,0,0,4,1,2,3,1,1,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,2,1,1,4,1,2,0,1,1,1,3,2
15,2,0,3,2,0,2,1,3,2,1,1,2,0,2,1,0,3,1,1,0,2,2,2,3,1,1,2,0,0,1,0,1,1,1,1,1,2,2,1,1
16,1,1,4,2,2,4,0,3,2,2,1,1,1,1,1,1,2,2,0,0,3,0,1,0,0,0,0,0,3,0,4,0,0,4,0,1,0,0,0,3
17,0,0,1,0,2,1,3,0,1,4,0,3,0,1,1,1,1,1,1,0,2,1,0,0,3,0,1,2,0,1,4,1,2,1,1,2,0,3,1,2
18,2,0,2,2,0,3,0,0,1,5,0,1,4,1,2,2,3,0,1,0,1,2,1,0,0,0,0,0,2,1,0,0,0,2,5,1,0,1,1,4
19,2,2,1,0,0,1,2,2,0,1,0,1,2,1,1,0,5,1,1,0,1,5,3,0,2,2,0,2,1,0,0,3,2,0,2,2,1,2,0,1
20,0,3,2,1,0,1,2,1,0,2,1,1,2,2,1,0,0,0,3,0,2,2,2,0,1,2,0,1,1,0,1,1,1,2,0,2,0,0,2,0
21,2,1,2,1,0,1,3,0,1,3,0,3,3,1,3,1,1,1,1,0,0,3,1,1,1,3,1,1,0,1,1,2,3,0,1,0,1,2,1,1
22,2,0,1,0,2,2,2,2,0,2,0,2,2,0,1,1,1,1,5,0,1,2,1,1,0,1,3,1,1,1,1,0,0,5,2,1,1,3,0,1
23,0,2,0,0,3,2,0,0,2,2,0,0,0,0,0,0,2,0,1,0,1,1,0,1,3,1,2,3,0,0,1,1,2,2,0,1,1,0,1,3
24,0,0,2,0,0,3,0,2,0,0,0,1,0,1,0,0,3,2,1,0,3,2,3,0,0,0,0,0,0,0,2,0,2,3,1,0,0,2,2,3
25,1,0,0,1,2,1,1,2,1,2,0,0,1,2,0,0,1,1,2,1,0,0,0,0,2,0,2,1,0,0,0,0,0,2,1,1,2,2,2,2
26,2,1,2,2,1,0,2,1,1,2,2,0,1,0,0,0,0,2,2,0,0,1,2,0,0,0,1,1,1,2,1,1,0,2,0,1,2,2,0,2
27,1,0,0,2,0,2,0,0,1,0,0,4,1,0,3,1,2,0,2,1,1,2,0,0,0,1,4,0,0,1,0,2,1,3,2,0,2,0,0,1
28,1,0,1,2,1,3,0,4,1,1,1,1,0,0,4,0,4,1,1,4,1,1,3,1,3,1,2,1,2,1,1,2,0,0,0,1,1,3,1,1
29,0,1,0,5,1,1,1,1,0,1,0,1,1,1,3,1,5,0,0,2,1,3,1,2,2,0,1,0,1,0,0,1,1,1,1,0,1,0,2,1
30,2,0,2,3,4,1,2,1,0,0,1,4,2,0,2,0,1,0,3,2,0,2,4,0,0,1,1,2,0,4,0,2,0,2,0,2,2,0,0,0
31,4,3,3,3,3,4,0,4,1,3,3,1,0,1,4,1,4,0,2,1,1,1,3,3,3,1,1,0,1,4,1,2,2,2,1,3,1,1,2,2
32,0,0,1,1,0,1,0,1,0,1,0,0,1,1,4,4,4,4,2,1,0,1,0,0,0,0,1,0,1,2,1,0,2,4,4,2,1,0,1,0
33,1,0,1,1,1,1,2,0,1,3,0,2,0,1,2,0,3,1,5,2,0,0,1,2,1,0,2,5,0,2,0,3,3,0,2,1,0,1,0,0
34,3,1,1,0,0,0,1,3,0,1,0,2,1,0,3,0,3,0,2,0,0,3,2,0,1,3,1,0,0,0,0,2,0,1,3,1,0,1,0,3
35,4,1,1,3,0,0,2,0,1,2,1,3,0,3,1,4,3,0,2,0,3,1,0,0,3,1,0,0,1,3,0,0,3,1,0,2,2,1,0,2
36,2,0,1,1,1,1,0,2,1,1,1,1,1,3,0,0,2,0,0,0,0,1,3,1,1,0,2,1,0,2,1,3,0,2,1,2,2,0,3,1
37,3,2,1,0,0,1,0,0,0,1,1,2,2,1,4,1,3,1,1,0,0,1,2,0,0,2,1,3,1,0,2,3,0,0,1,0,1,4,0,1
