,Lyon scored,Lyon received,Bordeaux scored,Bordeaux received,Lorient scored,Lorient received,Sochaux scored,Sochaux received,Lille scored,Lille received,Nancy scored,Nancy received,Le Mans scored,Le Mans received,Lens scored,Lens received,Toulouse scored,Toulouse received,Auxerre scored,Auxerre received,Valenciennes scored,Valenciennes received,Sedan scored,Sedan received,Marseille scored,Marseille received,Paris SG scored,Paris SG received,St Etienne scored,St Etienne received,Rennes scored,Rennes received,Monaco scored,Monaco received,Troyes scored,Troyes received,Nice scored,Nice received,Nantes scored,Nantes received
16,3,1,1,2,2,0,0,0,2,2,0,0,0,0,1,0,0,1,3,3,0,0,0,2,2,1,1,3,2,2,2,1,1,2,3,3,0,0,0,0
17,4,0,0,0,1,2,0,3,0,2,2,0,2,0,0,4,0,2,2,1,0,3,2,0,0,2,0,0,3,0,1,1,3,0,1,1,0,0,0,0
18,0,0,1,0,0,0,2,1,1,1,1,2,0,1,2,1,0,4,1,1,2,1,1,2,2,1,1,1,1,2,0,0,0,0,1,1,1,2,4,0
19,0,2,1,1,1,1,0,1,1,1,2,2,2,0,1,1,2,0,1,0,2,1,2,2,2,0,1,2,0,1,0,2,1,0,0,2,0,1,1,0
20,1,2,2,1,1,0,1,1,1,0,0,2,1,1,0,1,1,0,1,3,1,1,1,1,3,1,0,1,2,0,2,0,0,2,1,0,0,1,0,1
21,1,1,0,1,2,0,0,0,1,0,0,2,2,0,3,3,1,1,2,0,0,1,0,1,0,2,0,0,3,3,1,0,1,0,1,1,1,1,0,2
22,0,1,1,2,2,1,0,0,0,0,2,1,1,2,3,1,1,2,1,2,1,3,2,1,1,1,1,1,1,2,0,0,2,1,1,0,2,1,0,0
23,1,0,1,0,0,1,1,3,0,1,1,1,3,2,3,1,1,0,1,1,5,2,2,3,0,1,4,2,1,1,1,1,2,4,0,3,3,0,2,5
24,2,1,0,1,0,1,2,0,1,2,0,3,0,2,0,0,1,0,2,2,0,1,2,2,0,0,3,0,1,3,3,1,0,0,1,0,1,0,0,0
25,3,3,2,1,0,3,3,3,1,2,2,2,0,2,2,2,3,0,1,1,1,2,2,0,0,3,0,2,2,0,0,2,2,0,3,0,2,1,1,1
26,3,1,0,0,0,0,1,2,4,0,1,1,1,1,1,0,0,0,1,0,0,0,2,0,0,1,0,2,1,3,0,1,0,0,0,4,0,0,2,1
27,1,1,2,0,0,0,0,2,0,0,1,2,2,1,1,1,1,1,1,0,3,1,1,1,1,1,0,1,1,2,1,1,1,1,1,3,1,1,2,1
28,3,0,1,1,0,0,4,2,0,2,0,3,2,0,0,1,2,4,1,0,0,0,1,1,3,0,0,1,3,1,1,0,2,1,1,3,0,3,1,2
29,0,0,3,0,2,1,1,0,0,2,0,3,2,2,1,2,1,0,2,2,2,0,1,0,1,2,2,1,0,1,0,0,1,1,0,1,1,1,0,1
30,0,0,0,0,1,0,1,1,1,4,0,1,1,2,0,1,2,0,0,0,0,0,0,2,4,1,2,1,2,1,1,0,0,0,0,0,1,1,1,2
31,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0
32,0,0,2,0,1,1,1,1,1,3,1,0,0,2,2,0,2,3,0,0,0,1,1,1,2,1,4,0,0,2,3,2,3,1,1,2,1,1,0,4
33,2,1,1,0,0,0,2,4,0,1,1,0,1,2,0,1,1,3,0,0,2,2,2,3,4,2,3,1,0,0,2,0,2,2,3,2,0,0,0,2
34,1,1,0,0,1,3,1,0,1,2,3,0,1,1,2,0,0,2,1,0,0,1,3,1,2,1,1,1,2,1,0,0,1,2,0,1,0,3,1,1
35,3,0,0,1,2,1,2,1,2,1,1,2,1,0,0,3,0,1,1,2,1,0,1,2,2,1,0,1,0,1,2,2,1,2,2,2,1,0,1,0
36,0,1,1,1,1,4,2,5,1,2,5,2,1,1,0,0,0,0,2,1,1,1,1,1,2,1,2,1,1,2,4,1,1,0,1,2,0,0,0,0
37,3,1,1,3,0,1,1,0,1,1,0,2,3,3,0,3,3,1,3,1,1,3,0,1,1,0,1,0,0,1,1,1,2,0,3,0,3,3,1,3
