league_name,home_team_name,away_team_name,home_team_rank,away_team_rank,home_team_scored,away_team_scored,home_team_received,away_team_received,home_att,away_att,home_def,away_def,home_mid,away_mid,home_odds_n,draw_odds_n,away_odds_n,result
italy,Juventus,Siena,1,9,2.333333333,0.333333333,1,1.333333333,90,73,86,74,86,69,0.780973666,0.155086969,0.063939364,1
italy,Lecce,Lazio,16,20,1,1,0.666666667,1,72,78,64,75,67,73,0.345909366,0.310152886,0.343937748,X
italy,Livorno,Milan,3,18,1.333333333,1.333333333,3,1,59,90,73,90,55,87,0.215340424,0.293256609,0.491402967,2
italy,Messina,Reggina,14,11,1,1.666666667,0.666666667,2,71,64,65,66,59,63,0.433939701,0.309780617,0.256279682,X
italy,Parma,Cagliari,13,15,1.333333333,1,0.666666667,2,69,72,71,59,72,62,0.448734532,0.303334516,0.247930952,1
italy,Roma,Chievo,6,4,2,1,0.666666667,2,86,67,77,64,77,65,0.474276238,0.296196495,0.229527267,1
italy,Udinese,Sampdoria,7,5,1,1.333333333,0.666666667,1.333333333,69,77,60,67,66,69,0.386797128,0.307033878,0.306168994,1
italy,Palermo,Juventus,8,1,0.666666667,1.333333333,2.333333333,0.333333333,63,90,69,86,69,86,0.178503666,0.282284867,0.539211468,2
italy,Reggina,Fiorentina,10,19,0.666666667,2,1,0.666666667,64,80,66,71,63,74,0.250014114,0.298514119,0.451471767,X
italy,Cagliari,Udinese,14,7,1.333333333,1,1,1.333333333,72,69,59,60,62,66,0.354835684,0.308946554,0.336217762,1
italy,Chievo,Lecce,4,16,1.666666667,1.666666667,0.666666667,1.666666667,67,72,64,64,65,67,0.537964658,0.282536244,0.179499099,1
italy,Empoli,Messina,11,13,1,2.666666667,1.333333333,2,66,71,58,65,59,59,0.456149047,0.299755088,0.244095866,2
italy,Lazio,Ascoli,20,12,1.666666667,0.666666667,1,2,78,60,75,52,73,52,0.58295271,0.270409252,0.146638037,1
italy,Milan,Parma,18,15,3.666666667,1,2,2,90,69,90,71,87,72,0.7635513,0.172220561,0.064228139,1
italy,Sampdoria,Livorno,6,3,0.333333333,1.666666667,1.333333333,1,77,59,67,73,69,55,0.469811514,0.30413425,0.226054236,2
italy,Siena,Inter,9,2,0.666666667,1.333333333,2.666666667,0.333333333,73,89,74,80,69,81,0.15026314,0.27069737,0.57903949,X
italy,Treviso,Roma,17,5,0.666666667,1,2,0.333333333,51,86,57,77,61,77,0.227634984,0.290597853,0.481767163,2
italy,Lecce,Sampdoria,16,6,0.666666667,1.666666667,0.333333333,1.666666667,72,77,64,67,67,69,0.359376253,0.305058927,0.33556482,2
italy,Messina,Palermo,13,8,1.333333333,0.666666667,0.333333333,1,71,63,65,69,59,69,0.360332133,0.313591908,0.326075959,X
italy,Ascoli,Empoli,10,12,1.666666667,1.666666667,1,3.333333333,60,66,52,58,52,59,0.434604791,0.31346495,0.25193026,1
italy,Fiorentina,Chievo,19,5,1.333333333,0.666666667,1.333333333,2.333333333,80,67,71,64,74,65,0.519327378,0.288302059,0.192370564,1
italy,Inter,Cagliari,2,15,2.333333333,1,1.333333333,1.666666667,89,72,80,59,81,62,0.773505134,0.163475115,0.063019751,1
italy,Juventus,Reggina,1,11,1.666666667,0.333333333,0.666666667,1,90,64,86,66,86,63,0.79648211,0.148879217,0.054638673,1
italy,Livorno,Siena,3,9,1.333333333,1.666666667,0.666666667,1.333333333,59,73,73,74,55,69,0.530541879,0.28705108,0.182407041,X
italy,Parma,Lazio,14,20,1.666666667,1.666666667,1.666666667,0.666666667,69,78,71,75,72,73,0.370393681,0.313442731,0.316163588,X
italy,Roma,Milan,4,18,2,0,2.333333333,1.333333333,86,90,77,90,77,87,0.238979349,0.301522154,0.459498497,1
italy,Udinese,Treviso,7,16,1.666666667,1.333333333,0.666666667,1.333333333,69,51,60,57,66,61,0.576428046,0.266650822,0.156921131,X
italy,Cagliari,Siena,15,9,1.333333333,1.666666667,0.666666667,1.333333333,72,73,59,74,62,69,0.445506458,0.309917536,0.244576006,1
italy,Chievo,Juventus,6,1,1.666666667,1.333333333,1.333333333,0.666666667,67,90,64,86,65,86,0.158730212,0.273191445,0.568078344,X
italy,Empoli,Udinese,12,8,1,2.333333333,1.333333333,1.666666667,66,69,58,60,59,66,0.367610578,0.303767845,0.328621577,X
italy,Lecce,Livorno,17,3,0.333333333,2,1.333333333,0.666666667,72,59,64,73,67,55,0.33552152,0.30153993,0.36293855,X
italy,Messina,Lazio,13,20,1.333333333,0.666666667,2,1,71,78,65,75,59,73,0.36408215,0.314973395,0.320944455,X
italy,Milan,Ascoli,16,10,1.666666667,1.333333333,1.333333333,2,90,60,90,52,87,52,0.78229824,0.152290317,0.065411443,1
italy,Palermo,Parma,7,15,1.666666667,1.333333333,2,3,63,69,69,71,69,72,0.52276654,0.285045335,0.192188125,1
italy,Roma,Reggina,4,11,1.666666667,0.333333333,0.666666667,1.666666667,86,64,77,66,77,63,0.607317134,0.257063927,0.135618939,1
italy,Sampdoria,Fiorentina,5,19,2,1,1.333333333,1.666666667,77,80,67,71,69,74,0.370910964,0.313814716,0.31527432,1
italy,Treviso,Inter,18,2,0.666666667,1.333333333,1.333333333,0.666666667,51,89,57,80,61,81,0.119855488,0.24186085,0.638283663,2
italy,Inter,Palermo,2,7,1.333333333,0.666666667,1.666666667,1.333333333,89,63,80,69,81,69,0.67695651,0.217142064,0.105901425,1
italy,Lazio,Cagliari,20,12,1,1,1.333333333,1.333333333,78,72,75,59,73,62,0.570022313,0.270901693,0.159075994,X
italy,Ascoli,Lecce,9,19,1.666666667,0.666666667,0,1.666666667,60,72,52,64,52,67,0.495373628,0.295878053,0.208748319,1
italy,Fiorentina,Messina,17,14,1.666666667,1.333333333,0.333333333,1,80,71,71,65,74,59,0.634799186,0.242377871,0.122822944,1
italy,Juventus,Empoli,1,13,1.333333333,0.666666667,1,2,90,66,86,58,86,59,0.811322622,0.138583788,0.050093589,1
