,Ajax scored,Ajax received,AZ Alkmaar scored,AZ Alkmaar received,Groningen scored,Groningen received,Feyenoord scored,Feyenoord received,Twente scored,Twente received,PSV Eindhoven scored,PSV Eindhoven received,Vitesse scored,Vitesse received,Nijmegen scored,Nijmegen received,Roda JC scored,Roda JC received,Heerenveen scored,Heerenveen received,Willem II scored,Willem II received,Sparta scored,Sparta received,Heracles scored,Heracles received,Excelsior scored,Excelsior received,Utrecht scored,Utrecht received,NAC Breda scored,NAC Breda received,VVV Venlo scored,VVV Venlo received,Graafschap scored,Graafschap received
22,3,0,0,2,1,1,0,3,0,1,2,0,0,7,2,0,1,1,7,0,0,2,2,0,0,2,1,1,2,0,1,0,0,2,1,1
23,1,2,2,5,1,2,3,1,2,1,1,1,2,1,5,2,2,1,1,1,1,1,0,1,1,2,1,0,0,1,1,0,1,1,1,3
24,6,2,1,2,2,1,1,0,1,3,1,0,0,1,0,1,3,1,2,2,0,1,2,6,2,2,1,0,1,4,1,0,4,1,0,1
25,3,2,0,0,5,2,3,3,0,0,4,1,1,1,3,2,1,1,2,3,0,0,2,1,3,3,0,0,1,2,2,3,2,5,1,4
26,4,0,1,1,1,2,1,3,1,0,1,3,1,3,3,1,1,1,0,1,2,1,0,3,2,1,0,4,3,1,3,0,3,1,1,2
27,0,0,0,1,2,1,1,0,2,0,0,0,2,1,3,1,1,4,3,0,1,2,4,1,2,1,1,2,1,2,0,3,0,2,1,3
28,4,1,2,2,0,1,4,1,4,3,1,1,3,4,4,2,1,1,1,0,1,4,2,4,0,0,0,2,2,2,2,0,1,4,0,0
29,1,2,0,0,0,3,2,3,2,1,3,0,3,3,2,1,3,4,4,3,2,1,3,2,1,2,0,2,2,0,3,3,1,2,0,0
30,4,2,2,1,1,1,1,3,1,0,0,0,1,2,0,0,0,0,2,4,2,2,2,2,0,0,2,1,0,1,3,1,1,2,1,1
31,4,1,3,2,1,2,3,1,1,0,2,0,3,0,2,0,0,2,3,2,2,3,0,3,0,2,0,1,1,3,2,1,2,3,1,4
32,2,1,1,1,1,2,1,3,1,1,1,1,0,1,1,0,4,1,2,4,3,1,4,2,0,1,1,1,1,1,1,0,1,4,1,1
33,5,1,1,0,0,1,3,0,2,0,1,0,0,1,3,1,0,3,5,0,0,2,0,1,1,5,0,5,1,0,1,3,3,0,0,3
