,Barcelona scored,Barcelona received,Real Madrid scored,Real Madrid received,Huesca scored,Huesca received,Sevilla scored,Sevilla received,Ath Bilbao scored,Ath Bilbao received,Sociedad scored,Sociedad received,Levante scored,Levante received,Ath Madrid scored,Ath Madrid received,Girona scored,Girona received,Valencia scored,Valencia received,Espanol scored,Espanol received,Valladolid scored,Valladolid received,Celta scored,Celta received,Leganes scored,Leganes received,Eibar scored,Eibar received,Vallecano scored,Vallecano received,Getafe scored,Getafe received,Alaves scored,Alaves received,Betis scored,Betis received,Villarreal scored,Villarreal received
10,3,2,2,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,2,3,3,1,1,2,1,2,3,1,1,1,2,3,3,1,1
11,3,4,4,2,1,2,2,1,2,3,3,1,1,3,3,2,0,0,1,0,1,2,0,0,2,4,0,0,0,0,2,2,0,1,2,1,4,3,2,2
12,1,1,0,3,2,2,1,0,1,1,2,1,2,2,1,1,3,1,3,0,1,3,0,1,1,2,1,0,3,0,0,3,1,1,0,1,1,2,2,1
13,2,0,2,0,0,2,1,1,0,3,0,1,3,0,1,1,1,1,0,2,0,3,2,4,2,0,4,2,0,1,1,0,3,0,1,1,1,0,0,2
14,4,0,1,0,0,1,1,1,1,0,1,2,4,4,3,0,0,1,1,1,0,4,2,1,3,2,1,1,4,4,0,2,1,1,0,3,2,0,2,3
15,5,0,1,0,2,2,2,0,0,0,0,1,0,5,3,2,0,2,1,1,1,3,2,3,0,0,0,0,1,1,0,1,1,0,0,0,3,1,2,2
16,2,0,2,2,1,2,1,1,1,1,0,1,1,2,1,0,1,1,2,1,0,1,1,1,0,2,1,1,1,1,2,1,1,1,1,0,1,1,2,2
17,2,1,0,2,2,1,1,1,2,1,2,0,2,2,1,1,2,2,1,2,1,0,0,1,1,2,0,1,0,0,1,0,1,2,2,1,1,2,0,0
18,3,0,2,1,0,1,0,2,2,0,3,2,0,1,1,0,1,1,1,1,2,3,1,1,2,4,1,0,0,3,4,2,2,1,1,1,1,2,1,2
19,3,1,2,0,0,3,0,2,1,1,2,2,2,0,3,0,2,3,2,1,0,3,0,2,1,2,1,3,3,0,2,2,4,0,0,4,3,2,1,1
20,2,0,4,2,0,0,5,0,1,0,0,0,0,5,2,0,0,2,3,0,2,4,2,1,1,2,2,2,2,2,1,0,0,2,0,1,0,1,0,3
21,2,2,3,0,4,0,0,1,1,2,2,1,0,0,0,1,0,3,2,2,2,2,0,4,1,0,2,1,3,0,1,2,0,0,0,3,1,0,2,2
22,0,0,3,1,2,0,2,2,0,0,0,0,0,2,1,3,0,2,0,0,2,1,0,0,1,3,3,0,2,2,1,2,3,1,2,0,0,3,0,0
23,1,0,1,2,0,1,0,3,1,0,3,0,4,1,1,0,2,1,0,0,0,0,0,1,1,4,0,3,2,2,0,1,2,2,1,1,1,1,3,0
24,4,2,2,1,1,1,2,4,1,0,0,0,1,2,2,0,0,0,1,1,1,1,0,2,0,0,1,1,0,1,1,2,2,1,0,0,2,0,0,2
25,1,0,0,1,2,1,1,2,0,2,0,2,0,1,2,0,2,0,2,0,3,1,1,3,0,1,1,0,1,0,0,2,2,1,2,1,1,2,1,2
26,3,1,4,1,1,2,5,2,1,1,2,5,0,2,1,0,2,3,3,2,1,1,1,4,0,1,0,1,1,1,1,3,2,1,1,1,1,0,2,0
27,4,1,2,0,1,3,1,0,2,0,1,1,1,1,0,2,2,0,0,0,0,1,2,1,0,2,0,2,1,2,1,3,0,0,3,1,1,4,3,1
28,2,0,3,2,2,3,0,1,2,1,1,1,2,2,4,0,1,2,1,0,0,2,1,1,3,2,2,0,2,2,1,1,0,2,0,4,1,1,2,3
29,4,4,1,2,3,3,2,0,3,2,2,1,2,3,2,0,0,2,2,1,1,1,0,1,3,3,1,0,2,1,1,2,1,1,0,2,1,2,4,4
30,2,0,2,1,2,2,2,0,0,1,1,3,2,2,0,2,1,2,0,2,2,1,0,2,3,1,1,1,1,2,2,0,1,0,1,1,2,1,1,2
31,0,0,1,1,0,0,3,2,3,2,1,1,1,3,2,0,0,1,3,1,2,1,2,2,0,2,1,1,1,1,2,3,2,2,1,2,2,3,1,0
32,2,1,3,0,0,0,0,3,0,3,1,2,2,2,1,0,1,2,2,1,2,2,2,2,2,1,1,2,0,1,0,0,3,0,2,2,1,2,2,1
33,2,0,0,0,2,0,5,0,1,0,0,1,4,0,3,2,0,1,2,3,1,1,1,0,1,1,0,1,0,2,0,5,0,0,0,2,0,4,1,0
34,1,0,0,1,1,1,0,1,1,1,2,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,2,1,1,1,1,1,1
35,0,2,3,2,2,6,0,3,0,1,1,0,4,1,0,3,0,2,6,2,3,0,1,0,2,0,3,0,1,0,1,4,2,0,0,1,0,1,2,3
36,2,0,1,3,1,2,1,1,3,1,3,1,2,1,1,1,1,2,3,1,2,0,2,1,1,3,0,2,0,1,1,2,0,2,1,3,2,1,1,0
37,2,2,0,2,2,1,2,0,0,2,0,2,2,2,2,2,1,2,2,0,2,0,0,2,2,2,1,2,2,2,2,2,2,2,2,1,2,0,2,2
