,Lazio scored,Lazio received,Torino scored,Torino received,Udinese scored,Udinese received,Bologna scored,Bologna received,Chievo scored,Chievo received,Atalanta scored,Atalanta received,Catania scored,Catania received,Roma scored,Roma received,Inter scored,Inter received,Sampdoria scored,Sampdoria received,Napoli scored,Napoli received,Juventus scored,Juventus received,Fiorentina scored,Fiorentina received,Reggina scored,Reggina received,Siena scored,Siena received,Palermo scored,Palermo received,Cagliari scored,Cagliari received,Lecce scored,Lecce received,Milan scored,Milan received,Genoa scored,Genoa received
24,35,37,25,39,34,37,27,40,18,35,31,26,24,30,37,31,44,18,24,29,32,29,41,21,37,24,20,43,19,26,32,31,32,27,22,39,42,25,36,25
25,37,37,25,39,36,37,27,42,20,35,31,28,28,30,40,34,47,21,26,30,32,30,42,21,38,25,21,44,19,26,32,35,32,27,22,41,43,27,36,25
26,39,37,25,40,37,38,30,42,21,36,31,31,28,33,41,35,49,21,26,33,32,32,43,21,38,27,21,44,22,26,34,35,33,28,22,41,46,27,36,27
27,39,40,25,42,38,39,31,46,24,36,33,31,29,34,43,37,51,21,28,35,33,33,47,22,38,29,22,45,23,31,39,37,33,29,24,46,51,28,37,27
28,39,41,26,45,38,41,31,47,25,36,35,33,30,34,44,41,54,21,31,36,33,33,51,23,39,29,22,48,23,32,39,38,34,29,26,48,51,28,39,27
29,39,43,26,46,38,42,32,49,28,39,36,35,30,35,46,42,55,21,33,38,35,35,54,26,41,30,22,49,25,32,40,38,35,29,26,50,53,28,40,27
30,43,45,28,47,40,42,33,53,28,40,36,35,31,37,48,46,57,23,36,39,35,35,56,29,43,31,22,51,29,33,42,40,36,31,27,53,54,28,43,29
31,44,45,29,52,43,43,34,57,30,40,36,36,33,37,51,48,58,24,36,41,35,37,57,30,44,34,23,51,29,35,46,41,38,31,29,56,59,29,43,30
32,44,46,30,52,45,44,36,57,31,42,37,36,34,39,52,52,58,25,39,44,36,37,59,32,48,35,25,53,29,36,46,44,41,34,31,57,62,29,43,32
33,44,48,30,53,48,44,37,59,31,42,37,39,34,41,52,52,60,25,40,47,37,39,61,34,49,35,27,54,31,37,51,45,42,39,33,59,64,29,46,33
34,45,51,31,54,51,45,38,60,33,44,38,40,34,43,54,54,62,27,45,47,38,40,62,35,51,35,27,59,32,37,51,46,44,41,34,60,65,30,47,34
35,45,53,33,55,53,46,40,61,35,46,40,42,37,47,58,57,65,27,45,48,39,42,64,37,52,35,29,60,32,40,53,46,45,43,35,62,66,32,49,36
36,46,53,35,58,55,48,40,61,35,46,42,44,40,48,61,59,66,29,47,50,40,45,67,37,53,36,29,61,32,43,55,48,47,44,36,63,68,35,52,38
37,46,55,37,61,61,50,43,62,35,49,45,48,41,51,64,61,70,32,49,52,43,45,69,37,53,38,30,62,33,44,57,50,49,50,37,67,70,35,56,39
