,Feyenoord scored,Feyenoord received,Vitesse scored,Vitesse received,Den Haag scored,Den Haag received,Ajax scored,Ajax received,PSV Eindhoven scored,PSV Eindhoven received,Excelsior scored,Excelsior received,AZ Alkmaar scored,AZ Alkmaar received,Heerenveen scored,Heerenveen received,Heracles scored,Heracles received,Nijmegen scored,Nijmegen received,Zwolle scored,Zwolle received,Roda scored,Roda received,Twente scored,Twente received,Utrecht scored,Utrecht received,Sparta Rotterdam scored,Sparta Rotterdam received,Willem II scored,Willem II received,Go Ahead Eagles scored,Go Ahead Eagles received,Groningen scored,Groningen received
11,0,1,1,2,1,0,2,2,1,1,1,2,2,2,1,3,2,1,1,1,0,0,0,0,1,1,2,1,3,1,0,1,1,0,1,1
12,3,0,1,1,1,2,5,0,0,0,3,2,1,1,1,1,2,1,0,5,0,3,1,1,1,1,1,1,2,3,0,0,1,2,2,1
13,3,3,2,2,1,3,1,0,3,1,2,2,5,1,0,1,1,5,3,2,0,4,2,2,2,3,3,3,2,2,1,0,0,1,4,0
14,6,1,3,1,0,2,2,0,0,0,3,3,3,3,3,1,2,0,0,2,1,3,0,0,0,0,2,0,1,6,0,0,1,3,0,2
15,4,0,1,0,0,3,0,1,1,0,1,2,0,4,2,1,0,2,3,0,0,0,0,2,1,0,2,0,0,1,0,0,0,1,2,0
16,3,1,1,3,1,0,1,1,1,1,2,2,2,1,1,2,3,0,2,2,0,3,0,0,1,2,0,0,0,1,2,1,1,1,1,1
17,2,0,3,1,0,2,3,1,2,0,0,2,3,1,2,0,1,4,1,0,1,3,0,2,1,3,2,1,1,2,0,1,1,3,4,1
18,1,0,1,1,1,2,1,0,4,3,1,1,1,1,3,4,0,1,2,0,2,1,0,2,1,0,0,1,1,1,0,1,1,1,1,1
19,4,0,2,1,0,3,3,0,2,1,0,4,1,2,0,0,1,2,0,4,1,2,4,0,2,1,1,0,2,3,3,2,0,1,0,0
20,2,0,2,0,0,2,2,0,4,2,1,1,2,4,0,1,3,1,1,2,3,2,0,2,0,2,1,0,2,3,1,3,2,1,1,1
21,2,0,0,2,1,3,2,0,3,0,1,1,2,1,1,2,2,2,0,2,2,0,2,2,1,1,0,3,0,2,2,0,3,1,0,2
22,1,0,0,1,0,1,1,0,3,1,0,4,1,1,0,1,4,0,1,3,1,3,1,0,1,0,3,1,2,2,1,1,0,1,2,2
23,2,1,3,1,1,1,4,1,1,2,0,2,1,1,3,0,1,4,0,1,1,1,0,3,1,1,3,2,1,0,2,0,1,3,2,3
24,0,1,1,3,1,1,1,1,4,0,1,1,1,1,2,2,1,3,3,1,3,1,0,4,2,1,1,1,1,0,1,2,2,2,1,1
25,5,2,5,0,1,0,3,0,3,1,4,1,2,5,1,4,2,1,0,1,0,2,3,1,0,3,1,2,0,5,2,0,1,3,1,3
26,2,1,0,1,0,4,1,1,1,0,1,1,4,0,1,2,1,3,0,3,3,1,0,3,3,0,3,0,3,1,1,1,1,3,1,1
27,1,2,2,1,4,1,2,1,2,0,1,1,0,0,1,4,4,1,1,2,1,1,1,4,1,2,2,0,0,2,0,2,2,1,0,0
28,8,0,1,0,2,1,4,1,2,2,1,3,1,4,3,0,0,1,0,2,1,2,2,1,2,2,3,1,0,3,1,2,0,8,2,0
29,2,2,4,2,4,3,5,1,5,0,3,2,1,1,2,4,4,1,1,5,2,2,1,1,0,3,3,0,2,3,0,5,1,4,3,4
30,2,0,0,1,1,1,5,1,1,1,1,0,2,1,1,5,1,2,0,3,1,5,3,1,3,0,0,2,1,3,2,0,0,2,5,1
31,2,0,0,2,1,0,0,1,1,0,1,0,2,1,1,0,2,1,0,1,1,2,0,1,1,2,1,0,0,1,0,1,2,3,3,2
32,0,3,0,1,0,4,4,0,1,1,3,0,1,2,1,2,4,0,2,1,2,1,1,0,0,1,1,0,1,0,0,1,0,4,1,1
33,3,1,3,0,4,1,3,1,4,1,1,4,2,3,0,2,1,3,2,0,1,4,0,3,3,5,3,2,3,1,1,3,1,3,5,3
