,Bolton scored,Bolton received,Man City scored,Man City received,Tottenham scored,Tottenham received,Man United scored,Man United received,Wolves scored,Wolves received,Liverpool scored,Liverpool received,Norwich scored,Norwich received,Sunderland scored,Sunderland received,Wigan scored,Wigan received,Arsenal scored,Arsenal received,Aston Villa scored,Aston Villa received,Chelsea scored,Chelsea received,Fulham scored,Fulham received,Newcastle scored,Newcastle received,Stoke scored,Stoke received,Blackburn scored,Blackburn received,West Brom scored,West Brom received,Everton scored,Everton received,QPR scored,QPR received,Swansea scored,Swansea received
20,0,3,1,0,1,1,3,0,1,1,0,0,2,1,0,1,0,1,2,3,1,1,1,0,1,3,1,0,0,0,3,1,1,2,1,1,0,1,3,2
21,3,1,3,2,2,3,2,1,2,3,1,3,0,0,2,0,1,3,1,2,3,2,0,0,5,2,2,5,1,2,1,1,2,1,1,1,3,1,0,2
22,0,0,0,1,3,1,2,0,0,3,3,0,0,3,3,0,1,3,0,0,2,2,1,1,1,1,2,0,0,2,0,2,1,1,1,0,2,2,1,1
23,0,2,3,0,0,0,3,3,2,1,0,0,2,0,1,0,1,1,7,1,1,2,3,3,0,3,2,1,0,1,1,7,1,2,1,1,1,2,2,1
24,1,2,1,0,5,0,2,1,1,5,1,2,3,2,1,2,2,1,2,1,0,1,0,2,2,1,0,5,1,2,3,2,5,1,2,0,2,3,2,3
25,0,3,3,0,2,5,2,1,2,2,3,0,1,2,0,4,0,0,5,2,0,0,3,0,1,0,2,2,2,0,0,3,4,0,0,3,0,1,0,2
26,0,2,2,0,1,3,3,1,0,5,1,2,0,1,1,1,0,2,2,1,1,1,0,1,5,0,1,1,1,0,1,1,1,0,1,1,1,1,2,0
27,2,1,0,1,0,1,2,0,0,2,0,1,1,1,1,0,1,1,2,1,1,0,1,0,0,1,1,2,0,1,2,0,0,2,1,0,1,2,1,0
28,2,1,2,1,1,1,5,0,0,5,2,3,0,1,0,2,1,1,1,0,1,2,1,2,0,3,1,0,1,1,2,0,1,1,0,1,3,2,3,0
29,2,1,1,1,0,0,1,0,1,2,1,2,2,1,3,1,2,1,3,0,0,3,0,0,0,1,3,1,1,1,1,2,1,3,2,0,1,3,0,2
30,3,2,3,3,3,1,2,0,2,3,0,2,1,2,3,3,2,0,1,2,2,4,4,2,2,1,2,0,0,2,0,2,0,2,2,0,2,1,1,3
31,0,3,0,1,0,0,2,0,1,2,1,1,2,2,0,0,1,2,1,0,1,1,2,1,3,0,2,0,2,1,0,3,3,0,2,2,0,2,0,2
32,0,2,4,0,1,2,0,1,0,3,3,2,2,1,0,4,1,0,3,0,1,1,1,1,1,1,2,0,1,1,2,3,0,4,4,0,3,0,0,3
33,1,4,6,1,4,1,4,0,0,0,0,1,1,6,0,0,2,1,1,2,0,4,0,2,1,0,2,0,1,1,0,3,1,0,1,1,0,1,3,0
