,Marseille scored,Marseille received,Paris SG scored,Paris SG received,Monaco scored,Monaco received,Lille scored,Lille received,Lyon scored,Lyon received,Strasbourg scored,Strasbourg received,Nimes scored,Nimes received,St Etienne scored,St Etienne received,Dijon scored,Dijon received,Reims scored,Reims received,Angers scored,Angers received,Guingamp scored,Guingamp received,Montpellier scored,Montpellier received,Nice scored,Nice received,Nantes scored,Nantes received,Rennes scored,Rennes received,Amiens scored,Amiens received,Bordeaux scored,Bordeaux received,Caen scored,Caen received,Toulouse scored,Toulouse received
15,29,25,49,10,16,24,24,14,26,20,25,19,24,21,24,21,16,26,10,14,19,21,11,32,24,12,12,14,24,24,21,25,14,29,19,19,13,20,14,24
16,30,27,54,11,17,25,25,15,28,22,27,21,25,21,26,22,16,28,11,15,20,23,12,34,25,17,13,15,24,25,23,25,16,30,21,20,15,22,16,26
17,31,27,58,11,17,28,28,17,31,22,28,23,27,24,27,23,16,32,13,16,20,23,14,35,25,19,14,16,26,25,24,27,16,30,21,21,17,23,17,28
18,32,28,59,11,17,30,29,19,32,23,30,23,27,28,30,23,16,35,15,18,21,24,16,35,26,20,14,18,26,26,28,27,17,31,22,22,19,25,19,29
19,33,29,62,11,18,31,32,20,33,24,32,24,30,29,31,23,17,36,16,19,22,27,16,36,27,21,15,18,26,27,29,27,17,34,22,23,20,28,20,31
20,34,29,71,11,19,36,34,21,35,25,37,25,30,30,32,25,17,37,17,20,23,27,16,45,27,21,16,19,26,28,29,27,18,36,23,23,20,29,21,31
21,35,31,75,12,19,38,36,22,36,25,38,25,30,32,33,26,19,37,18,20,23,27,16,46,29,21,18,19,27,29,30,31,18,37,23,24,20,31,21,31
22,36,33,76,14,21,39,40,22,38,26,39,27,31,33,35,27,19,38,20,21,24,27,16,46,30,22,18,23,28,29,31,31,18,38,23,24,20,32,22,33
23,38,34,77,14,23,41,42,22,38,27,40,29,35,35,35,30,20,40,21,22,26,28,16,48,32,24,19,23,30,33,34,31,19,38,23,25,20,33,23,34
24,40,34,78,14,24,41,42,22,40,28,40,29,37,35,35,31,20,42,23,22,29,28,17,50,32,24,19,26,30,34,34,33,19,40,25,26,20,33,24,36
25,41,35,81,14,26,41,43,23,40,30,41,30,37,38,36,31,20,43,27,24,29,29,18,50,34,28,19,27,31,34,35,34,20,40,25,27,21,34,25,37
26,43,35,83,15,28,43,44,23,45,31,41,31,40,39,36,33,20,44,29,26,31,31,18,50,36,29,20,27,31,34,36,37,22,42,26,29,22,36,26,42
27,44,35,85,18,29,44,45,23,47,33,43,33,41,41,36,34,21,45,30,27,33,33,18,51,38,31,20,28,34,36,39,38,24,43,27,30,23,39,27,42
28,45,38,88,19,30,44,45,24,50,35,45,35,43,43,41,34,21,46,31,27,33,33,19,51,40,34,21,29,34,37,40,39,24,43,28,31,23,44,28,43
29,47,40,89,19,30,45,48,26,51,35,49,35,44,45,43,35,21,47,31,31,35,35,19,53,42,34,22,29,36,40,40,40,24,43,28,31,24,44,28,44
30,47,42,91,21,31,46,49,27,52,38,51,37,46,45,45,37,24,48,32,32,38,38,20,54,42,35,23,29,36,41,43,43,26,45,30,31,24,46,29,44
31,49,43,92,26,31,46,54,28,53,40,54,40,47,47,48,37,24,48,32,32,39,38,23,57,44,36,23,29,38,42,43,43,26,45,30,34,24,47,30,46
32,52,44,95,27,32,49,54,28,55,41,55,43,49,48,50,37,27,50,32,34,40,40,24,60,47,37,23,30,41,44,45,46,28,48,31,36,25,47,30,46
33,53,46,97,30,34,51,59,28,58,43,55,43,49,53,52,37,27,51,33,35,41,41,24,63,50,39,26,30,43,45,47,48,28,48,33,39,26,47,30,48
34,54,47,98,31,36,54,61,30,60,45,56,44,52,53,55,39,27,54,33,38,42,41,24,63,51,40,27,31,46,45,49,50,29,49,33,40,26,47,32,50
35,54,50,100,32,36,55,62,30,63,45,57,46,53,53,55,40,29,55,35,41,43,43,25,64,52,40,28,32,47,46,50,51,29,49,33,41,29,49,32,50
36,59,52,104,32,38,55,67,30,67,45,57,48,55,55,58,40,29,59,36,41,43,48,27,66,53,41,28,35,48,47,52,51,29,51,33,42,29,53,34,55
37,60,52,105,35,38,57,68,33,70,47,58,48,57,58,59,41,31,60,39,42,44,49,28,68,53,42,30,35,48,48,55,52,31,52,34,42,29,54,35,57
